bioproject_accession	biosample_id	biosample_accession	env_broad_scale_asserted	env_local_scale_asserted	env_medium_asserted	env_broad_scale_mined	env_local_scale_mined	env_medium_mined
PRJEB52753	30986217	SAMEA110022181	terrestrial biome		soil	terrestrial biome [ENVO:00000446]		soil [ENVO:00001998]
PRJEB52753	30986218	SAMEA110027444	terrestrial biome		soil	terrestrial biome [ENVO:00000446]		soil [ENVO:00001998]
PRJEB52452	33205310	SAMEA110646458	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205311	SAMEA110646459	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205312	SAMEA110646460	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205313	SAMEA110646461	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205314	SAMEA110646462	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205315	SAMEA110646463	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205316	SAMEA110646464	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205317	SAMEA110646465	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205318	SAMEA110646466	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205319	SAMEA110646467	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205320	SAMEA110646468	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205321	SAMEA110646469	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205322	SAMEA110646470	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205323	SAMEA110646471	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205324	SAMEA110646472	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
