count	attribute_name	normalized_name
708016	env_material	env_material_sam
1018118	environment (material)	environment__material__sam
132	Environment material	environment_material_sam
6	Env_material	env_material_sam
99	envmaterial	envmaterial_sam
13899	environment material	environment_material_sam
385	env-medium	env_medium_sam
693	environment_(material)	environment__material__sam
12	environment(material)	environment_material__sam
158	_env_medium	_env_medium_sam
6	Environmental_medium	environmental_medium_sam
2544272	env_medium	env_medium_sam
111	Environment (Material)	environment__material__sam
2081	Environmental Medium	environmental_medium_sam
1258	environmental_medium	environmental_medium_sam
4	env-material	env_material_sam
43	env medium	env_medium_sam
220	ENV_MATERIAL	env_material_sam
298	env material	env_material_sam
716	environment_material	environment_material_sam
584881	environmental medium	environmental_medium_sam
2748	Environmental medium	environmental_medium_sam
32888	Material	material_sam
1	environment material 	environment_material__sam
8	Environment (material)	environment__material__sam
153353	material	material_sam
