unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,is_aquatic_biome,is_terrestrial_biome,obsolete,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0,Follow up,Notes,CJM_Vote_safe_int,MAM vote_safe_int,MLS_vote_safe_int,NMW_vote_safe_int,SM_vote_safe_int,IAA_score,vote_sum
ENVO:00000035,marsh,0.02381447742,False,False,False,False,False,False,False,False,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.05164236782,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000038,lagoon,8.1e-05,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0001756543123,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000042,drainage canal,0.002244001191,False,False,False,False,False,False,False,False,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000043,wetland area,0.0008976004765,False,False,False,False,False,False,False,False,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.001946472019,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000044,peatland,0.07576367654,False,False,False,False,False,False,False,False,0.0,0.0,238.0,276.0,0.0,0.0,0.0,0.1158150852,0.0484805902,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000045,estuary,0.005994120168,False,False,False,False,False,False,False,False,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.01299841911,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000051,hot spring,0.0002430048717,False,False,False,False,False,False,False,False,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0005269629369,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000054,saline marsh,0.005346107176,False,False,False,False,False,False,False,False,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.01159318461,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000055,saline evaporation pond,0.001296025982,False,False,False,False,False,False,False,False,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.002810468997,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000057,mangrove swamp,0.02178943683,False,False,False,False,False,False,False,False,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.04725101001,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000064,road,0.001782035725,False,False,False,False,False,False,False,False,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.003864394871,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000077,agricultural ecosystem,0.568596161,False,False,False,False,False,False,False,False,0.0,0.0,237.0,670.0,1325.0,0.0,0.0,0.1153284672,0.1176883892,1.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000078,farm,0.1043854626,False,False,False,False,False,False,False,False,0.0,0.0,31.0,322.0,205.0,0.0,0.0,0.01508515815,0.05656068856,0.1547169811,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000081,mountain,0.03992836105,False,False,False,False,False,False,False,False,0.0,0.0,9.0,468.0,0.0,0.0,0.0,0.004379562044,0.08220621816,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000082,hill range,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000083,hill,0.001439424477,False,False,False,False,False,False,False,False,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0004866180049,0.002634814685,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000084,mountain pass,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
