unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,is_aquatic_biome,is_terrestrial_biome,obsolete,non_host_oak_queries_count,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,non_host_oak_queries_frequency,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0,CJM_Vote_safe_int,MAM vote_safe_int,MLS_vote_safe_int,NMW_vote_safe_int,SM_vote_safe_int,IAA_score,vote_sum
ENVO:00000101,delta,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0,,,,,,1,0,1,0,0,0,0.6,1
ENVO:00000106,grassland area,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,-1.0,broad,1,,0,,,,,,0,-1,1,0,0,0,0.3,0
ENVO:00000107,heath,0.0005036361145,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0.0,0.0,0.0,0.0007880220646,0.0002192501644,0.0,-1.0,,-1,,0,,,,,,-2,-1,-1,0,0,0,0.4,-2
ENVO:00000108,meadow ecosystem,0.06894682602,False,False,False,False,False,False,False,False,0,0,0,93,161,25,0.0,0.0,0.0,0.07328605201,0.03529927647,0.02930832356,-1.0,biome,1,,-1,,,,,,-1,-1,1,-1,0,0,0.2,-1
ENVO:00000109,woodland area,0.5549264753,False,False,False,False,False,False,False,False,1,0,0,1017,1326,0,0.01770879282,0.0,0.0,0.8014184397,0.290725718,0.0,-1.0,,1,,1,,,,,,1,-1,1,1,0,0,0.2,1
ENVO:00000111,forested area,0.142925872,False,False,False,False,False,False,False,False,1,0,0,0,1223,0,0.01770879282,0.0,0.0,0.0,0.2681429511,0.0,-1.0,,-1,,1,,,,,,-1,-1,-1,1,0,0,0.2,-1
ENVO:00000112,area of tundra,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,-1.0,,1,,0,,,,,,0,-1,1,0,0,0,0.3,0
ENVO:00000113,obsolete cultivated habitat,0.0003940110323,False,False,False,False,False,False,False,True,0,0,0,1,0,0,0.0,0.0,0.0,0.0007880220646,0.0,0.0,-1.0,,-1,obsolete,0,,,,,,-2,-1,-1,0,0,0,0.4,-2
ENVO:00000114,agricultural field,0.3687776472,False,False,False,False,False,False,False,False,1,1,12,534,1240,0,0.01770879282,0.01770879282,0.009463722397,0.4208037825,0.2718702039,0.0,-1.0,cur_land_use,1,,1,,,,,,1,-1,1,1,0,0,0.2,1
ENVO:00000115,orchard,0.1139004604,False,False,False,False,False,False,False,False,0,0,0,0,1039,0,0.0,0.0,0.0,0.0,0.2278009209,0.0,-1.0,cur_land_use,-1,too specific,1,,,,,,-1,-1,-1,1,0,0,0.2,-1
ENVO:00000116,vineyard,0.06943984434,False,False,False,False,False,False,False,False,0,0,0,132,159,0,0.0,0.0,0.0,0.1040189125,0.03486077615,0.0,-1.0,cur_land_use,-1,too specific,1,,,,,,-1,-1,-1,1,0,0,0.2,-1
ENVO:00000117,plantation,0.001644376233,False,False,False,False,False,False,False,False,0,0,0,0,15,0,0.0,0.0,0.0,0.0,0.003288752467,0.0,-1.0,cur_land_use,1,,0,,,,,,0,-1,1,0,0,0,0.3,0
