slot	range	pattern	structured_pattern.syntax
adapters	string		^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$
adjacent_environment	string		
agrochem_addition	string		^{agrochemical_name};{amount} {unit};{date_time_stamp}$
ances_data	string		
anim_water_method	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
annot	string		
annual_precpt	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
annual_temp	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
assembly_name	string		
assembly_qual	AssemblyQualEnum		
assembly_software	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{software};{version};{parameters}$
associated_resource	string		^{PMID}|{DOI}|{URL}$
biotic_relationship	BioticRelationshipEnum		
chem_administration	string		
chimera_check	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{software};{version};{parameters}$
climate_environment	string		
crop_rotation	string		
crop_yield	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
cult_isol_date	datetime		
cur_land_use	string		
cur_vegetation	string		
cur_vegetation_meth	string	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	^{PMID}|{DOI}|{URL}$
depth	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
drainage_class	DrainageClassEnum		
elev	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
enrichment_protocol	string	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$|([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{PMID}|{DOI}|{URL}|{text}$
extreme_event	datetime		
fao_class	FaoClassEnum		
farm_equip	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
farm_equip_san	string		
farm_equip_shared	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
farm_water_source	FarmWaterSourceEnum		
fertilizer_admin	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
fire	datetime		
flooding	datetime		
food_harvest_proc	string		
food_prod	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
food_product_type	string		
food_source	string		
food_trav_mode	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
food_trav_vehic	string		
fungicide_regm	string		
gaseous_environment	string		
genetic_mod	string		^{PMID}|{DOI}|{URL}$
