	has_enum_range	has_preferred_unit	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s
chem_administration	False		False	string																																																																																																																																																																								True																																																																																																																																																																																																																																																			
chem_mutagen	False	True	False	string																																																																													True																																																																																											True																																																																																																																																																																																																																																																			
chem_oxygen_dem	False	True	True	string																																																																													True																																																					True																																						True																									True																																																																																																					True																																																																																																																					
chem_treat_method	False	True	False	string																																																																													True																																																																																											True																																																																																																										True																																																																																																																						True																			
chem_treatment	False		False	string																																																																																																																																																																								True																																																																																																																																																																																																																																	True																		
chimera_check	False		False	string																																																																																																																																			True																																				True																																																																																																																																																																																																																																																				
chloride	False	True	True	string																																																																													True																	True																																				True																																																																																																																																																																																																																																																																																									
chlorophyll	False	True	True	string																																																																True										True																																																								True																																																																																																																																																																																																																																																																																									
climate_environment	False		False	string																																																																																																																																																																											True																																					True																																																																																																																																																																																																											
coll_site_geo_feat	False		False	string																																																																																																																																																																																																																								True													True																																																																																																																								True																																																														
collection_date	False		False	datetime																																																																																																																																																																																														True																																																																																																																																																																																																																													
compl_appr	True		False	ComplApprEnum																																																																																																																																																							True																								True																																																																																																																																																																																																																																												
compl_score	False		False	string																																																																																																																																																																															True																																																																																																																																																																				True																																																																								
compl_software	False		False	string																																																																																																																																																																															True																																																																																																																																																																																		True																																																										
conduc	False	True	True	string																																																																																		True																																																True																																																																																																																																																																																																																																																																																									
cons_food_stor_dur	False	True	False	string																	True																					True																																																																																		True																																																										True																												True																True																																																																																																																																																		True																																											
cons_food_stor_temp	False	True	False	string																			True																																																																																																																																																															True																																												True																																																																																																																																																		True														True																													
cons_purch_date	False		False	datetime																																																																																																																																																																																		True												True																																																																																																																																																																																																																													
cons_qty_purchased	False		False	string																																																																																																																											True																																																							True																																																																																																																																																																																																																																									
contam_score	False		False	float																																																																																																																																																																																					True																																																																																																																																																														True																																																																								
contam_screen_input	True		False	ContamScreenInputEnum																																																																																																																																																																																					True																																																																																																																																																															True																																																																							
contam_screen_param	False		False	string																																																																																																																																																																																					True																																																																																																																				True																																											True																																																																							
cool_syst_id	False		False	integer																																																																																																																																																																																							True																																																										True																																																																																																																																								True																																		
crop_rotation	False		False	string																																																																																																																																																																																										True																																																																																																																																																																																																																																	
crop_yield	False	True	False	string																																												True																																																																																						True																																																								True																																																																																																																																																																																																																																	
cult_isol_date	False		False	datetime																																																																																																																																																																																											True			True																																																												True																																																																																																																																																																	
cult_result	True		False	CultResultEnum																																																																																																																																																																																											True																																																																																																																																														True																																																																																		
cult_result_org	False		False	string																																																																																																																	True																																																																										True																																																																																																						True																																								True																																																																																		
cult_root_med	False		False	string																																																																																																																																								True																																																			True																																																																																	True																																																															True																																																																																
cult_target	False		False	string																																																																																																																																																																																											True																																																																																																																																																																																															True																																	
cur_land_use	False		False	string																																																																																																																																																																																												True																																																																	True																																																																																																																																																	True													
cur_vegetation	False		False	string																																																																																																																																																																																												True																																																																																																																																																																																																																			True												
cur_vegetation_meth	False		False	string																																																																																																																		True																																																																										True																																																																																					True																																																																																																																														True												
date_extr_weath	False		False	datetime																																																																																																																																																																																														True																							True																																																																																																																																																																																																						
date_last_rain	False		False	datetime																																																																																																																																																																																														True																																																																True																																																																																																																																																													
decontam_software	False		False	string																																																																																																																																																																																																																																																																																																																																																																	True																																																										
density	False	True	True	string																												True	True																																																																																																					True																																																																True																																																																																																																																																																																																																									
depos_env	True		False	DeposEnvEnum																																																																																																																																																																																																															True																																																																																																																																																																																																												
depth	False	True	True	string																																																								True																																																																										True																																																																	True																																																																																																																																																																																																																								
dermatology_disord	False		False	string																																																																																																																																																																																																										True																																																																																																																																																																																																																	
detec_type	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																												True															
dew_point	False	True	True	string																			True																																																																																																															True																																																																			True																																																																																																															True																																																																																																							
diet_last_six_month	False		False	string																																																																																																																																																																																																						True																																																								True																									True																																																																							True																																																													
dietary_claim_use	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																														True													
diether_lipids	False	True	False	string																																																																																								True																																																																																																																																																																																																																																																																																																																																			
diss_carb_dioxide	False	True	True	string																																																																					True								True																																																					True																																			True																																		True				True																																																																																																																																																																																																																
diss_hydrogen	False	True	True	string																																																																					True																																																													True																																																																									True																																																																																																																																																																																																																
diss_inorg_carb	False	True	True	string																																																																True													True																	True																																				True																																			True																																						True																																												True																																																																																																																																																																				
diss_inorg_nitro	False	True	True	string																																																																True					True																																																													True																																																																									True																																												True																																		True																																																																																																																																		
diss_inorg_phosp	False		True	string																																																																																																																																		True																																																																									True																																												True																																																									True																																																																																																											
diss_iron	False	True	True	string																																																																													True																																																					True																																																																									True																																														True																																																																																																																																																																		
diss_org_carb	False	True	True	string																																																																					True								True																																																					True																																			True																																						True																																																																																						True																																																																																																																										
diss_org_nitro	False		True	string																																																																																																																																		True																																																																									True																																																																														True								True																																																																																																																										
diss_oxygen	False	True	True	string																																																																				True									True																																																					True																																																																									True																																																																																											True																																																																																																																					
diss_oxygen_fluid	False	True	True	string																																																																				True									True																																																					True																																																																									True																		True																																																																									True																																																																																																																					
dominant_hand	True		False	DominantHandEnum																																																																																																																																																																																																																																																																																																																																																																																																																											
door_comp_type	True		False	DoorCompTypeEnum																																																																																																																																																																														True																															True																																																																																																																																																																																															True															
door_cond	True		False	DamagedRupturedEnum																																																																																																																																																																																True																													True																																																																																																																																																																																																														
door_direct	True		False	DoorDirectEnum																																																																																																																																																																																																													True																																																																																																																																																																																																														
door_loc	True		False	CompassDirections8Enum																																																																																																																																																																																																													True																																																							True																																																																																																																																																							
door_mat	True		False	DoorMatEnum																																																																																																																																																																																																													True																																																												True																																																																																																																																																		
door_move	True		False	DoorMoveEnum																																																																																																																																																																																																													True																																																																																																																																																																																																														
door_size	False	True	True	string																																																																																																									True																									True																																																																											True																																																																																																																																																		True																																																												
door_type	True		False	DoorTypeEnum																																																																																																																																																																																																													True																																																																																																																																																																																															True															
door_type_metal	True		False	DoorTypeMetalEnum																																																																																																																																																																																																													True																																																																		True																																																																																																																													True															
door_type_wood	False		False	string																																																																																																																																																																																																													True																																																																																																																																																																																															True															
door_water_mold	True		False	MoldVisibilityEnum																																																																																																																																																																																																													True																																																																									True																																																																																																																															True						
douche	False		False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																											
down_par	False	True	True	string																																																											True	True																																																																						True																																																																																																																																																																																																																																																																																									
drainage_class	True		False	DrainageClassEnum																																																																																																																																																																									True																																																																																																																																																																																																																																																		
drawings	True		False	DrawingsEnum																																																																																																																																																																																																																																																																																																																																																																																																																											
drug_usage	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																																											
efficiency_percent	False	True	True	string																																																																					True																													True																																True																																																																																																																																																																												True																																																																																																													
elev	False	True	False	string																																																								True																																																																										True																																																																																																																																																																																																																																																																																									
elevator	False		False	integer																																																																																																																																																																																																																																																																																																																																																																																																																											
emulsions	False	True	False	string																																True																																																																																																																																																																																																																																																																																																																																																																																											
encoded_traits	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																																											
enrichment_protocol	False		False	string																																																																																																																			True																																																																																																																																																																																																																																																																																																								
env_broad_scale	False		False	string																																																																																																																																				True																																																																											True																																																																																																																																			True																																																																									
env_local_scale	False		False	string																																																																																																																																				True																																																																											True																																																						True																																																																													True																																																																									
env_medium	False		False	string																																																																																																																																				True																																																																											True																																																															True																																																																																																																																													
env_monitoring_zone	False		False	string																																																																																																																																																																																																															True																																																																																																																																																																																																												
escalator	False		False	integer																																																																																																																																																																																																																																																																																																																																																																																																																											
estimated_size	False		False	string																																																																																																																																																																																																																																																																																																																																																															True																																																												
ethnicity	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																																											
ethylbenzene	False	True	True	string																																																																													True																	True																																				True																																																																																																																																																																																																																																																																																									
exp_duct	False	True	True	string																																																																																																									True																									True																																																																																	True																																																																																																																																																																																																								
exp_pipe	False		True	string																																																																																																																											True																																																																																								True																																																																																																																																																																																																								
experimental_factor	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																																											
ext_door	False		False	integer																																																																																																																																																																																																													True							True																																																																																																																																																																																																							
ext_wall_orient	True		False	CompassDirections8Enum																																																																																																																																																																																																																				True																																																																														True																																																																																																																		True							
ext_window_orient	True		False	CompassDirections8Enum																																																																																																																																																																																																																				True																																																																														True																																																																																																																								True	
extr_weather_event	True		False	ExtrWeatherEventEnum																																																																																																																																																																																																																		True			True																																																																																																																																																																																																	True					
extrachrom_elements	False		False	integer																																																																																																																																																																																																																																																																																																																																																																																																																											
extreme_event	False		False	datetime																																																																																																																																																																																																																		True																																																																																																																																																																																																									
facility_type	True		False	FacilityTypeEnum																																																																																																																																																																																																																																																																																																																																																																																																												True															
fao_class	True		False	FaoClassEnum																																																																																																																																																																									True																																																																																																																																																																																																																																																		
farm_equip	False		False	string																																																																																																																																				True																																																																													True						True																																																																																																																																																																																																				
farm_equip_san	False	True	False	string																																																																																														True																																																																																																																			True						True																																																																																																																								True																																																																												
