_id,total_count,parsed_quantity_count,dimensional_count,range_like_count,range_like_with_units_count,harmonized_name,parsed_quantity_proportion,dimensional_proportion,range_like_proportion,range_like_with_units_proportion
67f033c33586ad429bb51059,37162,24154,6074,24154,6074,phosphate,0.6499650180291696,0.16344653140304613,0.6499650180291696,0.16344653140304613
67f033c33586ad429bb5105a,240739,166052,46751,166052,46751,altitude,0.6897594490298622,0.1941978657384138,0.6897594490298622,0.1941978657384138
67f033c33586ad429bb5105b,26980,17038,3508,17038,3508,nitrite,0.6315048183839881,0.13002223869532986,0.6315048183839881,0.13002223869532986
67f033c33586ad429bb5105c,146,146,0,146,0,blood_press_syst,1,0,1,0
67f033c33586ad429bb5105d,11252,2669,1175,2669,1175,slope_gradient,0.23720227515108425,0.10442587984358337,0.23720227515108425,0.10442587984358337
67f033c33586ad429bb5105e,1456,63,54,63,54,tot_inorg_nitro,0.04326923076923077,0.03708791208791209,0.04326923076923077,0.03708791208791209
67f033c33586ad429bb5105f,510,510,510,510,510,floor_area,1,1,1,1
67f033c33586ad429bb51060,1915,369,245,369,245,host_wet_mass,0.1926892950391645,0.1279373368146214,0.1926892950391645,0.1279373368146214
67f033c33586ad429bb51061,467,23,13,23,13,indust_eff_percent,0.04925053533190578,0.027837259100642397,0.04925053533190578,0.027837259100642397
67f033c33586ad429bb51062,1778,243,148,243,148,primary_prod,0.13667041619797526,0.08323959505061868,0.13667041619797526,0.08323959505061868
67f033c33586ad429bb51063,47758,22925,16292,22925,16292,size_frac,0.4800242891243352,0.34113656350768456,0.4800242891243352,0.34113656350768456
67f033c33586ad429bb51064,15620,6243,877,6243,877,sodium,0.3996798975672215,0.05614596670934699,0.3996798975672215,0.05614596670934699
67f033c33586ad429bb51065,4598,1100,0,1100,0,porosity,0.23923444976076555,0,0.23923444976076555,0
67f033c33586ad429bb51066,3752,2287,1889,2287,1889,suspend_part_matter,0.6095415778251599,0.5034648187633263,0.6095415778251599,0.5034648187633263
67f033c33586ad429bb51067,28036,7383,1841,7383,1841,soil_text_measure,0.2633399914395777,0.06566557283492652,0.2633399914395777,0.06566557283492652
67f033c33586ad429bb51068,4338,2673,2028,2673,2028,part_org_nitro,0.6161825726141079,0.46749654218533887,0.6161825726141079,0.46749654218533887
67f033c33586ad429bb51069,15922,8513,1017,8513,1017,magnesium,0.5346690114307248,0.06387388519030272,0.5346690114307248,0.06387388519030272
67f033c33586ad429bb5106a,20136,11117,678,11117,678,air_temp,0.5520957489074295,0.03367103694874851,0.5520957489074295,0.03367103694874851
67f033c33586ad429bb5106b,2348,1130,296,1130,296,down_par,0.48126064735945484,0.1260647359454855,0.48126064735945484,0.1260647359454855
67f033c33586ad429bb5106c,2884,1598,16,1598,16,address,0.5540915395284327,0.005547850208044383,0.5540915395284327,0.005547850208044383
67f033c33586ad429bb5106d,41128,27057,5105,27057,5105,nitrate,0.6578729819101342,0.12412468391363549,0.6578729819101342,0.12412468391363549
