slot,used_in_nmdc
HACCP_term,False
IFSAC_category,False
abs_air_humidity,True
adapters,False
add_recov_method,True
additional_info,True
address,True
adj_room,True
adjacent_environment,False
aero_struc,True
agriculture_data,False
agrochem_addition,True
air_PM_concen,True
air_data,False
air_flow_impede,False
air_temp,True
air_temp_regm,True
al_sat,True
al_sat_meth,True
alkalinity,True
alkalinity_method,True
alkyl_diethers,True
alt,True
aminopept_act,True
ammonium,True
amniotic_fluid_color,False
amount_light,True
ances_data,True
anim_water_method,False
animal_am,False
animal_am_dur,False
animal_am_freq,False
animal_am_route,False
animal_am_use,False
animal_body_cond,False
animal_diet,False
animal_feed_equip,False
animal_group_size,False
animal_housing,False
animal_intrusion,False
animal_sex,False
annot,False
annual_precpt,True
annual_temp,True
antibiotic_regm,True
api,True
arch_struc,True
area_samp_size,False
aromatics_pc,True
asphaltenes_pc,True
assembly_name,False
assembly_qual,False
assembly_software,False
associated_resource,False
association_duration,False
atmospheric_data,True
avg_dew_point,True
avg_occup,True
avg_temp,True
bac_prod,True
bac_resp,True
bacteria_carb_prod,True
bacterial_density,False
barometric_press,True
basin,True
bathroom_count,True
bedroom_count,True
benzene,True
bin_param,False
bin_software,False
biochem_oxygen_dem,True
biocide,True
biocide_admin_method,True
biocide_used,False
biol_stat,True
biomass,True
biotic_regm,True
biotic_relationship,True
birth_control,False
bishomohopanol,True
blood_blood_disord,False
blood_press_diast,True
blood_press_syst,True
bromide,True
build_docs,True
build_occup_type,True
building_setting,True
built_environment_data,False
built_struc_age,True
built_struc_set,True
built_struc_type,True
calcium,True
carb_dioxide,True
carb_monoxide,True
carb_nitro_ratio,True
ceil_area,True
ceil_cond,True
ceil_finish_mat,True
ceil_struc,True
ceil_texture,True
ceil_thermal_mass,True
ceil_type,True
ceil_water_mold,True
chem_administration,True
chem_mutagen,True
chem_oxygen_dem,True
chem_treat_method,True
chem_treatment,True
chimera_check,False
chloride,True
chlorophyll,True
climate_environment,True
