field	count
addDate	216758
ecosystemPathId	216758
biosampleName	216758
biosampleGoldId	216758
ecosystemCategory	216756
ecosystemSubtype	216756
ecosystem	216756
ecosystemType	216756
habitat	216749
sampleCollectionSite	216748
specificEcosystem	216736
geoLocation	215524
geographicLocation	215524
isoCountry	213134
latitude	212604
longitude	212603
ncbiTaxId	202019
ncbiTaxName	202019
description	199641
dateCollected	170017
modDate	137952
mixsPackage	104498
hostNcbiTaxid	98488
hostName	98311
depthInMeters	59086
elevationInMeters	57828
env_medium_labels_equivalent	56910
envoMedium_id	56910
env_medium_obsolete	56910
env_medium_canonical_label	56910
envoMedium_label	56910
env_medium_canonical_curie	56910
envoLocalScale_id	56568
env_local_scale_canonical_curie	56568
envoLocalScale_label	56568
env_local_scale_obsolete	56568
env_local_scale_canonical_label	56568
env_local_scale_labels_equivalent	56568
envoBroadScale_id	52294
env_broad_scale_obsolete	52294
env_broad_scale_canonical_curie	52294
envoBroadScale_label	52294
env_broad_scale_canonical_label	52294
env_broad_scale_labels_equivalent	52294
depthInMeters2	13961
sampleBodySite	10337
sampleBodySubsite	6469
hostGender	5921
sampleCollectionTemperature	5889
altitudeInMeters	4170
ph	3884
nitrateConcentration	2275
salinityConcentration	2062
oxygenConcentration	2041
subsurfaceDepthInMeters	1229
longhurst_code	967
longhurst_description	967
visitNum	768
hostDiseases	665
subsurfaceDepthInMeters2	487
pressure	483
salinity	409
altitudeInMeters2	391
elevationInMeters2	300
