field	count
name	13006
lat_lon_longitude	13006
associated_studies	13006
lat_lon_latitude	13006
env_medium_term.id	13006
id	13006
env_broad_scale_term.id	13006
env_local_scale_term.id	13006
geo_loc_name_has_raw_value	12974
collection_date_has_raw_value	12495
env_medium_term.name	12265
env_local_scale_term.name	12062
env_broad_scale_term.name	11753
elev	11010
analysis_type	9497
biosample_categories	9192
depth_has_maximum_numeric_value	8951
depth_has_minimum_numeric_value	8924
ecosystem_category	8578
ecosystem_type	8578
ecosystem	8578
ecosystem_subtype	8536
lat_lon_has_raw_value	7779
env_medium_has_raw_value	7779
env_local_scale_has_raw_value	7779
env_broad_scale_has_raw_value	7779
samp_name	7236
specific_ecosystem	7134
env_package_has_raw_value	6551
depth_has_unit	6365
temp_has_numeric_value	4900
temp_has_unit	4900
soil_horizon	4680
depth_has_raw_value	4679
ph	4539
gold_biosample_identifiers	4402
water_content	4331
samp_collec_device	4322
samp_store_temp_has_raw_value	4209
samp_store_temp_has_numeric_value	4209
samp_store_temp_has_unit	4209
growth_facil_has_raw_value	3934
store_cond_has_raw_value	3650
description	3381
experimental_factor_other	3372
sample_collection_site	3279
source_mat_id_has_raw_value	2929
habitat	2915
location	2891
sieving_has_raw_value	2809
cur_vegetation_has_raw_value	2800
agrochem_addition	2676
mod_date	2637
add_date	2637
ncbi_taxonomy_name	2614
insdc_biosample_identifiers	2439
samp_taxon_id_term.id	2412
samp_taxon_id_has_raw_value	2373
img_identifiers	1743
tot_nitro_content_has_numeric_value	1432
tot_nitro_content_has_unit	1432
org_carb_has_numeric_value	1407
org_carb_has_unit	1407
ammonium_nitrogen_has_unit	1342
ammonium_nitrogen_has_numeric_value	1342
samp_taxon_id_term.name	1223
depth_has_numeric_value	1161
carb_nitro_ratio_has_numeric_value	1111
host_taxid_has_raw_value	927
host_taxid_term.id	927
nitro_has_numeric_value	919
nitro_has_unit	919
host_name	868
other_treatment	790
misc_param	684
samp_size_has_numeric_value	665
samp_size_has_unit	665
experimental_factor_has_raw_value	486
diss_oxygen_has_numeric_value	435
diss_oxygen_has_unit	435
collected_from	416
experimental_factor_term.name	409
experimental_factor_term.id	409
community	379
host_common_name_has_raw_value	358
alternative_identifiers	336
carb_nitro_ratio_has_raw_value	271
perturbation	201
avg_temp_has_unit	192
solar_irradiance_has_numeric_value	192
host_dry_mass_has_raw_value	192
humidity_has_unit	192
host_dry_mass_has_unit	192
humidity_has_raw_value	192
photon_flux_has_numeric_value	192
abs_air_humidity_has_unit	192
avg_temp_has_numeric_value	192
photon_flux_has_raw_value	192
abs_air_humidity_has_numeric_value	192
abs_air_humidity_has_raw_value	192
wind_speed_has_raw_value	192
avg_temp_has_raw_value	192
tot_carb_has_numeric_value	192
host_height_has_numeric_value	192
