studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label	bad_ebs	bad_em	cosine_distance_broad_scale	cosine_distance_local_scale	cosine_distance_medium
Gs0154244	Gb0239934	PRJEB42019	SAMEA7723478	PRJEB42019	SAMEA7723478	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
Gs0154244	Gb0239935	PRJEB42019	SAMEA7724283	PRJEB42019	SAMEA7724283	cropland biome	banana plantation	surface soil	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000245	cropland biome	ENVO:00000161	banana plantation	ENVO:02000059	surface soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239936	PRJEB42019	SAMEA7724284	PRJEB42019	SAMEA7724284	cropland biome	banana plantation	surface soil	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000245	cropland biome	ENVO:00000161	banana plantation	ENVO:02000059	surface soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239937	PRJEB42019	SAMEA7724285	PRJEB42019	SAMEA7724285	cropland biome	banana plantation	surface soil	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000245	cropland biome	ENVO:00000161	banana plantation	ENVO:02000059	surface soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239938	PRJEB42019	SAMEA7724288	PRJEB42019	SAMEA7724288	cropland biome	planted forest	surface soil	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000245	cropland biome	ENVO:00000119	planted forest	ENVO:02000059	surface soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239939	PRJEB42019	SAMEA7724289	PRJEB42019	SAMEA7724289	cropland biome	planted forest	surface soil	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000245	cropland biome	ENVO:00000119	planted forest	ENVO:02000059	surface soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239940	PRJEB42019	SAMEA7724290	PRJEB42019	SAMEA7724290	cropland biome	planted forest	surface soil	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000245	cropland biome	ENVO:00000119	planted forest	ENVO:02000059	surface soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239941	PRJEB42019	SAMEA7724119	PRJEB42019	SAMEA7724119	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239942	PRJEB42019	SAMEA7724120	PRJEB42019	SAMEA7724120	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239943	PRJEB42019	SAMEA7724121	PRJEB42019	SAMEA7724121	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
