biosampleGoldId	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label
Gb0239950	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel
Gb0239951	6016	Environmental	Terrestrial	Soil	Tropical forest	Bulk soil	ENVO:01000249	urban biome	ENVO:00000119	planted forest	ENVO:02000059	surface soil
Gb0239952	6016	Environmental	Terrestrial	Soil	Tropical forest	Bulk soil	ENVO:01000249	urban biome	ENVO:00000119	planted forest	ENVO:02000059	surface soil
Gb0239953	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239954	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239955	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239956	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239957	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239958	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239959	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239960	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239961	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239962	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239963	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
Gb0239964	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil
