class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count	ucum	notes	slots	example
Air	carb_monoxide	micromole per liter, parts per million	3	micromole per liter	8	24	umol/L			
Air	carb_monoxide	micromole per liter, parts per million	3	parts per million	11	33	[ppm]			
Air	elev	meter	72	meter	3	216	m			
Air	methane	micromole per liter, parts per billion, parts per million	3	micromole per liter	8	24	umol/L			
Air	methane	micromole per liter, parts per billion, parts per million	3	parts per billion	1	3	[ppb]			
Air	methane	micromole per liter, parts per billion, parts per million	3	parts per million	11	33	[ppm]			
Air	oxygen	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
Air	oxygen	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
Air	pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	1	gram	10	10	g			
Air	pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	1	mole per liter	7	7	mol/h			
Air	pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	1	milligram per liter	15	15	mg/L			
Air	pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	1	microgram per cubic meter	2	2	ug/m3			
Air	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
Air	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
Air	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
Air	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
Air	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
Air	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
Air	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
Air	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	kilowatts per square meter per day	1	3	kW/m2/d			
Air	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	ergs per square centimeter per second	1	3	erg/cm2/s			
Air	temp	degree Celsius	88	degree Celsius	2	176	Cel			
Air	ventilation_rate	cubic meter per minute, liters per second	2	cubic meter per minute	1	2	m3/min			
Air	ventilation_rate	cubic meter per minute, liters per second	2	liters per second	1	2	L/s			
Air	volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	1	microgram per cubic meter	2	2	ug/m3			
Air	volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	1	parts per million	11	11	[ppm]			
Air	volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	1	nanogram per liter	2	2	ng/L			
Air	wind_direction	degrees or cardinal direction	2	degrees	1	2	deg	also mentioned in org_count_qpcr_info and pcr_cond	wind_direction	
Air	wind_direction	degrees or cardinal direction	2	cardinal direction	1	2		cardinal directions are N, NE, E, etc. Example is compound and should be split.	wind_direction	0 degrees; Northwest
BuiltEnvironment	abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	1	gram per gram	2	2	g/g			
BuiltEnvironment	abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	1	kilogram per kilogram	1	1	kg/kg			
BuiltEnvironment	abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	1	kilogram	4	4	kg			
BuiltEnvironment	abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	1	pound	1	1	[lb_av]			
BuiltEnvironment	air_temp	degree Celsius	88	degree Celsius	2	176	Cel			
BuiltEnvironment	amount_light	lux, lumens per square meter	1	lux	3	3	lx			
BuiltEnvironment	amount_light	lux, lumens per square meter	1	lumens per square meter	1	1	lm/m2			
BuiltEnvironment	avg_dew_point	degree Celsius	88	degree Celsius	2	176	Cel			
BuiltEnvironment	avg_temp	degree Celsius	88	degree Celsius	2	176	Cel			
BuiltEnvironment	built_struc_age	year	1	year	2	2	a	!		
BuiltEnvironment	carb_dioxide	micromole per liter, parts per million	3	micromole per liter	8	24	umol/L			
BuiltEnvironment	carb_dioxide	micromole per liter, parts per million	3	parts per million	11	33	[ppm]			
BuiltEnvironment	ceil_area	square meter	6	square meter	2	12	m2			
BuiltEnvironment	ceil_thermal_mass	joule per degree Celsius	3	joule per degree Celsius	1	3		https://ucum.nlm.nih.gov/ucum-lhc/demo.html says J/Cel is an Attempt to divide by non-ratio unit degree Celsius	ceil_thermal_mass|floor_thermal_mass|wall_thermal_mass	
BuiltEnvironment	dew_point	degree Celsius	88	degree Celsius	2	176	Cel			
BuiltEnvironment	door_size	square meter	6	square meter	2	12	m2			
BuiltEnvironment	exp_duct	square meter	6	square meter	2	12	m2			
BuiltEnvironment	floor_age	years, weeks, days	1	years	1	1	a	!		
BuiltEnvironment	floor_age	years, weeks, days	1	weeks	1	1	wk			
BuiltEnvironment	floor_age	years, weeks, days	1	days	4	4	d			
BuiltEnvironment	floor_area	square meter	6	square meter	2	12	m2			
BuiltEnvironment	floor_thermal_mass	joule per degree Celsius	3	joule per degree Celsius	1	3		https://ucum.nlm.nih.gov/ucum-lhc/demo.html says J/Cel is an Attempt to divide by non-ratio unit degree Celsius	ceil_thermal_mass|floor_thermal_mass|wall_thermal_mass	
BuiltEnvironment	height_carper_fiber	centimeter	3	centimeter	2	6	cm			
BuiltEnvironment	inside_lux	kilowatt per square metre	1	kilowatt per square metre	1	1	kW/m2			
BuiltEnvironment	rel_air_humidity	percentage	13	percentage	2	26	%			
BuiltEnvironment	rel_humidity_out	gram of air, kilogram of air	2	gram of air	1	2	g{air}			
BuiltEnvironment	rel_humidity_out	gram of air, kilogram of air	2	kilogram of air	1	2	kg{air}			
BuiltEnvironment	room_air_exch_rate	liter per hour	1	liter per hour	1	1	L/h			
BuiltEnvironment	room_dim	meter	72	meter	3	216	m			
BuiltEnvironment	room_door_dist	meter	72	meter	3	216	m			
BuiltEnvironment	room_net_area	square feet, square meter	1	square feet	1	1	[ft_i]2			
BuiltEnvironment	room_net_area	square feet, square meter	1	square meter	2	2	m2			
BuiltEnvironment	room_vol	cubic feet, cubic meter	1	cubic feet	1	1	[ft_i]3			
BuiltEnvironment	room_vol	cubic feet, cubic meter	1	cubic meter	1	1	m3			
BuiltEnvironment	samp_time_out	hour	1	hour	2	2	h			
BuiltEnvironment	specific_humidity	gram of air, kilogram of air	2	gram of air	1	2	g{air}			
BuiltEnvironment	specific_humidity	gram of air, kilogram of air	2	kilogram of air	1	2	kg{air}			
BuiltEnvironment	surf_humidity	percentage	13	percentage	2	26	%			
BuiltEnvironment	surf_moisture	parts per million, gram per cubic meter, gram per square meter	1	parts per million	11	11	[ppm]			
BuiltEnvironment	surf_moisture	parts per million, gram per cubic meter, gram per square meter	1	gram per cubic meter	3	3	g/m3			
BuiltEnvironment	surf_moisture	parts per million, gram per cubic meter, gram per square meter	1	gram per square meter	1	1	g/m2			
BuiltEnvironment	surf_temp	degree Celsius	88	degree Celsius	2	176	Cel			
BuiltEnvironment	temp_out	degree Celsius	88	degree Celsius	2	176	Cel			
BuiltEnvironment	wall_area	square meter	6	square meter	2	12	m2			
