class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count	ucum	notes	slots	example
HostAssociated	host_age	year, day, hour	11	day	1	11	d			
HostAssociated	host_age	year, day, hour	11	hour	2	22	h			
HostAssociated	host_body_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HostAssociated	host_dry_mass	kilogram, gram	17	kilogram	4	68	kg			
HostAssociated	host_dry_mass	kilogram, gram	17	gram	10	170	g			
HostAssociated	host_height	centimeter, millimeter, meter	15	centimeter	2	30	cm			
HostAssociated	host_height	centimeter, millimeter, meter	15	millimeter	2	30	mm			
HostAssociated	host_height	centimeter, millimeter, meter	15	meter	3	45	m			
HostAssociated	host_length	centimeter, millimeter, meter	15	centimeter	2	30	cm			
HostAssociated	host_length	centimeter, millimeter, meter	15	millimeter	2	30	mm			
HostAssociated	host_length	centimeter, millimeter, meter	15	meter	3	45	m			
HostAssociated	host_tot_mass	kilogram, gram	17	kilogram	4	68	kg			
HostAssociated	host_tot_mass	kilogram, gram	17	gram	10	170	g			
HostAssociated	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
HostAssociated	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
HostAssociated	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HostAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
HostAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
HostAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
HostAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
HostAssociated	temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanAssociated	host_age	year, day, hour	11	year	2	22	a	!		
HumanAssociated	host_age	year, day, hour	11	day	1	11	d			
HumanAssociated	host_age	year, day, hour	11	hour	2	22	h			
HumanAssociated	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5	kg/m2			
HumanAssociated	host_body_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanAssociated	host_height	centimeter, millimeter, meter	15	centimeter	2	30	cm			
HumanAssociated	host_height	centimeter, millimeter, meter	15	millimeter	2	30	mm			
HumanAssociated	host_height	centimeter, millimeter, meter	15	meter	3	45	m			
HumanAssociated	host_pulse	beats per minute	5	beats per minute	1	5	{beats}/min			
HumanAssociated	host_tot_mass	kilogram, gram	17	kilogram	4	68	kg			
HumanAssociated	host_tot_mass	kilogram, gram	17	gram	10	170	g			
HumanAssociated	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
HumanAssociated	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
HumanAssociated	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
HumanAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
HumanAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
HumanAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
HumanAssociated	temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanAssociated	weight_loss_3_month	kilogram, gram	17	kilogram	4	68	kg			
HumanAssociated	weight_loss_3_month	kilogram, gram	17	gram	10	170	g			
HumanGut	host_age	year, day, hour	11	year	2	22	a	!		
HumanGut	host_age	year, day, hour	11	day	1	11	d			
HumanGut	host_age	year, day, hour	11	hour	2	22	h			
HumanGut	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5	kg/m2			
HumanGut	host_body_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanGut	host_height	centimeter, millimeter, meter	15	centimeter	2	30	cm			
HumanGut	host_height	centimeter, millimeter, meter	15	millimeter	2	30	mm			
HumanGut	host_height	centimeter, millimeter, meter	15	meter	3	45	m			
HumanGut	host_pulse	beats per minute	5	beats per minute	1	5	{beats}/min			
HumanGut	host_tot_mass	kilogram, gram	17	kilogram	4	68	kg			
HumanGut	host_tot_mass	kilogram, gram	17	gram	10	170	g			
HumanGut	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
HumanGut	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
HumanGut	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanGut	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
HumanGut	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
HumanGut	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
HumanGut	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
HumanGut	temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanOral	host_age	year, day, hour	11	year	2	22	a	!		
HumanOral	host_age	year, day, hour	11	day	1	11	d			
HumanOral	host_age	year, day, hour	11	hour	2	22	h			
HumanOral	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5	kg/m2			
HumanOral	host_body_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanOral	host_height	centimeter, millimeter, meter	15	centimeter	2	30	cm			
HumanOral	host_height	centimeter, millimeter, meter	15	millimeter	2	30	mm			
HumanOral	host_height	centimeter, millimeter, meter	15	meter	3	45	m			
HumanOral	host_pulse	beats per minute	5	beats per minute	1	5	{beats}/min			
HumanOral	host_tot_mass	kilogram, gram	17	kilogram	4	68	kg			
HumanOral	host_tot_mass	kilogram, gram	17	gram	10	170	g			
HumanOral	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
HumanOral	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
HumanOral	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanOral	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
HumanOral	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
HumanOral	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
HumanOral	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
HumanOral	temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanSkin	host_age	year, day, hour	11	year	2	22	a	!		
HumanSkin	host_age	year, day, hour	11	day	1	11	d			
HumanSkin	host_age	year, day, hour	11	hour	2	22	h			
HumanSkin	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5	kg/m2			
HumanSkin	host_body_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanSkin	host_height	centimeter, millimeter, meter	15	centimeter	2	30	cm			
HumanSkin	host_height	centimeter, millimeter, meter	15	millimeter	2	30	mm			
HumanSkin	host_height	centimeter, millimeter, meter	15	meter	3	45	m			
HumanSkin	host_pulse	beats per minute	5	beats per minute	1	5	{beats}/min			
HumanSkin	host_tot_mass	kilogram, gram	17	kilogram	4	68	kg			
HumanSkin	host_tot_mass	kilogram, gram	17	gram	10	170	g			
HumanSkin	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
HumanSkin	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
HumanSkin	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanSkin	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
HumanSkin	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
HumanSkin	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
HumanSkin	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
HumanSkin	temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanVaginal	host_age	year, day, hour	11	year	2	22	a	!		
HumanVaginal	host_age	year, day, hour	11	day	1	11	d			
HumanVaginal	host_age	year, day, hour	11	hour	2	22	h			
HumanVaginal	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5	kg/m2			
HumanVaginal	host_body_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanVaginal	host_height	centimeter, millimeter, meter	15	centimeter	2	30	cm			
HumanVaginal	host_height	centimeter, millimeter, meter	15	millimeter	2	30	mm			
HumanVaginal	host_height	centimeter, millimeter, meter	15	meter	3	45	m			
HumanVaginal	host_pulse	beats per minute	5	beats per minute	1	5	{beats}/min			
HumanVaginal	host_tot_mass	kilogram, gram	17	kilogram	4	68	kg			
HumanVaginal	host_tot_mass	kilogram, gram	17	gram	10	170	g			
HumanVaginal	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
HumanVaginal	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
HumanVaginal	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HumanVaginal	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
HumanVaginal	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
HumanVaginal	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
HumanVaginal	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
HumanVaginal	temp	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesCores	alkalinity	milliequivalent per liter, milligram per liter	7	milliequivalent per liter	1	7	mEq/L			
HydrocarbonResourcesCores	alkalinity	milliequivalent per liter, milligram per liter	7	milligram per liter	15	105	mg/L			
HydrocarbonResourcesCores	ammonium	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesCores	ammonium	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesCores	ammonium	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesCores	api	degrees API	2	degrees API	1	2	{api_gravity)	*	api	31.1 API
HydrocarbonResourcesCores	aromatics_pc	percent	10	percent	1	10	%			
HydrocarbonResourcesCores	asphaltenes_pc	percent	10	percent	1	10	%			
HydrocarbonResourcesCores	benzene	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	benzene	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesCores	calcium	milligram per liter, micromole per liter, parts per million	6	milligram per liter	15	90	mg/L			
HydrocarbonResourcesCores	calcium	milligram per liter, micromole per liter, parts per million	6	micromole per liter	8	48	umol/L			
HydrocarbonResourcesCores	calcium	milligram per liter, micromole per liter, parts per million	6	parts per million	11	66	[ppm]			
HydrocarbonResourcesCores	chloride	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	chloride	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesCores	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic meter	3	15	g/m3			
HydrocarbonResourcesCores	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic centimeter	1	5	g/cm3			
HydrocarbonResourcesCores	diss_carb_dioxide	micromole per liter, milligram per liter	11	micromole per liter	8	88	umol/L			
HydrocarbonResourcesCores	diss_carb_dioxide	micromole per liter, milligram per liter	11	milligram per liter	15	165	mg/L			
HydrocarbonResourcesCores	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	microgram per liter	6	36	ug/L			
HydrocarbonResourcesCores	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	milligram per liter	15	90	mg/L			
HydrocarbonResourcesCores	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	parts per million	11	66	[ppm]			
HydrocarbonResourcesCores	diss_iron	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesCores	diss_org_carb	micromole per liter, milligram per liter	11	micromole per liter	8	88	umol/L			
HydrocarbonResourcesCores	diss_org_carb	micromole per liter, milligram per liter	11	milligram per liter	15	165	mg/L			
HydrocarbonResourcesCores	diss_oxygen_fluid	micromole per kilogram, milligram per liter	6	micromole per kilogram	2	12	umol/kg			
HydrocarbonResourcesCores	diss_oxygen_fluid	micromole per kilogram, milligram per liter	6	milligram per liter	15	90	mg/L			
HydrocarbonResourcesCores	elev	meter	72	meter	3	216	m			
HydrocarbonResourcesCores	ethylbenzene	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	ethylbenzene	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesCores	hcr_fw_salinity	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesCores	hcr_pressure	atmosphere, kilopascal	2	atmosphere	2	4	atm			
HydrocarbonResourcesCores	hcr_pressure	atmosphere, kilopascal	2	kilopascal	1	2	kPa			
HydrocarbonResourcesCores	hcr_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesCores	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	mole per liter	7	35	mol/h			
HydrocarbonResourcesCores	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	milligram per liter	15	75	mg/L			
HydrocarbonResourcesCores	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	parts per million	11	55	[ppm]			
HydrocarbonResourcesCores	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	micromole per kilogram	2	10	umol/kg			
HydrocarbonResourcesCores	nitrate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesCores	nitrate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesCores	nitrate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesCores	nitrite	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesCores	nitrite	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesCores	nitrite	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesCores	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per gram	1	2	{cells}/g	see number of cells per gram (or ml or cm^2)		
HydrocarbonResourcesCores	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per ml	1	2	{cells}/mL	see number of cells per gram (or ml or cm^2)		
HydrocarbonResourcesCores	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per cm^2	1	2	{cells}/cm2	see number of cells per gram (or ml or cm^2)		
HydrocarbonResourcesCores	owc_tvdss	meter	72	meter	3	216	m			
HydrocarbonResourcesCores	permeability	mD	1	mD	1	1	{millidarcy}		permeability	
HydrocarbonResourcesCores	porosity	percentage	13	percentage	2	26	%			
HydrocarbonResourcesCores	potassium	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	potassium	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesCores	pour_point	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesCores	pressure	atmosphere	6	atmosphere	2	12	atm			
HydrocarbonResourcesCores	resins_pc	percent	10	percent	1	10	%			
HydrocarbonResourcesCores	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
HydrocarbonResourcesCores	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
HydrocarbonResourcesCores	samp_md	meter	72	meter	3	216	m			
HydrocarbonResourcesCores	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesCores	samp_transport_cond	days;degree Celsius	2	days	4	8	d			
HydrocarbonResourcesCores	samp_transport_cond	days;degree Celsius	2	degree Celsius	2	4	Cel			
HydrocarbonResourcesCores	samp_tvdss	meter	72	meter	3	216	m			
HydrocarbonResourcesCores	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
HydrocarbonResourcesCores	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
HydrocarbonResourcesCores	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
HydrocarbonResourcesCores	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
HydrocarbonResourcesCores	saturates_pc	percent	10	percent	1	10	%			
HydrocarbonResourcesCores	sodium	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	sodium	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesCores	sulfate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesCores	sulfate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesCores	sulfate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesCores	sulfate_fw	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesCores	sulfide	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesCores	sulfide	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesCores	sulfide	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesCores	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	gram	10	30	g			
HydrocarbonResourcesCores	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	microgram	3	9	ug			
HydrocarbonResourcesCores	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	milligram per liter	15	45	mg/L			
HydrocarbonResourcesCores	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	mole per liter	7	21	mol/h			
HydrocarbonResourcesCores	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	gram per liter	4	12	g/L			
HydrocarbonResourcesCores	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	part per million	1	3	[ppm]			
HydrocarbonResourcesCores	tan	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesCores	temp	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesCores	toluene	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	toluene	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesCores	tot_iron	milligram per liter, milligram per kilogram	2	milligram per liter	15	30	mg/L			
HydrocarbonResourcesCores	tot_iron	milligram per liter, milligram per kilogram	2	milligram per kilogram	1	2	mg/kg			
HydrocarbonResourcesCores	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	microgram per liter	6	24	ug/L			
HydrocarbonResourcesCores	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	micromole per liter	8	32	umol/L			
HydrocarbonResourcesCores	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	milligram per liter	15	60	mg/L			
HydrocarbonResourcesCores	tot_phosp	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesCores	tot_phosp	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesCores	tot_phosp	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesCores	tot_sulfur	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	tot_sulfur	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesCores	tvdss_of_hcr_press	meter	72	meter	3	216	m			
HydrocarbonResourcesCores	tvdss_of_hcr_temp	meter	72	meter	3	216	m			
HydrocarbonResourcesCores	vfa	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	vfa	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesCores	vfa_fw	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesCores	viscosity	cP at degree Celsius	2	cP at degree Celsius	1	2		compound specification, not a single unit. Should probably be expressed as X cP;Y Cel. Note: the schema provides the example in the description	viscosity	3.5 cp; 100 C
HydrocarbonResourcesCores	xylene	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesCores	xylene	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	alkalinity	milliequivalent per liter, milligram per liter	7	milliequivalent per liter	1	7	mEq/L			
HydrocarbonResourcesFluidsSwabs	alkalinity	milliequivalent per liter, milligram per liter	7	milligram per liter	15	105	mg/L			
HydrocarbonResourcesFluidsSwabs	ammonium	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesFluidsSwabs	ammonium	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesFluidsSwabs	ammonium	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesFluidsSwabs	api	degrees API	2	degrees API	1	2	{api_gravity)	*	api	31.1 API
HydrocarbonResourcesFluidsSwabs	aromatics_pc	percent	10	percent	1	10	%			
HydrocarbonResourcesFluidsSwabs	asphaltenes_pc	percent	10	percent	1	10	%			
HydrocarbonResourcesFluidsSwabs	benzene	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	benzene	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	biocide_admin_method	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesFluidsSwabs	calcium	milligram per liter, micromole per liter, parts per million	6	milligram per liter	15	90	mg/L			
HydrocarbonResourcesFluidsSwabs	calcium	milligram per liter, micromole per liter, parts per million	6	micromole per liter	8	48	umol/L			
HydrocarbonResourcesFluidsSwabs	calcium	milligram per liter, micromole per liter, parts per million	6	parts per million	11	66	[ppm]			
HydrocarbonResourcesFluidsSwabs	chem_treat_method	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesFluidsSwabs	chloride	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	chloride	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic meter	3	15	g/m3			
HydrocarbonResourcesFluidsSwabs	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic centimeter	1	5	g/cm3			
HydrocarbonResourcesFluidsSwabs	diss_carb_dioxide	micromole per liter, milligram per liter	11	micromole per liter	8	88	umol/L			
HydrocarbonResourcesFluidsSwabs	diss_carb_dioxide	micromole per liter, milligram per liter	11	milligram per liter	15	165	mg/L			
HydrocarbonResourcesFluidsSwabs	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	microgram per liter	6	36	ug/L			
HydrocarbonResourcesFluidsSwabs	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	milligram per liter	15	90	mg/L			
HydrocarbonResourcesFluidsSwabs	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	parts per million	11	66	[ppm]			
HydrocarbonResourcesFluidsSwabs	diss_iron	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesFluidsSwabs	diss_org_carb	micromole per liter, milligram per liter	11	micromole per liter	8	88	umol/L			
HydrocarbonResourcesFluidsSwabs	diss_org_carb	micromole per liter, milligram per liter	11	milligram per liter	15	165	mg/L			
HydrocarbonResourcesFluidsSwabs	diss_oxygen_fluid	micromole per kilogram, milligram per liter	6	micromole per kilogram	2	12	umol/kg			
HydrocarbonResourcesFluidsSwabs	diss_oxygen_fluid	micromole per kilogram, milligram per liter	6	milligram per liter	15	90	mg/L			
HydrocarbonResourcesFluidsSwabs	ethylbenzene	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	ethylbenzene	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	hcr_fw_salinity	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesFluidsSwabs	hcr_pressure	atmosphere, kilopascal	2	atmosphere	2	4	atm			
HydrocarbonResourcesFluidsSwabs	hcr_pressure	atmosphere, kilopascal	2	kilopascal	1	2	kPa			
HydrocarbonResourcesFluidsSwabs	hcr_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesFluidsSwabs	iwf	percent	10	percent	1	10	%			
HydrocarbonResourcesFluidsSwabs	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	mole per liter	7	35	mol/h			
HydrocarbonResourcesFluidsSwabs	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	milligram per liter	15	75	mg/L			
HydrocarbonResourcesFluidsSwabs	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	parts per million	11	55	[ppm]			
HydrocarbonResourcesFluidsSwabs	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	micromole per kilogram	2	10	umol/kg			
HydrocarbonResourcesFluidsSwabs	nitrate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesFluidsSwabs	nitrate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesFluidsSwabs	nitrate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesFluidsSwabs	nitrite	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesFluidsSwabs	nitrite	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesFluidsSwabs	nitrite	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesFluidsSwabs	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per gram	1	2	{cells}/g	see number of cells per gram (or ml or cm^2)		
