class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count
Water	ammonium	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
Water	ammonium	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
Water	ammonium	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
Water	bac_prod	milligram per cubic meter per day	1	milligram per cubic meter per day	3	3
Water	bac_resp	milligram per cubic meter per day, micromole oxygen per liter per hour	1	milligram per cubic meter per day	3	3
Water	bac_resp	milligram per cubic meter per day, micromole oxygen per liter per hour	1	micromole oxygen per liter per hour	1	1
Water	biomass	ton, kilogram, gram	4	ton	2	8
Water	biomass	ton, kilogram, gram	4	kilogram	4	16
Water	biomass	ton, kilogram, gram	4	gram	10	40
Water	bishomohopanol	microgram per liter, microgram per gram	3	microgram per liter	6	18
Water	bishomohopanol	microgram per liter, microgram per gram	3	microgram per gram	2	6
Water	bromide	parts per million	6	parts per million	11	66
Water	calcium	milligram per liter, micromole per liter, parts per million	6	milligram per liter	15	90
Water	calcium	milligram per liter, micromole per liter, parts per million	6	micromole per liter	8	48
Water	calcium	milligram per liter, micromole per liter, parts per million	6	parts per million	11	66
Water	chloride	milligram per liter, parts per million	32	milligram per liter	15	480
Water	chloride	milligram per liter, parts per million	32	parts per million	11	352
Water	chlorophyll	milligram per cubic meter, microgram per liter	4	milligram per cubic meter	2	8
Water	chlorophyll	milligram per cubic meter, microgram per liter	4	microgram per liter	6	24
Water	conduc	milliSiemens per centimeter	4	milliSiemens per centimeter	1	4
Water	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic meter	3	15
Water	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic centimeter	1	5
Water	depth	meter	72	meter	3	216
Water	diether_lipids	nanogram per liter	4	nanogram per liter	2	8
Water	diss_carb_dioxide	micromole per liter, milligram per liter	11	micromole per liter	8	88
Water	diss_carb_dioxide	micromole per liter, milligram per liter	11	milligram per liter	15	165
Water	diss_hydrogen	micromole per liter	24	micromole per liter	8	192
Water	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	microgram per liter	6	36
Water	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	milligram per liter	15	90
Water	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	parts per million	11	66
Water	diss_inorg_nitro	microgram per liter, micromole per liter	5	microgram per liter	6	30
Water	diss_inorg_nitro	microgram per liter, micromole per liter	5	micromole per liter	8	40
Water	diss_org_carb	micromole per liter, milligram per liter	11	micromole per liter	8	88
Water	diss_org_carb	micromole per liter, milligram per liter	11	milligram per liter	15	165
Water	diss_oxygen	micromole per kilogram, milligram per liter	6	micromole per kilogram	2	12
Water	diss_oxygen	micromole per kilogram, milligram per liter	6	milligram per liter	15	90
Water	down_par	microEinstein per square meter per second, microEinstein per square centimeter per second	1	microEinstein per square meter per second	1	1
Water	down_par	microEinstein per square meter per second, microEinstein per square centimeter per second	1	microEinstein per square centimeter per second	1	1
Water	elev	meter	72	meter	3	216
Water	fluor	milligram chlorophyll a per cubic meter, volts	1	milligram chlorophyll a per cubic meter	1	1
Water	fluor	milligram chlorophyll a per cubic meter, volts	1	volts	1	1
Water	glucosidase_act	mol per liter per hour	3	mol per liter per hour	1	3
Water	light_intensity	lux	1	lux	3	3
Water	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	mole per liter	7	35
Water	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	milligram per liter	15	75
Water	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	parts per million	11	55
Water	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	micromole per kilogram	2	10
Water	mean_frict_vel	meter per second	6	meter per second	1	6
Water	mean_peak_frict_vel	meter per second	6	meter per second	1	6
Water	nitrate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
Water	nitrate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
Water	nitrate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
Water	nitrite	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
Water	nitrite	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
