class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count
BuiltEnvironment	carb_dioxide	micromole per liter, parts per million	3	parts per million	11	33
BuiltEnvironment	ceil_area	square meter	6	square meter	2	12
BuiltEnvironment	ceil_thermal_mass	joule per degree Celsius	3	joule per degree Celsius	1	3
BuiltEnvironment	dew_point	degree Celsius	88	degree Celsius	2	176
BuiltEnvironment	door_size	square meter	6	square meter	2	12
BuiltEnvironment	exp_duct	square meter	6	square meter	2	12
BuiltEnvironment	floor_age	years, weeks, days	1	years	1	1
BuiltEnvironment	floor_age	years, weeks, days	1	weeks	1	1
BuiltEnvironment	floor_age	years, weeks, days	1	days	4	4
BuiltEnvironment	floor_area	square meter	6	square meter	2	12
BuiltEnvironment	floor_thermal_mass	joule per degree Celsius	3	joule per degree Celsius	1	3
BuiltEnvironment	height_carper_fiber	centimeter	3	centimeter	2	6
BuiltEnvironment	inside_lux	kilowatt per square metre	1	kilowatt per square metre	1	1
BuiltEnvironment	rel_air_humidity	percentage	13	percentage	2	26
BuiltEnvironment	rel_humidity_out	gram of air, kilogram of air	2	gram of air	1	2
BuiltEnvironment	rel_humidity_out	gram of air, kilogram of air	2	kilogram of air	1	2
BuiltEnvironment	room_air_exch_rate	liter per hour	1	liter per hour	1	1
BuiltEnvironment	room_dim	meter	72	meter	3	216
BuiltEnvironment	room_door_dist	meter	72	meter	3	216
BuiltEnvironment	room_net_area	square feet, square meter	1	square feet	1	1
BuiltEnvironment	room_net_area	square feet, square meter	1	square meter	2	2
BuiltEnvironment	room_vol	cubic feet, cubic meter	1	cubic feet	1	1
BuiltEnvironment	room_vol	cubic feet, cubic meter	1	cubic meter	1	1
BuiltEnvironment	samp_time_out	hour	1	hour	2	2
BuiltEnvironment	specific_humidity	gram of air, kilogram of air	2	gram of air	1	2
BuiltEnvironment	specific_humidity	gram of air, kilogram of air	2	kilogram of air	1	2
BuiltEnvironment	surf_humidity	percentage	13	percentage	2	26
BuiltEnvironment	surf_moisture	parts per million, gram per cubic meter, gram per square meter	1	parts per million	11	11
BuiltEnvironment	surf_moisture	parts per million, gram per cubic meter, gram per square meter	1	gram per cubic meter	3	3
BuiltEnvironment	surf_moisture	parts per million, gram per cubic meter, gram per square meter	1	gram per square meter	1	1
BuiltEnvironment	surf_temp	degree Celsius	88	degree Celsius	2	176
BuiltEnvironment	temp_out	degree Celsius	88	degree Celsius	2	176
BuiltEnvironment	wall_area	square meter	6	square meter	2	12
BuiltEnvironment	wall_height	centimeter	3	centimeter	2	6
BuiltEnvironment	wall_thermal_mass	joule per degree Celsius	3	joule per degree Celsius	1	3
BuiltEnvironment	water_feat_size	square meter	6	square meter	2	12
BuiltEnvironment	window_size	inch, meter	1	inch	1	1
BuiltEnvironment	window_size	inch, meter	1	meter	3	3
FoodAnimalAndAnimalFeed	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7
FoodAnimalAndAnimalFeed	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7
FoodAnimalAndAnimalFeed	cons_food_stor_dur	hours or days	9	hours	2	18
FoodAnimalAndAnimalFeed	cons_food_stor_dur	hours or days	9	days	4	36
FoodAnimalAndAnimalFeed	cons_food_stor_temp	degree Celsius	88	degree Celsius	2	176
FoodAnimalAndAnimalFeed	food_pack_capacity	grams	3	grams	1	3
FoodAnimalAndAnimalFeed	food_source_age	days	5	days	4	20
FoodAnimalAndAnimalFeed	pool_dna_extracts	gram, milliliter, microliter	5	gram	10	50
FoodAnimalAndAnimalFeed	pool_dna_extracts	gram, milliliter, microliter	5	milliliter	4	20
FoodAnimalAndAnimalFeed	pool_dna_extracts	gram, milliliter, microliter	5	microliter	1	5
FoodAnimalAndAnimalFeed	samp_store_temp	degree Celsius	88	degree Celsius	2	176
FoodAnimalAndAnimalFeed	samp_transport_dur	days	5	days	4	20
FoodAnimalAndAnimalFeed	samp_transport_temp	degree Celsius	88	degree Celsius	2	176
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
FoodAnimalAndAnimalFeed	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7
FoodAnimalAndAnimalFeed	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7
FoodAnimalAndAnimalFeed	study_inc_dur	hours or days	9	hours	2	18
FoodAnimalAndAnimalFeed	study_inc_dur	hours or days	9	days	4	36
FoodAnimalAndAnimalFeed	study_inc_temp	degree Celsius	88	degree Celsius	2	176
FoodAnimalAndAnimalFeed	study_timecourse	dpi	3	dpi	1	3
FoodAnimalAndAnimalFeed	temp	degree Celsius	88	degree Celsius	2	176
FoodAnimalAndAnimalFeed	timepoint	hours or days	9	hours	2	18
FoodAnimalAndAnimalFeed	timepoint	hours or days	9	days	4	36
FoodFarmEnvironment	conduc	milliSiemens per centimeter	4	milliSiemens per centimeter	1	4
FoodFarmEnvironment	crop_yield	kilogram per metre square	2	kilogram per metre square	1	2
FoodFarmEnvironment	depth	meter	72	meter	3	216
FoodFarmEnvironment	farm_equip_san	parts per million	6	parts per million	11	66
FoodFarmEnvironment	host_age	year, day, hour	11	year	2	22
FoodFarmEnvironment	host_age	year, day, hour	11	day	1	11
FoodFarmEnvironment	host_age	year, day, hour	11	hour	2	22
FoodFarmEnvironment	host_dry_mass	kilogram, gram	17	kilogram	4	68
FoodFarmEnvironment	host_dry_mass	kilogram, gram	17	gram	10	170
FoodFarmEnvironment	host_height	centimeter, millimeter, meter	15	centimeter	2	30
FoodFarmEnvironment	host_height	centimeter, millimeter, meter	15	millimeter	2	30
FoodFarmEnvironment	host_height	centimeter, millimeter, meter	15	meter	3	45
FoodFarmEnvironment	host_length	centimeter, millimeter, meter	15	centimeter	2	30
FoodFarmEnvironment	host_length	centimeter, millimeter, meter	15	millimeter	2	30
FoodFarmEnvironment	host_length	centimeter, millimeter, meter	15	meter	3	45
FoodFarmEnvironment	host_tot_mass	kilogram, gram	17	kilogram	4	68
FoodFarmEnvironment	host_tot_mass	kilogram, gram	17	gram	10	170
FoodFarmEnvironment	root_med_carbon	milligram per liter	26	milligram per liter	15	390
FoodFarmEnvironment	root_med_macronutr	milligram per liter	26	milligram per liter	15	390
FoodFarmEnvironment	root_med_micronutr	milligram per liter	26	milligram per liter	15	390
FoodFarmEnvironment	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
FoodFarmEnvironment	salinity	practical salinity unit, percentage	17	percentage	2	34
FoodFarmEnvironment	samp_store_temp	degree Celsius	88	degree Celsius	2	176
FoodFarmEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
FoodFarmEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
FoodFarmEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
FoodFarmEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
FoodFarmEnvironment	season_precpt	millimeter	6	millimeter	2	12
FoodFarmEnvironment	season_temp	degree Celsius	88	degree Celsius	2	176
FoodFarmEnvironment	size_frac_low	micrometer	7	micrometer	2	14
FoodFarmEnvironment	size_frac_up	micrometer	7	micrometer	2	14
FoodFarmEnvironment	soil_conductivity	milliSiemens per centimeter	4	milliSiemens per centimeter	1	4
FoodFarmEnvironment	soil_porosity	percentage	13	percentage	2	26
FoodFarmEnvironment	soil_temp	degree Celsius	88	degree Celsius	2	176
FoodFarmEnvironment	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	kilowatts per square meter per day	1	3
FoodFarmEnvironment	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	ergs per square centimeter per second	1	3
FoodFarmEnvironment	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7
FoodFarmEnvironment	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7
FoodFarmEnvironment	temp	degree Celsius	88	degree Celsius	2	176
FoodFarmEnvironment	timepoint	hours or days	9	hours	2	18
FoodFarmEnvironment	timepoint	hours or days	9	days	4	36
FoodFarmEnvironment	tot_org_carb	gram Carbon per kilogram sample material	5	gram Carbon per kilogram sample material	1	5
FoodFarmEnvironment	ventilation_rate	cubic meter per minute, liters per second	2	cubic meter per minute	1	2
FoodFarmEnvironment	ventilation_rate	cubic meter per minute, liters per second	2	liters per second	1	2
FoodFarmEnvironment	water_frequency	per day, per week, per month	1	per day	1	1
FoodFarmEnvironment	water_frequency	per day, per week, per month	1	per week	1	1
FoodFarmEnvironment	water_frequency	per day, per week, per month	1	per month	1	1
FoodFarmEnvironment	wind_direction	degrees or cardinal direction	2	degrees	1	2
FoodFarmEnvironment	wind_direction	degrees or cardinal direction	2	cardinal direction	1	2
FoodFoodProductionFacility	air_temp	degree Celsius	88	degree Celsius	2	176
FoodFoodProductionFacility	area_samp_size	centimeter	3	centimeter	2	6
FoodFoodProductionFacility	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7
FoodFoodProductionFacility	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7
FoodFoodProductionFacility	food_pack_capacity	grams	3	grams	1	3
FoodFoodProductionFacility	pool_dna_extracts	gram, milliliter, microliter	5	gram	10	50
FoodFoodProductionFacility	pool_dna_extracts	gram, milliliter, microliter	5	milliliter	4	20
FoodFoodProductionFacility	pool_dna_extracts	gram, milliliter, microliter	5	microliter	1	5
FoodFoodProductionFacility	room_dim	meter	72	meter	3	216
FoodFoodProductionFacility	samp_store_temp	degree Celsius	88	degree Celsius	2	176
FoodFoodProductionFacility	samp_transport_dur	days	5	days	4	20
FoodFoodProductionFacility	samp_transport_temp	degree Celsius	88	degree Celsius	2	176
FoodFoodProductionFacility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
FoodFoodProductionFacility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
FoodFoodProductionFacility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
FoodFoodProductionFacility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
FoodFoodProductionFacility	study_inc_dur	hours or days	9	hours	2	18
FoodFoodProductionFacility	study_inc_dur	hours or days	9	days	4	36
FoodFoodProductionFacility	study_inc_temp	degree Celsius	88	degree Celsius	2	176
FoodFoodProductionFacility	study_timecourse	dpi	3	dpi	1	3
FoodFoodProductionFacility	timepoint	hours or days	9	hours	2	18
FoodFoodProductionFacility	timepoint	hours or days	9	days	4	36
FoodHumanFoods	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7
FoodHumanFoods	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7
FoodHumanFoods	cons_food_stor_dur	hours or days	9	hours	2	18
FoodHumanFoods	cons_food_stor_dur	hours or days	9	days	4	36
FoodHumanFoods	cons_food_stor_temp	degree Celsius	88	degree Celsius	2	176
FoodHumanFoods	ferm_chem_add_perc	percentage	13	percentage	2	26
FoodHumanFoods	ferm_headspace_oxy	percentage	13	percentage	2	26
FoodHumanFoods	ferm_rel_humidity	percentage	13	percentage	2	26
FoodHumanFoods	ferm_temp	degree Celsius	88	degree Celsius	2	176
FoodHumanFoods	ferm_time	days	5	days	4	20
FoodHumanFoods	food_pack_capacity	grams	3	grams	1	3
FoodHumanFoods	microb_start_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7
FoodHumanFoods	microb_start_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7
FoodHumanFoods	microb_start_inoc	milligram or gram	1	milligram	3	3
FoodHumanFoods	microb_start_inoc	milligram or gram	1	gram	10	10
FoodHumanFoods	pool_dna_extracts	gram, milliliter, microliter	5	gram	10	50
FoodHumanFoods	pool_dna_extracts	gram, milliliter, microliter	5	milliliter	4	20
FoodHumanFoods	pool_dna_extracts	gram, milliliter, microliter	5	microliter	1	5
FoodHumanFoods	samp_store_temp	degree Celsius	88	degree Celsius	2	176
FoodHumanFoods	samp_transport_dur	days	5	days	4	20
FoodHumanFoods	samp_transport_temp	degree Celsius	88	degree Celsius	2	176
FoodHumanFoods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
FoodHumanFoods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
FoodHumanFoods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
FoodHumanFoods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
FoodHumanFoods	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7
FoodHumanFoods	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7
FoodHumanFoods	study_inc_dur	hours or days	9	hours	2	18
FoodHumanFoods	study_inc_dur	hours or days	9	days	4	36
FoodHumanFoods	study_inc_temp	degree Celsius	88	degree Celsius	2	176
FoodHumanFoods	study_timecourse	dpi	3	dpi	1	3
FoodHumanFoods	temp	degree Celsius	88	degree Celsius	2	176
FoodHumanFoods	timepoint	hours or days	9	hours	2	18
FoodHumanFoods	timepoint	hours or days	9	days	4	36
HostAssociated	alt	meter	72	meter	3	216
HostAssociated	blood_press_diast	millimeter mercury	2	millimeter mercury	1	2
HostAssociated	blood_press_syst	millimeter mercury	2	millimeter mercury	1	2
HostAssociated	depth	meter	72	meter	3	216
HostAssociated	elev	meter	72	meter	3	216
HostAssociated	host_age	year, day, hour	11	year	2	22
HostAssociated	host_age	year, day, hour	11	day	1	11
HostAssociated	host_age	year, day, hour	11	hour	2	22
HostAssociated	host_body_temp	degree Celsius	88	degree Celsius	2	176
HostAssociated	host_dry_mass	kilogram, gram	17	kilogram	4	68
HostAssociated	host_dry_mass	kilogram, gram	17	gram	10	170
HostAssociated	host_height	centimeter, millimeter, meter	15	centimeter	2	30
HostAssociated	host_height	centimeter, millimeter, meter	15	millimeter	2	30
HostAssociated	host_height	centimeter, millimeter, meter	15	meter	3	45
HostAssociated	host_length	centimeter, millimeter, meter	15	centimeter	2	30
HostAssociated	host_length	centimeter, millimeter, meter	15	millimeter	2	30
HostAssociated	host_length	centimeter, millimeter, meter	15	meter	3	45
HostAssociated	host_tot_mass	kilogram, gram	17	kilogram	4	68
HostAssociated	host_tot_mass	kilogram, gram	17	gram	10	170
HostAssociated	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
HostAssociated	salinity	practical salinity unit, percentage	17	percentage	2	34
HostAssociated	samp_store_temp	degree Celsius	88	degree Celsius	2	176
HostAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
HostAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
HostAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
HostAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
HostAssociated	temp	degree Celsius	88	degree Celsius	2	176
HumanAssociated	host_age	year, day, hour	11	year	2	22
HumanAssociated	host_age	year, day, hour	11	day	1	11
HumanAssociated	host_age	year, day, hour	11	hour	2	22
HumanAssociated	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5
HumanAssociated	host_body_temp	degree Celsius	88	degree Celsius	2	176
HumanAssociated	host_height	centimeter, millimeter, meter	15	centimeter	2	30
HumanAssociated	host_height	centimeter, millimeter, meter	15	millimeter	2	30
HumanAssociated	host_height	centimeter, millimeter, meter	15	meter	3	45
HumanAssociated	host_pulse	beats per minute	5	beats per minute	1	5
HumanAssociated	host_tot_mass	kilogram, gram	17	kilogram	4	68
HumanAssociated	host_tot_mass	kilogram, gram	17	gram	10	170
HumanAssociated	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
HumanAssociated	salinity	practical salinity unit, percentage	17	percentage	2	34
HumanAssociated	samp_store_temp	degree Celsius	88	degree Celsius	2	176
HumanAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
HumanAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
HumanAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
HumanAssociated	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
HumanAssociated	temp	degree Celsius	88	degree Celsius	2	176
HumanAssociated	weight_loss_3_month	kilogram, gram	17	kilogram	4	68
HumanAssociated	weight_loss_3_month	kilogram, gram	17	gram	10	170
HumanGut	host_age	year, day, hour	11	year	2	22
HumanGut	host_age	year, day, hour	11	day	1	11
HumanGut	host_age	year, day, hour	11	hour	2	22
HumanGut	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5
HumanGut	host_body_temp	degree Celsius	88	degree Celsius	2	176
HumanGut	host_height	centimeter, millimeter, meter	15	centimeter	2	30
HumanGut	host_height	centimeter, millimeter, meter	15	millimeter	2	30
HumanGut	host_height	centimeter, millimeter, meter	15	meter	3	45
HumanGut	host_pulse	beats per minute	5	beats per minute	1	5
HumanGut	host_tot_mass	kilogram, gram	17	kilogram	4	68
HumanGut	host_tot_mass	kilogram, gram	17	gram	10	170
HumanGut	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
HumanGut	salinity	practical salinity unit, percentage	17	percentage	2	34
HumanGut	samp_store_temp	degree Celsius	88	degree Celsius	2	176
HumanGut	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
HumanGut	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
HumanGut	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
HumanGut	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
HumanGut	temp	degree Celsius	88	degree Celsius	2	176
HumanOral	host_age	year, day, hour	11	year	2	22
HumanOral	host_age	year, day, hour	11	day	1	11
HumanOral	host_age	year, day, hour	11	hour	2	22
HumanOral	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5
HumanOral	host_body_temp	degree Celsius	88	degree Celsius	2	176
HumanOral	host_height	centimeter, millimeter, meter	15	centimeter	2	30
HumanOral	host_height	centimeter, millimeter, meter	15	millimeter	2	30
HumanOral	host_height	centimeter, millimeter, meter	15	meter	3	45
HumanOral	host_pulse	beats per minute	5	beats per minute	1	5
HumanOral	host_tot_mass	kilogram, gram	17	kilogram	4	68
HumanOral	host_tot_mass	kilogram, gram	17	gram	10	170
HumanOral	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
HumanOral	salinity	practical salinity unit, percentage	17	percentage	2	34
HumanOral	samp_store_temp	degree Celsius	88	degree Celsius	2	176
HumanOral	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
HumanOral	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
HumanOral	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
HumanOral	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
HumanOral	temp	degree Celsius	88	degree Celsius	2	176
HumanSkin	host_age	year, day, hour	11	year	2	22
HumanSkin	host_age	year, day, hour	11	day	1	11
HumanSkin	host_age	year, day, hour	11	hour	2	22
HumanSkin	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5
HumanSkin	host_body_temp	degree Celsius	88	degree Celsius	2	176
HumanSkin	host_height	centimeter, millimeter, meter	15	centimeter	2	30
HumanSkin	host_height	centimeter, millimeter, meter	15	millimeter	2	30
HumanSkin	host_height	centimeter, millimeter, meter	15	meter	3	45
HumanSkin	host_pulse	beats per minute	5	beats per minute	1	5
HumanSkin	host_tot_mass	kilogram, gram	17	kilogram	4	68
HumanSkin	host_tot_mass	kilogram, gram	17	gram	10	170
HumanSkin	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
HumanSkin	salinity	practical salinity unit, percentage	17	percentage	2	34
HumanSkin	samp_store_temp	degree Celsius	88	degree Celsius	2	176
HumanSkin	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
HumanSkin	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
HumanSkin	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
HumanSkin	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
HumanSkin	temp	degree Celsius	88	degree Celsius	2	176
HumanVaginal	host_age	year, day, hour	11	year	2	22
HumanVaginal	host_age	year, day, hour	11	day	1	11
HumanVaginal	host_age	year, day, hour	11	hour	2	22
HumanVaginal	host_body_mass_index	kilogram per square meter	5	kilogram per square meter	1	5
HumanVaginal	host_body_temp	degree Celsius	88	degree Celsius	2	176
HumanVaginal	host_height	centimeter, millimeter, meter	15	centimeter	2	30
HumanVaginal	host_height	centimeter, millimeter, meter	15	millimeter	2	30
HumanVaginal	host_height	centimeter, millimeter, meter	15	meter	3	45
HumanVaginal	host_pulse	beats per minute	5	beats per minute	1	5
HumanVaginal	host_tot_mass	kilogram, gram	17	kilogram	4	68
HumanVaginal	host_tot_mass	kilogram, gram	17	gram	10	170
HumanVaginal	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
HumanVaginal	salinity	practical salinity unit, percentage	17	percentage	2	34
HumanVaginal	samp_store_temp	degree Celsius	88	degree Celsius	2	176
HumanVaginal	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
HumanVaginal	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
HumanVaginal	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
HumanVaginal	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
HumanVaginal	temp	degree Celsius	88	degree Celsius	2	176
HydrocarbonResourcesCores	alkalinity	milliequivalent per liter, milligram per liter	7	milliequivalent per liter	1	7
HydrocarbonResourcesCores	alkalinity	milliequivalent per liter, milligram per liter	7	milligram per liter	15	105
HydrocarbonResourcesCores	ammonium	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
HydrocarbonResourcesCores	ammonium	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
HydrocarbonResourcesCores	ammonium	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
HydrocarbonResourcesCores	api	degrees API	2	degrees API	1	2
HydrocarbonResourcesCores	aromatics_pc	percent	10	percent	1	10
HydrocarbonResourcesCores	asphaltenes_pc	percent	10	percent	1	10
HydrocarbonResourcesCores	benzene	milligram per liter, parts per million	32	milligram per liter	15	480
HydrocarbonResourcesCores	benzene	milligram per liter, parts per million	32	parts per million	11	352
HydrocarbonResourcesCores	calcium	milligram per liter, micromole per liter, parts per million	6	milligram per liter	15	90
HydrocarbonResourcesCores	calcium	milligram per liter, micromole per liter, parts per million	6	micromole per liter	8	48
HydrocarbonResourcesCores	calcium	milligram per liter, micromole per liter, parts per million	6	parts per million	11	66
HydrocarbonResourcesCores	chloride	milligram per liter, parts per million	32	milligram per liter	15	480
HydrocarbonResourcesCores	chloride	milligram per liter, parts per million	32	parts per million	11	352
HydrocarbonResourcesCores	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic meter	3	15
HydrocarbonResourcesCores	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic centimeter	1	5
HydrocarbonResourcesCores	diss_carb_dioxide	micromole per liter, milligram per liter	11	micromole per liter	8	88
HydrocarbonResourcesCores	diss_carb_dioxide	micromole per liter, milligram per liter	11	milligram per liter	15	165
HydrocarbonResourcesCores	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	microgram per liter	6	36
HydrocarbonResourcesCores	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	milligram per liter	15	90
HydrocarbonResourcesCores	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	parts per million	11	66
HydrocarbonResourcesCores	diss_iron	milligram per liter	26	milligram per liter	15	390
HydrocarbonResourcesCores	diss_org_carb	micromole per liter, milligram per liter	11	micromole per liter	8	88
HydrocarbonResourcesCores	diss_org_carb	micromole per liter, milligram per liter	11	milligram per liter	15	165
HydrocarbonResourcesCores	diss_oxygen_fluid	micromole per kilogram, milligram per liter	6	micromole per kilogram	2	12
HydrocarbonResourcesCores	diss_oxygen_fluid	micromole per kilogram, milligram per liter	6	milligram per liter	15	90
HydrocarbonResourcesCores	elev	meter	72	meter	3	216
HydrocarbonResourcesCores	ethylbenzene	milligram per liter, parts per million	32	milligram per liter	15	480
HydrocarbonResourcesCores	ethylbenzene	milligram per liter, parts per million	32	parts per million	11	352
HydrocarbonResourcesCores	hcr_fw_salinity	milligram per liter	26	milligram per liter	15	390
HydrocarbonResourcesCores	hcr_pressure	atmosphere, kilopascal	2	atmosphere	2	4
HydrocarbonResourcesCores	hcr_pressure	atmosphere, kilopascal	2	kilopascal	1	2
HydrocarbonResourcesCores	hcr_temp	degree Celsius	88	degree Celsius	2	176
HydrocarbonResourcesCores	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	mole per liter	7	35
HydrocarbonResourcesCores	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	milligram per liter	15	75
HydrocarbonResourcesCores	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	parts per million	11	55
HydrocarbonResourcesCores	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	micromole per kilogram	2	10
HydrocarbonResourcesCores	nitrate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
HydrocarbonResourcesCores	nitrate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
HydrocarbonResourcesCores	nitrate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
HydrocarbonResourcesCores	nitrite	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
HydrocarbonResourcesCores	nitrite	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
HydrocarbonResourcesCores	nitrite	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
HydrocarbonResourcesCores	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per gram	1	2
HydrocarbonResourcesCores	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per ml	1	2
HydrocarbonResourcesCores	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per cm^2	1	2
HydrocarbonResourcesCores	owc_tvdss	meter	72	meter	3	216
HydrocarbonResourcesCores	permeability	mD	1	mD	1	1
HydrocarbonResourcesCores	porosity	percentage	13	percentage	2	26
HydrocarbonResourcesCores	potassium	milligram per liter, parts per million	32	milligram per liter	15	480
HydrocarbonResourcesCores	potassium	milligram per liter, parts per million	32	parts per million	11	352
