ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB42019	SAMEA7724094	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724095	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724096	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724097	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724098	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7724099	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7724100	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7724101	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7724102	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7724103	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7724104	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7724105	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7724106	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7724107	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724108	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724109	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724110	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724111	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724112	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724113	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724114	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724115	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724116	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724117	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724118	montane grasslands and shrubland biome	steppe soil	soil
PRJEB42019	SAMEA7724119	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724120	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724121	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724122	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724123	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724124	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724125	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724126	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724127	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724128	tropical desert biome	gravel field	gravel
PRJEB42019	SAMEA7724129	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7724130	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7724131	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7724132	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7724133	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7724134	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7724135	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7724136	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7724137	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724138	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724139	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724140	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724141	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724142	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724143	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724144	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724145	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724146	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724147	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724148	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724149	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724150	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724151	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724152	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724153	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724154	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724155	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724156	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724157	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724158	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724159	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724160	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724161	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724162	temperate mixed forest biome	host-associated habitat	feces
