ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB42019	SAMEA7724360	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724361	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724362	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724363	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724364	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724365	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724366	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724367	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724368	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724369	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724370	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7724371	marine coral reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7724372	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724373	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724374	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724375	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724376	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724377	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724378	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724379	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724380	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724381	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724382	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724383	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724384	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724385	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724386	marine benthic biome	kelp forest	organic material
PRJEB42019	SAMEA7724387	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724388	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724389	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724390	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724391	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724392	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724393	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724394	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724395	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724396	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724397	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724398	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724399	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724400	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724401	urban biome	research facility	sterile water
PRJEB42019	SAMEA7727184	tropical desert biome	dune	desert sand
PRJEB42019	SAMEA7727182	tropical desert biome	dune	desert sand
PRJEB42019	SAMEA7727183	tropical desert biome	dune	desert sand
PRJEB42019	SAMEA7727181	tropical desert biome	dune	desert sand
PRJEB42019	SAMEA7727180	tropical desert biome	dune	desert sand
PRJEB42019	SAMEA7724408	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724402	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724413	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724419	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724414	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724429	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724447	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724411	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724410	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724423	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724436	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724435	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724445	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724420	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724412	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724416	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724446	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724415	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724407	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724434	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724426	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724431	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724444	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724421	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724454	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724442	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724427	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724448	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724449	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724422	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724440	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724424	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724430	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724451	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724417	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724418	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724441	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724439	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724452	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724443	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724438	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724425	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724453	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724433	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724437	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724450	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724455	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724409	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724405	tropical desert biome	dune	desert sand
PRJEB42019	SAMEA7724432	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724428	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724406	tropical desert biome	dune	desert sand
PRJEB42019	SAMEA7724403	tropical desert biome	dune	desert sand
PRJEB42019	SAMEA7724404	tropical desert biome	dune	desert sand
