bioproject_accession	biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB52753	SAMEA110022181	terrestrial biome		soil
PRJEB52753	SAMEA110027444	terrestrial biome		soil
PRJEB52452	SAMEA110646458	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646459	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646460	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646461	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646462	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646463	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646464	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646465	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646466	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646467	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646468	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646469	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646470	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646471	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646472	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646473	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646474	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646475	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646476	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646477	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646478	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646479	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646480	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646481	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646482	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646483	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646484	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646485	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646486	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646487	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646488	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646489	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646490	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646491	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646492	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646493	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646494	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646495	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646496	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646497	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646498	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646499	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646500	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646501	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646502	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646503	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646504	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646505	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646506	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646507	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646508	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646509	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646510	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646511	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646512	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646513	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646514	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646515	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646516	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646517	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646518	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646519	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646520	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646521	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646522	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646523	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646524	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646525	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646526	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646527	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646528	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646529	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646530	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646531	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646532	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646533	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646534	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646535	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646536	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646537	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB52452	SAMEA110646538	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)
PRJEB55522	SAMEA112130944	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130945	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130946	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130947	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130948	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130949	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130950	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130951	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130952	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130953	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130954	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130955	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130956	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130957	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130958	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130959	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130960	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130961	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130962	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130963	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130964	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130965	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130966	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130967	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130968	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130969	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130970	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130971	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130972	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130973	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130974	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130975	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130976	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130977	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130978	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130979	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130980	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130981	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130982	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130983	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130984	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130985	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130986	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130987	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130988	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130989	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130990	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130991	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130992	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130993	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130994	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130995	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130996	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130997	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130998	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112130999	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131000	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131001	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131002	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131003	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131004	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131005	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131006	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131007	Kap Koebenhagen formation		Sandy sediments
