component	measurement_evidence
^({add_recov_methods});{date_time_stamp}$	-1
^({termLabel} \[{termID}\])|{integer}$	-1
^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	-1
^{agrochemical_name};{amount} {unit};{date_time_stamp}$	-1
^{ambiguous_nucleotides}$	-1
^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	-1
^{duration}$	1
^{float} *- *{float} {unit}$	1
^{float} days$	1
^{integer} {text}}$	1
^{integer} {text}$	1
^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	-1
^{lat} {lon}$	-1
^{name};{float} {unit}$	-1
^{particulate_matter_name};{float} {unit}$	-1
^{PMID}|{DOI}|{URL}|{text}$	-1
^{PMID}|{DOI}|{URL}$	-1
^{room_name};{room_number}$	-1
^{scientific_float}( *- *{scientific_float})? *{text}$	1
^{software};{version};{parameters}$	-1
^{termLabel} \[{termID}\]$	-1
^{text} \[{NCBItaxon_id}\]$	-1
^{text}|({termLabel} \[{termID}\])$	-1
^{text}|{PMID}|{DOI}|{URL}$	-1
act	1
activ	1
age	1
annual	1
area	1
avg	1
class	-1
cond	-1
condt	-1
content	1
cur	-1
data	-1
date	-1
db	-1
deliv	-1
density	1
depth	1
device	-1
dew	1
diet	-1
dioxide	1
dis	-1
disease	-1
disord	-1
diss	1
dur	1
env	-1
environment	-1
equip	-1
event	-1
exp	-1
ext	-1
extr	-1
fam	-1
farm	-1
finish	-1
food	-1
frac	-1
frict	1
FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	-1
growth	-1
has_enum_range	-1
has_preferred_unit	1
health	-1
heat	-1
height	1
hist	-1
horizon	-1
humidity	1
id	-1
ident	-1
info	-1
infra	-1
intended	-1
iron	1
isol	-1
kit	-1
label	-1
life	-1
link	-1
lithology	-1
loc	-1
local	-1
location	-1
lysis	-1
mass	1
mat	-1
matter	-1
med	-1
media	-1
medium	-1
meth	-1
method	-1
mode	-1
mold	-1
name	-1
nucl	-1
num	-1
number	-1
nutr	-1
orient	-1
otu	-1
oxygen	1
pack	-1
param	-1
pcr	-1
pH	-1
ph	-1
plant	-1
porosity	1
pos	-1
precpt	1
pred	-1
prep	-1
preserv	-1
press	1
pressure	1
primary	-1
proc	-1
product	-1
qual	-1
quality	-1
rate	1
regm	-1
result	-1
route	-1
salinity	1
sc	-1
scale	-1
screen	-1
seq	-1
sequencing	-1
serovar	-1
sex	-1
shading	-1
share	-1
shared	-1
site	-1
size	1
slope	1
software	-1
sort	-1
spec	-1
spikein	-1
stage	-1
stat	-1
state	-1
status	-1
subspecf	-1
target	-1
tax	-1
taxid	-1
tech	-1
temp	1
texture	-1
thermal	1
throat	-1
time	1
tot	1
train	-1
transmission	-1
transport	-1
treat	-1
treatment	-1
tvdss	1
type	-1
urogenit	-1
use	-1
vegetation	-1
vel	1
vol	1
weather	-1
quantity_value	1
