,harmonized_name,average_unit_credibility,_id,total_count,parsed_quantity_count,dimensional_count,range_like_count,range_like_with_units_count,parsed_quantity_proportion,dimensional_proportion,range_like_proportion,range_like_with_units_proportion,combined_dimensional_score,weighted_dimensional_score
0,abs_air_humidity,0.75,67f033c33586ad429bb510cc,18186,4963,29,4963,29,0.2729022324865281,0.001594633234356,0.2729022324865281,0.001594633234356,0.375797316617178,0.22611624326404917
1,address,0.6851851851851852,67f033c33586ad429bb5106c,2884,1598,16,1598,16,0.5540915395284327,0.0055478502080443,0.5540915395284327,0.0055478502080443,0.34536651769661475,0.2094390507011866
2,age,0.6646665869027678,67f033c33586ad429bb51081,4636999,2613159,1124578,2613159,1124578,0.563545301605629,0.242522804080829,0.563545301605629,0.242522804080829,0.4535946954917984,0.3691659389274106
3,air_temp,0.75,67f033c33586ad429bb5106a,20136,11117,678,11117,678,0.5520957489074295,0.0336710369487485,0.5520957489074295,0.0336710369487485,0.39183551847437426,0.24856972586412393
4,al_sat,0.7071428571428572,67f033c33586ad429bb5107b,10388,677,278,677,278,0.0651713515594917,0.0267616480554485,0.0651713515594917,0.0267616480554485,0.3669522525991528,0.2308760107816711
5,alkalinity,0.875,67f033c33586ad429bb510c1,16667,6343,1120,6343,1120,0.3805723885522289,0.0671986560268794,0.3805723885522289,0.0671986560268794,0.4710993280134397,0.3095390592188156
6,alkyl_diethers,0.0,67f033c33586ad429bb510c0,5242,228,0,228,0,0.0434948492941625,0.0,0.0434948492941625,0.0,0.0,0.0
7,altitude,0.7492857142857143,67f033c33586ad429bb5105a,240739,166052,46751,166052,46751,0.6897594490298622,0.1941978657384138,0.6897594490298622,0.1941978657384138,0.47174179001206407,0.3607242203026039
8,aminopept_act,0.0,67f033c33586ad429bb5106e,5162,191,0,191,0,0.0370011623401782,0.0,0.0370011623401782,0.0,0.0,0.0
9,ammonium,0.9130434782608695,67f033c33586ad429bb5108d,33612,22749,5816,22749,5816,0.6768118529096752,0.1730334404379388,0.6768118529096752,0.1730334404379388,0.5430384593494042,0.395036451784818
10,annual_precpt,0.8333333333333334,67f033c33586ad429bb510d4,9576,9116,7560,9116,7560,0.9519632414369256,0.7894736842105263,0.9519632414369256,0.7894736842105263,0.8114035087719298,0.8026315789473684
11,annual_temp,0.75,67f033c33586ad429bb5107a,9589,9044,6242,9044,6242,0.9431640421316092,0.6509542183752216,0.9431640421316092,0.6509542183752216,0.7004771091876107,0.6806679528626551
12,api,0.0,67f033c33586ad429bb510c6,274,65,0,65,0,0.2372262773722627,0.0,0.2372262773722627,0.0,0.0,0.0
13,area_samp_size,1.0,67f033c33586ad429bb510cb,1181,1178,1178,1178,1178,0.9974597798475868,0.9974597798475868,0.9974597798475868,0.9974597798475868,0.9987298899237934,0.9982218458933108
14,association_duration,1.0,67f033c33586ad429bb51074,67,58,58,58,58,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.9328358208955223,0.9059701492537313
15,avg_temp,0.5,67f033c33586ad429bb510b2,667,667,575,667,575,1.0,0.8620689655172413,1.0,0.8620689655172413,0.6810344827586207,0.7534482758620689
16,bac_prod,0.0,67f033c33586ad429bb510c4,1959,546,0,546,0,0.2787136294027565,0.0,0.2787136294027565,0.0,0.0,0.0
17,bac_resp,0.0,67f033c33586ad429bb51079,1524,62,0,62,0,0.0406824146981627,0.0,0.0406824146981627,0.0,0.0,0.0
18,bacteria_carb_prod,0.6666666666666666,67f033c33586ad429bb510ae,5875,744,256,744,256,0.1266382978723404,0.0435744680851063,0.1266382978723404,0.0435744680851063,0.3551205673758865,0.2305021276595744
19,bacterial_density,0.2,67f033c33586ad429bb510ab,113,56,54,56,54,0.495575221238938,0.4778761061946903,0.495575221238938,0.4778761061946903,0.33893805309734515,0.3945132743362832
20,barometric_press,0.5555555555555555,67f033c33586ad429bb51083,1556,1383,1264,1383,1264,0.8888174807197944,0.8123393316195373,0.8888174807197944,0.8123393316195373,0.6839474435875463,0.7353041988003427
21,benzene,0.5,67f033c33586ad429bb510c7,115,115,9,115,9,1.0,0.0782608695652174,1.0,0.0782608695652174,0.2891304347826087,0.20478260869565218
22,biochem_oxygen_dem,0.5,67f033c33586ad429bb510df,880,402,35,402,35,0.4568181818181818,0.0397727272727272,0.4568181818181818,0.0397727272727272,0.2698863636363636,0.17784090909090905
23,blood_press_diast,0.0,67f033c33586ad429bb510af,146,146,0,146,0,1.0,0.0,1.0,0.0,0.0,0.0
24,blood_press_syst,0.0,67f033c33586ad429bb5105c,146,146,0,146,0,1.0,0.0,1.0,0.0,0.0,0.0
25,bromide,0.8571428571428571,67f033c33586ad429bb510b3,8222,901,425,901,425,0.1095840428119678,0.0516905862320603,0.1095840428119678,0.0516905862320603,0.4544167216874587,0.29332626750529933
26,built_struc_age,0.5,67f033c33586ad429bb5107d,252,252,1,252,1,1.0,0.0039682539682539,1.0,0.0039682539682539,0.251984126984127,0.15277777777777773
27,calcium,0.9090909090909091,67f033c33586ad429bb510b9,18236,9209,1213,9209,1213,0.5049901294143453,0.066516779995613,0.5049901294143453,0.066516779995613,0.48780384454326103,0.3192890187242018
28,carb_dioxide,0.75,67f033c33586ad429bb510b7,18288,6854,427,6854,427,0.3747812773403324,0.02334864391951,0.3747812773403324,0.02334864391951,0.386674321959755,0.24134405074365697
