unit_name,total_count,cs_code,followup
inch stere year roentgen,1262,,spurious instar in age
millimeter of mercury,1240,mm[Hg],
gram per kilogram,1097,g/kg,
square metre,1095,m2,
ounce,1088,[oz_av],1
milligram per cubic metre,1067,mg/m3,
ampere,994,,spurious 
milligram per gram,967,mg/g,
atomic mass unit farad,926,,days after fertilization in age
atomic mass unit gram per litre,881,ug/L,
square foot,860,[ft_i]2,1
year ampere-turn,853,,"years at (diagnosis, treatments, etc)"
horsepower degree fahrenheit,852,,spurious in description
millisecond nanometre,849,,"metros sobre el nivel del mar ""meters above sea level""

"
millisecond per centimetre,796,,
unk mole per kilogram,790,,
basis point,781,,
degree Celsius to the 57 byte litre,772,,
newton centavo roentgen,772,,
kilometre newton,771,,
milligram second,760,,
cubic centimetre pound-mass,757,,
revolutions per minute,747,,
minute of arc minute of arc,732,,
second watt attobarn,722,,
volt,689,,
per kiloampere to the 181,675,,
cubic metre,604,,
decibel year roentgen,601,,
yard,595,,
ampere-turn,594,,
microgram,584,,
count,574,,
dime set,573,,
second watt attobarn second,535,,
league,532,,
kibibyte,525,,
kilometre siemens,524,,
millisecond metre,514,,
dime pint pint,499,,
dime petaampere,482,,
south african rand henry,476,,
mole per kilogram,456,,
byte,451,,
kilometre watt,451,,
microsecond mole per cubic decimetre,426,,
year second,426,,
farad,419,,
milligram degree Celsius per kilogram,398,,
mile newton,391,,
atomic mass unit siemens,389,,
hour ampere-turn,383,,
dime petayear,374,,
gram atomic mass unit tonne second,365,,
cubic volt,342,,
microsecond mole per litre,339,,
bar,337,,
gram dime nanoampere,322,,
centavo ell,305,,
milligram degree Celsius,295,,
microsecond mole per square metre per second,290,,
minute ampere-turn,287,,
watt kelvin,287,,
gram per gallon per ampere-turn,287,,
joule,283,,
newton gram per cubic centimetre,282,,
pound-mass,279,,
newton gram,277,,
petametre,273,,
megaampere millisecond litre,269,,
metre dime,267,,
henry,264,,
megabyte,263,,
mile siemens,253,,
roentgen,252,,
kilometre nanowatt,250,,
mile watt,245,,
atomic mass unit,240,,
kilopascal,239,,
gauss,232,,
gram per cubic centimetre,232,,
atomic mass unit mole per kilogram,229,,
inch stere year south african rand,226,,
second of arc second of arc,223,,
henry tesla,221,,
set,205,,
dime pint,202,,
coulomb,196,,
femtowatt,195,,
bit,195,,
milligram per hectare,192,,
attometre,192,,
turn,187,,
newton litre,186,,
kilogram per hectare,186,,
litre per hour,186,,
millisecond,185,,
decibar,183,,
kilogram per cubic milligram,168,,
dollar,167,,
microsecond,166,,
standard atmosphere,162,,
decibel,161,,
megabarn,160,,
ampere-turn day,160,,
milligram newton per litre,159,,
mile nanowatt,152,,
microgram degree Celsius per litre per day,152,,
dollar dollar,151,,
candela per square metre,150,,
microsecond mole degree Celsius per litre,148,,
week day,147,,
micrometre degree Celsius,143,,
barn,137,,
poise siemens per siemens to the 78,134,,
astronomical unit,132,,
megabyte siemens farad,131,,
atomic mass unit femtobarn,130,,
cubic centimetre per litre,129,,
siemens per centimetre,129,,
microsecond mole,129,,
atomic mass unit mole,127,,
megaampere siemens litre,124,,
kilo base pair,120,,
newton metre,120,,
pint atomic mass unit petayear,119,,
day pint degree fahrenheit,117,,
tonne hour,116,,
roentgen farad atomic mass unit,114,,
gigabit,112,,
per second of arc to the 6 second of arc,112,,
mile per hour,111,,
megaton,111,,
parts-per-billion,110,,
litre cubic centimetre,108,,
degree fahrenheit,108,,
set watt,106,,
nucleotide,105,,
pint mole,104,,
day ampere-turn,104,,
degree Celsius degree angle,100,,
metre maxwell to the 6 millimetre,100,,
atomic mass unit hour,98,,
week ampere-turn,98,,
month ampere-turn,97,,
year gram per atomic mass unit per litre,96,,
litre picometre,96,,
inverse second,96,,
per year,95,,
minute of arc ampere-turn,93,,
,93,,
per metre to the 1500 metre,90,,
cubic millimetre henry to the 20,88,,
atomic mass unit mole kilogram,84,,
degree angle to the 12 minute newton,84,,
giga base pair,84,,
metre mole,83,,
megaton hour,81,,
atomic mass unit ampere,80,,
week year,80,,
centavo year,79,,
litre acre exayear,79,,
gigawatt,78,,
centimetre barn second,77,,
atomic mass unit gram per kilogram,76,,
atomic mass unit per cubic centimetre,74,,
minute of arc siemens,74,,
steradian roentgen nanoampere,73,,
base pair,73,,
dime pint gram,72,,
square roentgen,72,,
degree Celsius day,72,,
metre per second,72,,
gram per cubic decimetre,71,,
millisecond litre,71,,
per ampere per exametre,71,,
nanometre,69,,
millimetre litre,68,,
south african rand,67,,
gram degree Celsius per kilogram,66,,
atomic mass unit gram per atomic mass unit per litre,66,,
degree angle roentgen degree Celsius,66,,
gram per square metre,65,,
ampere siemens litre,65,,
farad gram per atomic mass unit per litre,64,,
ampere gigayear rutherford,64,,
percentage centilitre year year,64,,
milligram per litre per minute of arc,64,,
megapixel bit,64,,
metre minute of arc,64,,
gram atomic mass unit tonne,63,,
attometre siemens litre,60,,
kilogram per square metre,60,,
atomic mass unit per metre,59,,
millisecond per metre,59,,
atomic mass unit byte,58,,
metre second,58,,
metre standard litre per minute,57,,
dime poise henry,57,,
degree Celsius minute of arc,56,,
farad exabit to the 21,55,,
kilometre per hour,55,,
megaampere,55,,
year gigayear south african rand,54,,
megapascal,53,,
cubic centimetre per minute,53,,
per square siemens,52,,
year to the 10 metre,52,,
atomic mass unit pint,51,,
milligram litre,50,,
centavo degree fahrenheit atomic mass unit,50,,
dollar dollar to the 5,49,,
microsecond mole per square metre per second of arc,49,,
dollar dollar to the 72,49,,
minute ampere-turn megaampere,48,,
poise second,47,,
cubic year metre,47,,
minute of arc newton,46,,
