accession	biosampleGoldId	ncbiBioProjectAccession	sraExperimentIds	modDate	addDate	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale_id	envoBroadScale_label	envoBroadScale_label_lu	envoBroadScale_label_exact_match	envoBroadScale_biome	envoLocalScale_id	envoLocalScale_label	envoLocalScale_label_lu	envoLocalScale_label_exact_match	envoLocalScale_abp_subset	envoMedium_id	envoMedium_label	envoMedium_label_lu	envoMedium_label_exact_match	envoMedium_env_mat	envoMedium_soil	envoMedium_liq_water	envoMedium_sediment	envoMedium_fecal_material	envoMedium_animal_manure	envoMedium_bodily_fluid_material	envoMedium_sludge	envoMedium_petroleum	envoMedium_accounted_for	env_broad_scale	env_broad_scale_matched_curie	env_broad_scale_matched_label	env_broad_scale_replacement_curie	env_broad_scale_replacement_label	env_broad_scale_via_obsolescence	is_biome	env_broad_scale_curation_curie	env_broad_scale_curation_label	env_local_scale	env_local_scale_matched_curie	env_local_scale_matched_label	env_local_scale_replacement_curie	env_local_scale_replacement_label	env_local_scale_via_obsolescence	is_selected_abp	env_local_scale_curation_curie	env_local_scale_curation_label	env_medium	env_medium_matched_curie	env_medium_matched_label	env_medium_replacement_curie	env_medium_replacement_label	env_medium_via_obsolescence	is_env_mat	env_medium_curation_curie	env_medium_curation_label
SAMEA7723388	Gb0315434	PRJEB42019	ERX4803377|ERX4803809|ERX4804038|ERX4804848|ERX4805483|ERX4805911|ERX4806485|ERX4806873|ERX4807442|ERX4807655|ERX4807845|ERX4811006|ERX4812286|ERX4812858|ERX4813645	2025-01-29	2022-04-01	5482	Engineered	Bioreactor	Anaerobic	Sludge	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00002124	anaerobic bioreactor	anaerobic bioreactor	True	False	ENVO:00002129	anaerobic sludge	anaerobic sludge	True	True	False	False	False	False	False	False	True	False	True	urban biome	ENVO:01000249	urban biome				True			anaerobic bioreactor	ENVO:00002124	anaerobic bioreactor				False			anaerobic sludge	ENVO:00002129	anaerobic sludge				True		
SAMEA7723389	Gb0315435	PRJEB42019	ERX4803378|ERX4803588|ERX4803810|ERX4804039|ERX4805254|ERX4805484|ERX4806486|ERX4806689|ERX4807270|ERX4807443|ERX4807746|ERX4811007|ERX4812287|ERX4812859|ERX4813646	2025-01-29	2022-04-01	5482	Engineered	Bioreactor	Anaerobic	Sludge	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00002124	anaerobic bioreactor	anaerobic bioreactor	True	False	ENVO:00002129	anaerobic sludge	anaerobic sludge	True	True	False	False	False	False	False	False	True	False	True	urban biome	ENVO:01000249	urban biome				True			anaerobic bioreactor	ENVO:00002124	anaerobic bioreactor				False			anaerobic sludge	ENVO:00002129	anaerobic sludge				True		
SAMEA7723390	Gb0315436	PRJEB42019	ERX4803379|ERX4803811|ERX4804040|ERX4804849|ERX4805485|ERX4805912|ERX4806487|ERX4806874|ERX4807444|ERX4807656|ERX4807846|ERX4811010|ERX4812290|ERX4812860|ERX4813647	2025-01-29	2022-04-01	5482	Engineered	Bioreactor	Anaerobic	Sludge	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00002124	anaerobic bioreactor	anaerobic bioreactor	True	False	ENVO:00002129	anaerobic sludge	anaerobic sludge	True	True	False	False	False	False	False	False	True	False	True	urban biome	ENVO:01000249	urban biome				True			anaerobic bioreactor	ENVO:00002124	anaerobic bioreactor				False			anaerobic sludge	ENVO:00002129	anaerobic sludge				True		
SAMEA7723391	Gb0315437	PRJEB42019	ERX4803380|ERX4803812|ERX4804042|ERX4804851|ERX4805487|ERX4805914|ERX4806488|ERX4806876|ERX4807445|ERX4807657|ERX4807847|ERX4811012|ERX4812292|ERX4812862|ERX4813649	2025-01-29	2022-04-01	5482	Engineered	Bioreactor	Anaerobic	Sludge	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00002124	anaerobic bioreactor	anaerobic bioreactor	True	False	ENVO:00002129	anaerobic sludge	anaerobic sludge	True	True	False	False	False	False	False	False	True	False	True	urban biome	ENVO:01000249	urban biome				True			anaerobic bioreactor	ENVO:00002124	anaerobic bioreactor				False			anaerobic sludge	ENVO:00002129	anaerobic sludge				True		
SAMEA7723392	Gb0315745	PRJEB42019	ERX4803381|ERX4803813|ERX4804046|ERX4804854|ERX4805491|ERX4805917|ERX4806489|ERX4806879|ERX4807446|ERX4807658|ERX4807848|ERX4811018|ERX4812298|ERX4812866|ERX4813653	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723393	Gb0315746	PRJEB42019	ERX4803382|ERX4803814|ERX4804049|ERX4804857|ERX4805494|ERX4805920|ERX4806490|ERX4806882|ERX4807447|ERX4807935|ERX4811021|ERX4812301|ERX4812869|ERX4813656	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723394	Gb0315747	PRJEB42019	ERX4803383|ERX4803590|ERX4803815|ERX4804050|ERX4805256|ERX4805495|ERX4806491|ERX4806691|ERX4807272|ERX4807448|ERX4809669|ERX4811022|ERX4812302|ERX4812870|ERX4813657	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723395	Gb0315748	PRJEB42019	ERX4803384|ERX4803591|ERX4803816|ERX4804051|ERX4805257|ERX4805496|ERX4806492|ERX4806692|ERX4807273|ERX4807449|ERX4807659|ERX4807849|ERX4811023|ERX4812303|ERX4812871|ERX4813658	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723396	Gb0315749	PRJEB42019	ERX4803385|ERX4803592|ERX4803817|ERX4804052|ERX4805258|ERX4805497|ERX4806493|ERX4807274|ERX4807450|ERX4809769|ERX4811024|ERX4812304|ERX4812872|ERX4813659	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723397	Gb0315750	PRJEB42019	ERX4803386|ERX4803593|ERX4803818|ERX4804053|ERX4805259|ERX4805498|ERX4806494|ERX4806693|ERX4807275|ERX4807451|ERX4807749|ERX4811025|ERX4812305|ERX4812873|ERX4813660	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723398	Gb0315751	PRJEB42019	ERX4803387|ERX4803819|ERX4804061|ERX4804861|ERX4805506|ERX4805924|ERX4806495|ERX4806886|ERX4807452|ERX4807938|ERX4811033|ERX4812313|ERX4812881|ERX4813668	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723399	Gb0297313	PRJEB42019	ERX4803388|ERX4803820|ERX4804078|ERX4804872|ERX4805523|ERX4805934|ERX4806496|ERX4806897|ERX4807453|ERX4809675|ERX4811049|ERX4812328|ERX4812898|ERX4813685	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723400	Gb0297314	PRJEB42019	ERX4803389|ERX4803821|ERX4804081|ERX4804875|ERX4805526|ERX4805937|ERX4806497|ERX4806900|ERX4807454|ERX4807942|ERX4811052|ERX4812331|ERX4812901|ERX4813688	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723401	Gb0297315	PRJEB42019	ERX4803390|ERX4803822|ERX4804082|ERX4804876|ERX4805527|ERX4805938|ERX4806498|ERX4806901|ERX4807455|ERX4809676|ERX4811053|ERX4812332|ERX4812902|ERX4813689	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723402	Gb0297316	PRJEB42019	ERX4803391|ERX4803823|ERX4804083|ERX4804877|ERX4805939|ERX4806499|ERX4806902|ERX4807456|ERX4807943|ERX4811054|ERX4812333|ERX4812903|ERX4813690	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723403	Gb0297317	PRJEB42019	ERX4803392|ERX4803824|ERX4804088|ERX4804882|ERX4805532|ERX4805944|ERX4806500|ERX4806907|ERX4807457|ERX4807664|ERX4807854|ERX4811059|ERX4812338|ERX4812908|ERX4813695	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723404	Gb0297318	PRJEB42019	ERX4803393|ERX4803825|ERX4804089|ERX4804883|ERX4805533|ERX4805945|ERX4806501|ERX4806908|ERX4807458|ERX4809777|ERX4811060|ERX4812339|ERX4812909|ERX4813696	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723405	Gb0297319	PRJEB42019	ERX4803394|ERX4803826|ERX4804092|ERX4804885|ERX4805535|ERX4805947|ERX4806502|ERX4806910|ERX4807459|ERX4807666|ERX4807855|ERX4811063|ERX4812342|ERX4812912|ERX4813699	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723406	Gb0315789	PRJEB42019	ERX4803395|ERX4803827|ERX4804097|ERX4804886|ERX4805540|ERX4806503|ERX4806911|ERX4807460|ERX4807945|ERX4811065|ERX4812344|ERX4812914|ERX4813701	2025-01-29	2022-04-01	4327	Host-associated	Mollusca	Respiratory system	Gills	Unclassified	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:01000155	organic material	organic material	True	True	False	False	False	False	False	False	False	False	False	marine biome	ENVO:00000447	marine biome				True			host-associated habitat						False	ENVO:01001002	animal-associated environment	organic material	ENVO:01000155	organic material				True		
SAMEA7723407	Gb0315791	PRJEB42019	ERX4803396|ERX4803828|ERX4804101|ERX4804889|ERX4805544|ERX4805950|ERX4806504|ERX4806914|ERX4807461|ERX4807670|ERX4807859|ERX4811069|ERX4812348|ERX4812918|ERX4813705	2025-01-29	2022-04-01	5761	Host-associated	Mollusca	Bivalves	Unclassified	Unclassified	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:01000155	organic material	organic material	True	True	False	False	False	False	False	False	False	False	False	marine biome	ENVO:00000447	marine biome				True			host-associated habitat						False	ENVO:01001002	animal-associated environment	organic material	ENVO:01000155	organic material				True		
SAMEA7723408	Gb0315782	PRJEB42019	ERX4803397|ERX4803829|ERX4804107|ERX4804895|ERX4805550|ERX4805956|ERX4806505|ERX4806920|ERX4807462|ERX4807759|ERX4811075|ERX4812354|ERX4812924|ERX4813711	2025-01-29	2022-04-01	5068	Host-associated	Mollusca	Digestive system	Gut	Unclassified	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002003	fecal material	fecal material	True	True	False	False	False	True	False	True	False	False	True	marine biome	ENVO:00000447	marine biome				True			host-associated habitat						False	ENVO:01001002	animal-associated environment	feces	UBERON:0001988	feces				False		
SAMEA7723409	Gb0316049	PRJEB42019	ERX4803398|ERX4803830|ERX4804110|ERX4804897|ERX4805553|ERX4805958|ERX4806506|ERX4806922|ERX4807463|ERX4809780|ERX4812927|ERX4813714	2025-01-29	2022-04-01	4709	Host-associated	Mollusca	Tissue	Unclassified	Unclassified	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002040	wood	wood	True	True	False	False	False	False	False	False	False	False	False	marine biome	ENVO:00000447	marine biome				True			host-associated habitat						False	ENVO:01001002	animal-associated environment	wood	ENVO:00002040	wood				True		
SAMEA7723410	Gb0315858	PRJEB42019	ERX4803399|ERX4803831|ERX4804112|ERX4804898|ERX4805555|ERX4805959|ERX4806507|ERX4806923|ERX4807464|ERX4807673|ERX4807862|ERX4811079|ERX4812358|ERX4812929|ERX4813716|ERX4814437	2025-01-29	2022-04-01	4104	Host-associated	Mammals	Digestive system	Large intestine	Fecal	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002003	fecal material	fecal material	True	True	False	False	False	True	False	True	False	False	True	marine biome	ENVO:00000447	marine biome				True			animal-associated habitat						False	ENVO:01001002	animal-associated environment	feces	UBERON:0001988	feces				False		
SAMEA7723411	Gb0315859	PRJEB42019	ERX4803400|ERX4803832|ERX4804113|ERX4804899|ERX4805556|ERX4805960|ERX4806508|ERX4806924|ERX4807465|ERX4809781|ERX4811080|ERX4812359|ERX4812930|ERX4813717|ERX4814438	2025-01-29	2022-04-01	4104	Host-associated	Mammals	Digestive system	Large intestine	Fecal	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002003	fecal material	fecal material	True	True	False	False	False	True	False	True	False	False	True	marine biome	ENVO:00000447	marine biome				True			animal-associated habitat						False	ENVO:01001002	animal-associated environment	feces	UBERON:0001988	feces				False		
SAMEA7723412	Gb0315860	PRJEB42019	ERX4803401|ERX4803833|ERX4804116|ERX4804902|ERX4805559|ERX4805963|ERX4806509|ERX4806927|ERX4807466|ERX4807762|ERX4811083|ERX4812362|ERX4812933|ERX4813720|ERX4814441	2025-01-29	2022-04-01	4104	Host-associated	Mammals	Digestive system	Large intestine	Fecal	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002003	fecal material	fecal material	True	True	False	False	False	True	False	True	False	False	True	marine biome	ENVO:00000447	marine biome				True			animal-associated habitat						False	ENVO:01001002	animal-associated environment	feces	UBERON:0001988	feces				False		
SAMEA7723413	Gb0315861	PRJEB42019	ERX4803402|ERX4803834|ERX4804118|ERX4804904|ERX4805561|ERX4805964|ERX4806510|ERX4806929|ERX4807467|ERX4807674|ERX4807863|ERX4811085|ERX4812364|ERX4812935|ERX4813722|ERX4814443	2025-01-29	2022-04-01	4104	Host-associated	Mammals	Digestive system	Large intestine	Fecal	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002003	fecal material	fecal material	True	True	False	False	False	True	False	True	False	False	True	marine biome	ENVO:00000447	marine biome				True			animal-associated habitat						False	ENVO:01001002	animal-associated environment	feces	UBERON:0001988	feces				False		
SAMEA7723414	Gb0315862	PRJEB42019	ERX4803403|ERX4803835|ERX4804119|ERX4804905|ERX4805562|ERX4805965|ERX4806511|ERX4806930|ERX4807468|ERX4807948|ERX4811086|ERX4812365|ERX4812936|ERX4813723|ERX4814444	2025-01-29	2022-04-01	4104	Host-associated	Mammals	Digestive system	Large intestine	Fecal	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002003	fecal material	fecal material	True	True	False	False	False	True	False	True	False	False	True	marine biome	ENVO:00000447	marine biome				True			animal-associated habitat						False	ENVO:01001002	animal-associated environment	feces	UBERON:0001988	feces				False		
SAMEA7723415	Gb0315863	PRJEB42019	ERX4803404|ERX4803836|ERX4804907|ERX4805565|ERX4805967|ERX4806512|ERX4806932|ERX4807469|ERX4807675|ERX4807864|ERX4811089|ERX4812368|ERX4812939|ERX4813726|ERX4814447	2025-01-29	2022-04-01	4104	Host-associated	Mammals	Digestive system	Large intestine	Fecal	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002003	fecal material	fecal material	True	True	False	False	False	True	False	True	False	False	True	marine biome	ENVO:00000447	marine biome				True			animal-associated habitat						False	ENVO:01001002	animal-associated environment	feces	UBERON:0001988	feces				False		
SAMEA7723416	Gb0315864	PRJEB42019	ERX4803405|ERX4803837|ERX4804122|ERX4804908|ERX4805566|ERX4805968|ERX4806513|ERX4806933|ERX4807470|ERX4807949|ERX4811090|ERX4812369|ERX4812940|ERX4813727|ERX4814448	2025-01-29	2022-04-01	4104	Host-associated	Mammals	Digestive system	Large intestine	Fecal	ENVO:00000447	marine biome	marine biome	True	True	ENVO:01001002	animal-associated environment	animal-associated environment	True	False	ENVO:00002003	fecal material	fecal material	True	True	False	False	False	True	False	True	False	False	True	marine biome	ENVO:00000447	marine biome				True			animal-associated habitat						False	ENVO:01001002	animal-associated environment	feces	UBERON:0001988	feces				False		
SAMEA7723417	Gb0297320	PRJEB42019	ERX4803406|ERX4803838|ERX4804123|ERX4804909|ERX4805567|ERX4805969|ERX4806514|ERX4806934|ERX4807471|ERX4809684|ERX4811091|ERX4812370|ERX4812941|ERX4813728	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:00002007	sediment	sediment	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			sediment	ENVO:00002007	sediment				False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723418	Gb0297321	PRJEB42019	ERX4803407|ERX4803839|ERX4804126|ERX4804912|ERX4805570|ERX4805972|ERX4806515|ERX4806937|ERX4807472|ERX4807676|ERX4807865|ERX4811094|ERX4812373|ERX4812944|ERX4813731	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:01000143	marine reef	marine reef	True	True	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			marine reef	ENVO:01000143	marine reef				True			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723419	Gb0297322	PRJEB42019	ERX4803408|ERX4803840|ERX4804127|ERX4804913|ERX4805973|ERX4806516|ERX4806938|ERX4807473|ERX4809783|ERX4811095|ERX4812374|ERX4812945|ERX4813732	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:01000181	mangrove biome	mangrove biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			mangrove						False	ENVO:00000103	mangrove island	marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723420	Gb0297323	PRJEB42019	ERX4803409|ERX4803841|ERX4804128|ERX4804914|ERX4805571|ERX4805974|ERX4806517|ERX4806939|ERX4807474|ERX4809685|ERX4811096|ERX4812375|ERX4812946|ERX4813733	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:00000038	lagoon	lagoon	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			lagoon	ENVO:00000038	lagoon				False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723421	Gb0297324	PRJEB42019	ERX4803410|ERX4803842|ERX4804130|ERX4804916|ERX4805572|ERX4805976|ERX4806518|ERX4806941|ERX4807475|ERX4807763|ERX4811098|ERX4812377|ERX4812948|ERX4813735	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:01000001	mud	mud	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			mud	ENVO:01000001	mud				False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723422	Gb0297325	PRJEB42019	ERX4803411|ERX4803843|ERX4804131|ERX4804917|ERX4805573|ERX4805977|ERX4806519|ERX4806942|ERX4807476|ERX4807952|ERX4811099|ERX4812378|ERX4812949|ERX4813736	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:01000001	mud	mud	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			mud	ENVO:01000001	mud				False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723423	Gb0297326	PRJEB42019	ERX4803412|ERX4803605|ERX4803844|ERX4804135|ERX4805271|ERX4805577|ERX4806705|ERX4807287|ERX4807477|ERX4809784|ERX4811103|ERX4812382|ERX4812953|ERX4813740	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:01000143	marine reef	marine reef	True	True	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			marine reef	ENVO:01000143	marine reef				True			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723424	Gb0297327	PRJEB42019	ERX4803413|ERX4803845|ERX4804136|ERX4804920|ERX4805578|ERX4805980|ERX4806520|ERX4806945|ERX4807478|ERX4807678|ERX4807867|ERX4811104|ERX4812383|ERX4812954|ERX4813741	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:01000143	marine reef	marine reef	True	True	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			marine reef	ENVO:01000143	marine reef				True			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723425	Gb0297328	PRJEB42019	ERX4803414|ERX4803846|ERX4804137|ERX4804921|ERX4805579|ERX4805981|ERX4806521|ERX4806946|ERX4807479|ERX4807765|ERX4811105|ERX4812384|ERX4812955|ERX4813742	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:01000143	marine reef	marine reef	True	True	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			marine reef	ENVO:01000143	marine reef				True			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723426	Gb0297329	PRJEB42019	ERX4803415|ERX4803847|ERX4804138|ERX4804922|ERX4805580|ERX4805982|ERX4806522|ERX4806947|ERX4807480|ERX4807953|ERX4811106|ERX4812385|ERX4812956|ERX4813743	2025-01-29	2021-07-24	4009	Environmental	Aquatic	Marine	Oceanic	Sediment	ENVO:01000024	marine benthic biome	marine benthic biome	True	True	ENVO:00002007	sediment	sediment	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine benthic biome	ENVO:01000024	marine benthic biome				True			sediment	ENVO:00002007	sediment				False			marine sediment	ENVO:03000033	marine sediment				True		
