accession	biosampleGoldId	ncbiBioProjectAccession	sraExperimentIds	modDate	addDate	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale_id	envoBroadScale_label	envoBroadScale_label_lu	envoBroadScale_label_exact_match	envoBroadScale_biome	envoLocalScale_id	envoLocalScale_label	envoLocalScale_label_lu	envoLocalScale_label_exact_match	envoLocalScale_abp_subset	envoMedium_id	envoMedium_label	envoMedium_label_lu	envoMedium_label_exact_match	envoMedium_env_mat	envoMedium_soil	envoMedium_liq_water	envoMedium_sediment	envoMedium_fecal_material	envoMedium_animal_manure	envoMedium_bodily_fluid_material	envoMedium_sludge	envoMedium_petroleum	envoMedium_accounted_for	env_broad_scale	env_broad_scale_matched_curie	env_broad_scale_matched_label	env_broad_scale_replacement_curie	env_broad_scale_replacement_label	env_broad_scale_via_obsolescence	is_biome	env_broad_scale_curation_curie	env_broad_scale_curation_label	env_local_scale	env_local_scale_matched_curie	env_local_scale_matched_label	env_local_scale_replacement_curie	env_local_scale_replacement_label	env_local_scale_via_obsolescence	is_selected_abp	env_local_scale_curation_curie	env_local_scale_curation_label	env_medium	env_medium_matched_curie	env_medium_matched_label	env_medium_replacement_curie	env_medium_replacement_label	env_medium_via_obsolescence	is_env_mat	env_medium_curation_curie	env_medium_curation_label
SAMEA7723551	Gb0315690	PRJEB42019	ERX4803540|ERX4803972|ERX4804424|ERX4805188|ERX4805862|ERX4806247|ERX4806645|ERX4807211|ERX4807603|ERX4808012|ERX4811520|ERX4812799|ERX4813573|ERX4814360	2025-01-29	2022-04-01	4412	Host-associated	Fungi	Lichen	Unclassified	Unclassified	ENVO:01000250	subpolar coniferous forest biome	subpolar coniferous forest biome	True	True	ENVO:00000044	peatland	peatland	True	False	ENVO:00001998	soil	soil	True	True	True	False	False	False	False	False	False	False	True	subpolar coniferous forest biome	ENVO:01000250	subpolar coniferous forest biome				True			bog						False	ENVO:00000044	peatland	soil	ENVO:00001998	soil				True		
SAMEA7723552	Gb0315691	PRJEB42019	ERX4803541|ERX4803755|ERX4803973|ERX4804425|ERX4805421|ERX4805863|ERX4806646|ERX4806853|ERX4807436|ERX4807604|ERX4808013|ERX4811521|ERX4812800|ERX4813574|ERX4814361	2025-01-29	2022-04-01	4412	Host-associated	Fungi	Lichen	Unclassified	Unclassified	ENVO:01000250	subpolar coniferous forest biome	subpolar coniferous forest biome	True	True	ENVO:00000044	peatland	peatland	True	False	ENVO:00001998	soil	soil	True	True	True	False	False	False	False	False	False	False	True	subpolar coniferous forest biome	ENVO:01000250	subpolar coniferous forest biome				True			bog						False	ENVO:00000044	peatland	soil	ENVO:00001998	soil				True		
SAMEA7723553	Gb0315692	PRJEB42019	ERX4803542|ERX4803974|ERX4804434|ERX4805196|ERX4805872|ERX4806255|ERX4806647|ERX4807219|ERX4807605|ERX4807730|ERX4807919|ERX4813583|ERX4814370	2025-01-29	2022-04-01	4412	Host-associated	Fungi	Lichen	Unclassified	Unclassified	ENVO:01000250	subpolar coniferous forest biome	subpolar coniferous forest biome	True	True	ENVO:00000087	cliff	cliff	True	True	ENVO:00001995	rock	rock	True	True	False	False	False	False	False	False	False	False	False	subpolar coniferous forest biome	ENVO:01000250	subpolar coniferous forest biome				True			cliff	ENVO:00000087	cliff				True			rock	ENVO:00001995	rock				True		
SAMEA7723554	Gb0297360	PRJEB42019	ERX4803543|ERX4803975|ERX4804440|ERX4805200|ERX4805878|ERX4806259|ERX4806648|ERX4807223|ERX4807606|ERX4807826|ERX4811534|ERX4812813|ERX4813589|ERX4814376	2025-01-29	2021-07-24	5745	Host-associated	Invertebrates	Cnidaria	Coral	Tissue	ENVO:01000029	marine reef biome	marine reef biome	True	True	ENVO:00000150	coral reef	coral reef	True	True	ENVO:01000155	organic material	organic material	True	True	False	False	False	False	False	False	False	False	False	marine reef biome	ENVO:01000029	marine reef biome				True			coral reef	ENVO:00000150	coral reef				True			organic material	ENVO:01000155	organic material				True		
SAMEA7723555	Gb0297361	PRJEB42019	ERX4803544|ERX4803976|ERX4804441|ERX4805201|ERX4805879|ERX4806260|ERX4806649|ERX4807224|ERX4807607|ERX4808016|ERX4811535|ERX4812814|ERX4813590|ERX4814377	2025-01-29	2021-07-24	5745	Host-associated	Invertebrates	Cnidaria	Coral	Tissue	ENVO:01000029	marine reef biome	marine reef biome	True	True	ENVO:00000150	coral reef	coral reef	True	True	ENVO:01000155	organic material	organic material	True	True	False	False	False	False	False	False	False	False	False	marine reef biome	ENVO:01000029	marine reef biome				True			coral reef	ENVO:00000150	coral reef				True			organic material	ENVO:01000155	organic material				True		
SAMEA7723556	Gb0297362	PRJEB42019	ERX4803545|ERX4803977|ERX4804442|ERX4805202|ERX4805880|ERX4806261|ERX4806650|ERX4807225|ERX4807608|ERX4809750|ERX4811536|ERX4812815|ERX4813591|ERX4814378	2025-01-29	2021-07-24	5745	Host-associated	Invertebrates	Cnidaria	Coral	Tissue	ENVO:01000029	marine reef biome	marine reef biome	True	True	ENVO:00000150	coral reef	coral reef	True	True	ENVO:01000155	organic material	organic material	True	True	False	False	False	False	False	False	False	False	False	marine reef biome	ENVO:01000029	marine reef biome				True			coral reef	ENVO:00000150	coral reef				True			organic material	ENVO:01000155	organic material				True		
SAMEA7723557	Gb0297363	PRJEB42019	ERX4803546|ERX4803978|ERX4804446|ERX4805206|ERX4805884|ERX4806265|ERX4806651|ERX4807229|ERX4807609|ERX4807733|ERX4807922|ERX4813595|ERX4814382	2025-01-29	2021-07-24	5745	Host-associated	Invertebrates	Cnidaria	Coral	Tissue	ENVO:01000029	marine reef biome	marine reef biome	True	True	ENVO:00000150	coral reef	coral reef	True	True	ENVO:01000155	organic material	organic material	True	True	False	False	False	False	False	False	False	False	False	marine reef biome	ENVO:01000029	marine reef biome				True			coral reef	ENVO:00000150	coral reef				True			organic material	ENVO:01000155	organic material				True		
SAMEA7723558	Gb0297364	PRJEB42019	ERX4803547|ERX4803979|ERX4804449|ERX4805208|ERX4805887|ERX4806267|ERX4806652|ERX4807231|ERX4807610|ERX4807828|ERX4811542|ERX4812821|ERX4813598|ERX4814385	2025-01-29	2021-07-24	5745	Host-associated	Invertebrates	Cnidaria	Coral	Tissue	ENVO:01000029	marine reef biome	marine reef biome	True	True	ENVO:00000150	coral reef	coral reef	True	True	ENVO:01000155	organic material	organic material	True	True	False	False	False	False	False	False	False	False	False	marine reef biome	ENVO:01000029	marine reef biome				True			coral reef	ENVO:00000150	coral reef				True			organic material	ENVO:01000155	organic material				True		
SAMEA7723559	Gb0297365	PRJEB42019	ERX4803548|ERX4803980|ERX4804452|ERX4805211|ERX4805890|ERX4806270|ERX4806653|ERX4807234|ERX4807611|ERX4809851|ERX4811545|ERX4812824|ERX4813601|ERX4814388	2025-01-29	2021-07-24	5745	Host-associated	Invertebrates	Cnidaria	Coral	Tissue	ENVO:01000029	marine reef biome	marine reef biome	True	True	ENVO:00000150	coral reef	coral reef	True	True	ENVO:02000040	mucus material	mucus material	True	True	False	False	False	False	False	True	False	False	True	marine reef biome	ENVO:01000029	marine reef biome				True			coral reef	ENVO:00000150	coral reef				True			mucus	UBERON:0000912	mucus				False		
SAMEA7723560	Gb0297366	PRJEB42019	ERX4803549|ERX4803760|ERX4803981|ERX4804457|ERX4805426|ERX4805895|ERX4806654|ERX4806858|ERX4807441|ERX4807612|ERX4809852|ERX4811550|ERX4812829|ERX4813606|ERX4814393	2025-01-29	2021-07-24	4008	Environmental	Aquatic	Marine	Oceanic	Unclassified	ENVO:01000029	marine reef biome	marine reef biome	True	True	ENVO:00000150	coral reef	coral reef	True	True	ENVO:00002149	sea water	sea water	True	True	False	True	False	False	False	False	False	False	True	marine reef biome	ENVO:01000029	marine reef biome				True			coral reef	ENVO:00000150	coral reef				True			sea water	ENVO:00002149	sea water				True		
SAMEA7723561	Gb0315465	PRJEB42019	ERX4803550|ERX4805216|ERX4807239	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723562	Gb0315466	PRJEB42019	ERX4803551|ERX4805217|ERX4807240	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723563	Gb0315467	PRJEB42019	ERX4803552|ERX4805218|ERX4807241	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723564	Gb0315468	PRJEB42019	ERX4803553|ERX4805219|ERX4807242	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723565	Gb0315469	PRJEB42019	ERX4803554|ERX4805220|ERX4807243	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723566	Gb0315470	PRJEB42019	ERX4803555|ERX4805221|ERX4807244	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723567	Gb0315471	PRJEB42019	ERX4803556|ERX4805222	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723568	Gb0315472	PRJEB42019	ERX4803557|ERX4805223|ERX4807245	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723569	Gb0315473	PRJEB42019	ERX4803558|ERX4805224|ERX4807246	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723570	Gb0315474	PRJEB42019	ERX4803559|ERX4805225|ERX4807247	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723571	Gb0315475	PRJEB42019	ERX4803560|ERX4805226	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723572	Gb0315476	PRJEB42019	ERX4803561|ERX4805227|ERX4807248	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723573	Gb0315477	PRJEB42019	ERX4803562|ERX4805228	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723574	Gb0315478	PRJEB42019	ERX4803563|ERX4805229|ERX4807249	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723575	Gb0315479	PRJEB42019	ERX4803564|ERX4805230|ERX4807250	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723576	Gb0315480	PRJEB42019	ERX4803565|ERX4805231|ERX4807251	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723577	Gb0315481	PRJEB42019	ERX4803566|ERX4805232|ERX4807252	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
SAMEA7723578	Gb0315482	PRJEB42019	ERX4803567|ERX4805233|ERX4807253	2025-01-29	2022-04-01	6222	Engineered	Industrial production	Chemical products	Lab-grade water	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00000469	research facility	research facility	True	True	ENVO:00005791	sterile water	sterile water	True	True	False	True	False	False	False	False	False	False	True	urban biome	ENVO:01000249	urban biome				True			research facility	ENVO:00000469	research facility				True			sterile water	ENVO:00005791	sterile water				True		
