Key	basename	extension	LastModified	Size	obo_foundry_title	use	status
fbdv.owl	fbdv	owl	2022-06-20T01:52:46.000Z	802844	Drosophila development		
fhkb.db.gz	fhkb	db.gz	2025-02-01T21:46:27.000Z	74056			
fibo.db.gz	fibo	db.gz	2025-02-01T21:46:28.000Z	13814070			
fideo-relation-graph.tsv.gz	fideo	relation-graph.tsv.gz	2022-06-20T01:52:47.000Z	10181	Food Interactions with Drugs Evidence Ontology		
fideo.db	fideo	db	2022-10-17T16:13:20.000Z	12722176	Food Interactions with Drugs Evidence Ontology		
fideo.db.gz	fideo	db.gz	2025-02-05T06:27:25.000Z	1849785	Food Interactions with Drugs Evidence Ontology		
fideo.owl	fideo	owl	2022-06-20T01:52:49.000Z	334714	Food Interactions with Drugs Evidence Ontology		
flopo-relation-graph.tsv.gz	flopo	relation-graph.tsv.gz	2022-06-20T01:52:50.000Z	7571055	Flora Phenotype Ontology		
flopo.db.gz	flopo	db.gz	2025-02-05T06:27:27.000Z	51794371	Flora Phenotype Ontology	1	
flopo.owl	flopo	owl	2022-06-20T01:52:51.000Z	62498877	Flora Phenotype Ontology		
fma.db.gz	fma	db.gz	2025-02-05T06:27:31.000Z	628017413	Foundational Model of Anatomy Ontology (subset)		
fobi-relation-graph.tsv.gz	fobi	relation-graph.tsv.gz	2022-06-20T01:53:02.000Z	80931	Food-Biomarker Ontology		
fobi.db	fobi	db	2022-10-17T16:14:16.000Z	8892416	Food-Biomarker Ontology		
fobi.db.gz	fobi	db.gz	2025-02-05T06:27:37.000Z	1620826	Food-Biomarker Ontology		
fobi.owl	fobi	owl	2022-06-20T01:53:06.000Z	2640677	Food-Biomarker Ontology		
foo.db	foo	db	2021-05-18T01:34:24.000Z	57344			
foodon-relation-graph.tsv.gz	foodon	relation-graph.tsv.gz	2022-06-20T01:53:08.000Z	4036406	Food Ontology		
foodon.db.gz	foodon	db.gz	2025-02-05T06:27:39.000Z	50458969	Food Ontology	1	
foodon.owl	foodon	owl	2022-06-20T01:53:09.000Z	40123872	Food Ontology		
fovt-relation-graph.tsv.gz	fovt	relation-graph.tsv.gz	2022-06-20T01:53:17.000Z	7836316	FuTRES Ontology of Vertebrate Traits		
fovt.db.gz	fovt	db.gz	2025-02-05T06:28:01.000Z	74703499	FuTRES Ontology of Vertebrate Traits		
fovt.owl	fovt	owl	2022-06-20T01:53:43.000Z	20156463	FuTRES Ontology of Vertebrate Traits		
fypo-relation-graph.tsv.gz	fypo	relation-graph.tsv.gz	2022-06-20T01:53:48.000Z	9720548	Fission Yeast Phenotype Ontology		
fypo.db.gz	fypo	db.gz	2025-02-05T06:28:18.000Z	58415565	Fission Yeast Phenotype Ontology		
fypo.owl	fypo	owl	2022-06-20T01:53:51.000Z	100255019	Fission Yeast Phenotype Ontology		
gard.db.gz	gard	db.gz	2025-02-05T06:28:48.000Z	2336625			
gecko-relation-graph.tsv.gz	gecko	relation-graph.tsv.gz	2022-06-20T01:54:02.000Z	2550	Genomics Cohorts Knowledge Ontology		No Output
gecko.db	gecko	db	2022-10-17T16:15:04.000Z	536576	Genomics Cohorts Knowledge Ontology		No Output
gecko.db.gz	gecko	db.gz	2025-02-05T06:28:53.000Z	113020	Genomics Cohorts Knowledge Ontology	1	No Output
gecko.owl	gecko	owl	2022-06-20T01:54:04.000Z	160220	Genomics Cohorts Knowledge Ontology		No Output
genepio.db.gz	genepio	db.gz	2025-02-05T06:29:01.000Z	6527289	Genomic Epidemiology Ontology	1	
geno-relation-graph.tsv.gz	geno	relation-graph.tsv.gz	2022-06-20T01:54:05.000Z	38495	Genotype Ontology		
geno.db	geno	db	2022-10-17T16:15:04.000Z	2899968	Genotype Ontology		
geno.db.gz	geno	db.gz	2025-02-05T06:29:02.000Z	615005	Genotype Ontology	1	
geno.owl	geno	owl	2022-06-20T01:54:07.000Z	634329	Genotype Ontology		
geo-relation-graph.tsv.gz	geo	relation-graph.tsv.gz	2022-06-20T01:54:07.000Z	3188	Geographical Entity Ontology		No Output
geo.db	geo	db	2022-10-17T16:15:05.000Z	1003520	Geographical Entity Ontology		No Output
geo.db.gz	geo	db.gz	2025-02-05T06:29:01.000Z	214032	Geographical Entity Ontology	1	No Output
geo.owl	geo	owl	2022-06-20T01:54:07.000Z	325667	Geographical Entity Ontology		No Output
gno-relation-graph.tsv.gz	gno	relation-graph.tsv.gz	2022-06-20T01:54:08.000Z	4236790	Glycan Naming and Subsumption Ontology (GNOme)		
gno.db.gz	gno	db.gz	2025-02-05T06:29:02.000Z	133918902	Glycan Naming and Subsumption Ontology (GNOme)		
gno.owl	gno	owl	2022-06-20T01:54:09.000Z	111657840	Glycan Naming and Subsumption Ontology (GNOme)		
go-amigo.db.gz	go	amigo.db.gz	2025-02-05T06:29:02.000Z	1155586241	Gene Ontology		
go-lego.db.gz	go	lego.db.gz	2025-02-05T06:29:04.000Z	1777838118	Gene Ontology		
go-nucleus-relation-graph.tsv.gz	go	nucleus-relation-graph.tsv.gz	2022-05-31T05:50:36.000Z	21749	Gene Ontology		
go-nucleus.db	go	nucleus.db	2022-10-17T16:15:12.000Z	1847296	Gene Ontology		
go-nucleus.db.old	go	nucleus.db.old	2022-05-31T05:50:44.000Z	1310720	Gene Ontology		
go-nucleus.owl	go	nucleus.owl	2022-05-31T05:50:47.000Z	495695	Gene Ontology		
go-plus.db	go	plus.db	2022-10-17T16:15:13.000Z	532480	Gene Ontology		
go-relation-graph.tsv.gz	go	relation-graph.tsv.gz	2022-06-20T01:54:30.000Z	36560630	Gene Ontology		
go.db.gz	go	db.gz	2025-02-05T06:30:23.000Z	285882090	Gene Ontology		
go.owl	go	owl	2022-06-20T01:54:41.000Z	226540271	Gene Ontology		
goa_uniprot_all.db	goa_uniprot_all	db	2022-10-17T16:15:39.000Z	8192			
goldterms.db.gz	goldterms	db.gz	2025-02-05T06:29:52.000Z	2949396		1	
gsso-relation-graph.tsv	gsso	relation-graph.tsv	2022-06-20T01:55:08.000Z	8193063	Gender, Sex, and Sexual Orientation (GSSO) ontology		Failed
gsso.db.gz	gsso	db.gz	2025-02-05T06:29:52.000Z	644	Gender, Sex, and Sexual Orientation (GSSO) ontology	1	Failed
gsso.db.tmp	gsso	db.tmp	2022-06-20T01:55:08.000Z	532480	Gender, Sex, and Sexual Orientation (GSSO) ontology		Failed
gsso.owl	gsso	owl	2022-06-20T01:55:08.000Z	17904543	Gender, Sex, and Sexual Orientation (GSSO) ontology		Failed
gtdb.db.gz	gtdb	db.gz	2025-02-01T21:47:15.000Z	63417498			
hancestro-relation-graph.tsv.gz	hancestro	relation-graph.tsv.gz	2022-06-20T01:55:10.000Z	11268	Human Ancestry Ontology		
hancestro.db	hancestro	db	2022-10-17T16:15:41.000Z	2437120	Human Ancestry Ontology		
hancestro.db.gz	hancestro	db.gz	2025-02-05T06:29:52.000Z	1698060	Human Ancestry Ontology	1	
hancestro.owl	hancestro	owl	2022-06-20T01:55:13.000Z	837074	Human Ancestry Ontology		
hao-relation-graph.tsv.gz	hao	relation-graph.tsv.gz	2022-06-20T01:55:14.000Z	402852	Hymenoptera Anatomy Ontology		
hao.db	hao	db	2022-10-17T16:15:42.000Z	35266560	Hymenoptera Anatomy Ontology		
hao.db.gz	hao	db.gz	2025-02-05T06:29:52.000Z	4518100	Hymenoptera Anatomy Ontology		
hao.owl	hao	owl	2022-06-20T01:55:15.000Z	6923086	Hymenoptera Anatomy Ontology		
hba.db.gz	hba	db.gz	2025-02-05T06:29:53.000Z	1379099			
hcao.db.gz	hcao	db.gz	2025-02-01T21:47:26.000Z	155640919			
hgnc.db.gz	hgnc	db.gz	2025-02-01T21:47:36.000Z	74978911			
hgnc.genegroup.db.gz	hgnc	genegroup.db.gz	2025-02-01T21:47:39.000Z	1423023			
