Key	basename	extension	LastModified	Size	obo_foundry_title	use	status
mop.db	mop	db	2022-10-17T16:19:00.000Z	12865536	Molecular Process Ontology		No Output
mop.db.gz	mop	db.gz	2025-02-05T06:30:22.000Z	2037885	Molecular Process Ontology	1	No Output
mop.owl	mop	owl	2022-06-20T01:58:33.000Z	4842212	Molecular Process Ontology		No Output
mp-relation-graph.tsv.gz	mp	relation-graph.tsv.gz	2022-06-20T01:58:36.000Z	25408180	Mammalian Phenotype Ontology		
mp.db.gz	mp	db.gz	2025-02-05T06:30:23.000Z	146816221	Mammalian Phenotype Ontology		
mp.owl	mp	owl	2022-06-20T01:58:51.000Z	108836912	Mammalian Phenotype Ontology		
mpath-relation-graph.tsv.gz	mpath	relation-graph.tsv.gz	2022-06-20T01:58:52.000Z	19453	Mouse pathology ontology		
mpath.db	mpath	db	2022-10-17T16:19:17.000Z	3313664	Mouse pathology ontology		
mpath.db.gz	mpath	db.gz	2025-02-05T06:31:00.000Z	703270	Mouse pathology ontology		
mpath.owl	mpath	owl	2022-06-20T01:58:53.000Z	1434612	Mouse pathology ontology		
mpio-relation-graph.tsv.gz	mpio	relation-graph.tsv.gz	2022-06-20T01:58:54.000Z	972	Minimum PDDI Information Ontology		
mpio.db	mpio	db	2022-10-17T16:19:18.000Z	532480	Minimum PDDI Information Ontology		
mpio.db.gz	mpio	db.gz	2025-02-05T06:31:03.000Z	114828	Minimum PDDI Information Ontology		
mpio.owl	mpio	owl	2022-06-20T01:58:56.000Z	154066	Minimum PDDI Information Ontology		
mro-relation-graph.tsv.gz	mro	relation-graph.tsv.gz	2022-06-20T01:58:57.000Z	1362474	MHC Restriction Ontology		
mro.db.gz	mro	db.gz	2025-02-05T06:31:04.000Z	37839414	MHC Restriction Ontology		
mro.owl	mro	owl	2022-06-20T01:59:05.000Z	82330974	MHC Restriction Ontology		
ms-relation-graph.tsv.gz	ms	relation-graph.tsv.gz	2022-06-20T01:59:17.000Z	6569800	Mass spectrometry ontology		
ms.db.gz	ms	db.gz	2025-02-05T06:31:17.000Z	2749432	Mass spectrometry ontology	1	
ms.owl	ms	owl	2022-06-20T01:59:29.000Z	35882321	Mass spectrometry ontology		
msio.db	msio	db	2022-10-17T16:20:06.000Z	5320704			
msio.db.gz	msio	db.gz	2025-02-05T06:31:20.000Z	1153133		1	
nando.db.gz	nando	db.gz	2025-02-01T21:48:28.000Z	2459025			
nbo-relation-graph.tsv.gz	nbo	relation-graph.tsv.gz	2022-06-20T01:59:36.000Z	1203784	Neuro Behavior Ontology		
nbo.db	nbo	db	2022-10-17T16:20:06.000Z	52895744	Neuro Behavior Ontology		
nbo.db.gz	nbo	db.gz	2025-02-05T06:31:21.000Z	17296415	Neuro Behavior Ontology		
nbo.owl	nbo	owl	2022-06-20T01:59:49.000Z	8567298	Neuro Behavior Ontology		
ncbitaxon-relation-graph.tsv.gz	ncbitaxon	relation-graph.tsv.gz	2022-06-20T01:59:53.000Z	195489956	NCBI organismal classification		
ncbitaxon.db.gz	ncbitaxon	db.gz	2025-02-05T06:31:30.000Z	1985778568	NCBI organismal classification		
ncbitaxon.owl	ncbitaxon	owl	2022-06-20T02:00:23.000Z	1881999296	NCBI organismal classification		
ncit-relation-graph.tsv.gz	ncit	relation-graph.tsv.gz	2022-06-20T02:00:30.000Z	10028185	NCI Thesaurus OBO Edition		
ncit.db.gz	ncit	db.gz	2025-02-05T06:31:30.000Z	493315770	NCI Thesaurus OBO Edition		
ncit.owl	ncit	owl	2022-06-20T02:01:03.000Z	651435324	NCI Thesaurus OBO Edition		
ncro-relation-graph.tsv.gz	ncro	relation-graph.tsv.gz	2022-06-20T02:01:16.000Z	294354	Non-Coding RNA Ontology		
ncro.db	ncro	db	2022-10-17T16:21:24.000Z	15265792	Non-Coding RNA Ontology		
ncro.db.gz	ncro	db.gz	2025-02-05T06:31:34.000Z	2574435	Non-Coding RNA Ontology	1	
ncro.owl	ncro	owl	2022-06-20T02:01:22.000Z	2555592	Non-Coding RNA Ontology		
neo.db.gz	neo	db.gz	2025-02-05T06:31:36.000Z	950579020			
nmdc_schema.db.gz	nmdc_schema	db.gz	2025-02-01T21:48:48.000Z	21767			
nomen-relation-graph.tsv.gz	nomen	relation-graph.tsv.gz	2022-06-20T02:01:23.000Z	5301	NOMEN - A nomenclatural ontology for biological names		No Output
nomen.db	nomen	db	2022-10-17T16:21:28.000Z	712704	NOMEN - A nomenclatural ontology for biological names		No Output
nomen.db.gz	nomen	db.gz	2025-02-05T06:33:30.000Z	131749	NOMEN - A nomenclatural ontology for biological names	1	No Output
nomen.owl	nomen	owl	2022-06-20T02:01:25.000Z	182776	NOMEN - A nomenclatural ontology for biological names		No Output
oae-relation-graph.tsv.gz	oae	relation-graph.tsv.gz	2022-06-20T02:01:26.000Z	1598567	Ontology of Adverse Events		
oae.db	oae	db	2022-10-17T16:21:29.000Z	91504640	Ontology of Adverse Events		
oae.db.gz	oae	db.gz	2025-02-05T06:33:32.000Z	17183365	Ontology of Adverse Events		
oae.owl	oae	owl	2022-06-20T02:01:39.000Z	9508026	Ontology of Adverse Events		
oarcs-relation-graph.tsv.gz	oarcs	relation-graph.tsv.gz	2022-06-20T02:01:44.000Z	29967	Ontology of Arthropod Circulatory Systems		
oarcs.db	oarcs	db	2022-10-17T16:21:43.000Z	3661824	Ontology of Arthropod Circulatory Systems		
oarcs.db.gz	oarcs	db.gz	2025-02-05T06:33:39.000Z	466667	Ontology of Arthropod Circulatory Systems		
oarcs.owl	oarcs	owl	2022-06-20T02:01:49.000Z	705882	Ontology of Arthropod Circulatory Systems		
oba-relation-graph.tsv.gz	oba	relation-graph.tsv.gz	2022-06-20T02:01:49.000Z	29404856	Ontology of Biological Attributes		
oba.db.gz	oba	db.gz	2025-02-05T06:33:40.000Z	376638536	Ontology of Biological Attributes		
oba.owl	oba	owl	2022-06-20T02:02:38.000Z	109757263	Ontology of Biological Attributes		
obcs-relation-graph.tsv.gz	obcs	relation-graph.tsv.gz	2022-06-20T02:02:56.000Z	65987	Ontology of Biological and Clinical Statistics		No Output
obcs.db	obcs	db	2022-10-17T16:22:09.000Z	4845568	Ontology of Biological and Clinical Statistics		No Output
obcs.db.gz	obcs	db.gz	2025-02-05T06:33:57.000Z	1501041	Ontology of Biological and Clinical Statistics	1	No Output
obcs.owl	obcs	owl	2022-06-20T02:02:58.000Z	1179480	Ontology of Biological and Clinical Statistics		No Output
obi-relation-graph.tsv.gz	obi	relation-graph.tsv.gz	2022-06-20T02:03:00.000Z	465647	Ontology for Biomedical Investigations		
obi.db	obi	db	2022-10-17T16:22:10.000Z	35737600	Ontology for Biomedical Investigations		
obi.db.gz	obi	db.gz	2025-02-05T06:33:58.000Z	7637827	Ontology for Biomedical Investigations	1	
obi.owl	obi	owl	2022-06-20T02:03:08.000Z	8640137	Ontology for Biomedical Investigations		
obib-relation-graph.tsv.gz	obib	relation-graph.tsv.gz	2022-06-20T02:03:12.000Z	66648	Ontology for Biobanking		No Output
obib.db	obib	db	2022-10-17T16:22:16.000Z	7725056	Ontology for Biobanking		No Output
obib.db.gz	obib	db.gz	2025-02-05T06:34:00.000Z	1618167	Ontology for Biobanking	1	No Output
obib.owl	obib	owl	2022-06-20T02:03:15.000Z	2756078	Ontology for Biobanking		No Output
obiws.db.gz	obiws	db.gz	2025-02-01T21:49:27.000Z	286354			
obo_prefixes.db	obo_prefixes	db	2022-10-17T16:22:18.000Z	122880			
obo-ontologies.db	obo	ontologies.db	2022-10-17T16:22:18.000Z	1519616			
oboe-core.db.gz	oboe	core.db.gz	2025-02-01T21:49:28.000Z	33			
oboe-standards.db.gz	oboe	standards.db.gz	2025-02-01T21:49:28.000Z	38			
occo.db.gz	occo	db.gz	2025-02-05T06:34:02.000Z	3085307	Occupation Ontology	1	
oeo.db.gz	oeo	db.gz	2025-02-05T06:34:03.000Z	2244824			
ogco.db.gz	ogco	db.gz	2025-02-05T06:34:05.000Z	3918363			
ogg-relation-graph.tsv.gz	ogg	relation-graph.tsv.gz	2022-06-20T02:03:16.000Z	14740930	The Ontology of Genes and Genomes		
ogg.db.gz	ogg	db.gz	2025-02-05T06:34:08.000Z	153008794	The Ontology of Genes and Genomes		
ogg.owl	ogg	owl	2022-06-20T02:04:48.000Z	161502996	The Ontology of Genes and Genomes		
ogms-relation-graph.tsv.gz	ogms	relation-graph.tsv.gz	2022-06-20T02:04:53.000Z	3953	Ontology for General Medical Science		
ogms.db	ogms	db	2022-10-17T16:23:17.000Z	991232	Ontology for General Medical Science		
ogms.db.gz	ogms	db.gz	2025-02-05T06:34:53.000Z	207297	Ontology for General Medical Science	1	
ogms.owl	ogms	owl	2022-06-20T02:04:54.000Z	298806	Ontology for General Medical Science		
ogsf-relation-graph.tsv.gz	ogsf	relation-graph.tsv.gz	2022-06-20T02:04:56.000Z	42998	Ontology of Genetic Susceptibility Factor		No Output
ogsf.db	ogsf	db	2022-10-17T16:23:18.000Z	3489792	Ontology of Genetic Susceptibility Factor		No Output
ogsf.db.gz	ogsf	db.gz	2025-02-05T06:34:57.000Z	657879	Ontology of Genetic Susceptibility Factor	1	No Output
ogsf.owl	ogsf	owl	2022-06-20T02:04:58.000Z	748070	Ontology of Genetic Susceptibility Factor		No Output
ohd-relation-graph.tsv.gz	ohd	relation-graph.tsv.gz	2022-06-20T02:04:59.000Z	429540	Oral Health and Disease Ontology		No Output
ohd.db.gz	ohd	db.gz	2025-02-05T06:34:59.000Z	4772328	Oral Health and Disease Ontology	1	No Output
ohd.owl	ohd	owl	2022-06-20T02:05:06.000Z	3143280	Oral Health and Disease Ontology		No Output
ohmi-relation-graph.tsv.gz	ohmi	relation-graph.tsv.gz	2022-06-20T02:05:07.000Z	216723	Ontology of Host-Microbiome Interactions		No Output
ohmi.db	ohmi	db	2022-10-17T16:23:21.000Z	12918784	Ontology of Host-Microbiome Interactions		No Output
ohmi.db.gz	ohmi	db.gz	2025-02-05T06:35:00.000Z	2476880	Ontology of Host-Microbiome Interactions	1	No Output
ohmi.owl	ohmi	owl	2022-06-20T02:05:12.000Z	2533276	Ontology of Host-Microbiome Interactions		No Output
ohpi-relation-graph.tsv.gz	ohpi	relation-graph.tsv.gz	2022-06-20T02:05:12.000Z	5310365	Ontology of Host Pathogen Interactions		No Output
ohpi.db.gz	ohpi	db.gz	2025-02-05T06:35:03.000Z	38851955	Ontology of Host Pathogen Interactions	1	No Output
ohpi.owl	ohpi	owl	2022-06-20T02:05:12.000Z	29016104	Ontology of Host Pathogen Interactions		No Output
olatdv-relation-graph.tsv.gz	olatdv	relation-graph.tsv.gz	2022-06-20T02:05:13.000Z	3338	Medaka Developmental Stages		
olatdv.db	olatdv	db	2022-10-17T16:23:29.000Z	593920	Medaka Developmental Stages		
olatdv.db.gz	olatdv	db.gz	2025-02-05T06:35:10.000Z	102983	Medaka Developmental Stages		
olatdv.owl	olatdv	owl	2022-06-20T02:05:15.000Z	131690	Medaka Developmental Stages		
omiabis.db	omiabis	db	2022-10-17T16:23:30.000Z	544768	Ontologized MIABIS		
omim.db.gz	omim	db.gz	2025-02-01T21:49:50.000Z	19077950			
omit-relation-graph.tsv.gz	omit	relation-graph.tsv.gz	2022-06-20T02:05:16.000Z	6101793	Ontology for MIRNA Target		
omit.db.gz	omit	db.gz	2025-02-05T06:35:14.000Z	50952172	Ontology for MIRNA Target	1	
omit.owl	omit	owl	2022-06-20T02:05:18.000Z	48062234	Ontology for MIRNA Target		
omo-relation-graph.tsv.gz	omo	relation-graph.tsv.gz	2022-06-20T02:05:26.000Z	657	OBO Metadata Ontology		No Output
omo.db	omo	db	2022-10-17T16:23:38.000Z	532480	OBO Metadata Ontology		No Output
omo.db.gz	omo	db.gz	2025-02-05T06:35:15.000Z	77385	OBO Metadata Ontology	1	No Output
omo.owl	omo	owl	2022-06-20T02:05:27.000Z	79275	OBO Metadata Ontology		No Output
omop.db.gz	omop	db.gz	2025-02-05T06:35:16.000Z	2141768729			
omp-relation-graph.tsv.gz	omp	relation-graph.tsv.gz	2022-06-20T02:05:27.000Z	109442	Ontology of Microbial Phenotypes		
omp.db	omp	db	2022-10-17T16:23:39.000Z	11735040	Ontology of Microbial Phenotypes		
omp.db.gz	omp	db.gz	2025-02-05T06:35:22.000Z	2156995	Ontology of Microbial Phenotypes	1	
omp.owl	omp	owl	2022-06-20T02:05:28.000Z	4511169	Ontology of Microbial Phenotypes		
omrse-relation-graph.tsv.gz	omrse	relation-graph.tsv.gz	2022-06-20T02:05:29.000Z	33672	Ontology for Modeling and Representation of Social Entities		
omrse.db	omrse	db	2022-10-17T16:23:40.000Z	4001792	Ontology for Modeling and Representation of Social Entities		
omrse.db.gz	omrse	db.gz	2025-02-05T06:35:22.000Z	986819	Ontology for Modeling and Representation of Social Entities	1	
omrse.owl	omrse	owl	2022-06-20T02:05:31.000Z	1236549	Ontology for Modeling and Representation of Social Entities		
one-relation-graph.tsv.gz	one	relation-graph.tsv.gz	2022-06-20T02:05:31.000Z	332145	Ontology for Nutritional Epidemiology		
one.db.gz	one	db.gz	2025-02-05T06:35:25.000Z	5210572	Ontology for Nutritional Epidemiology		
one.owl	one	owl	2022-06-20T02:05:32.000Z	7030218	Ontology for Nutritional Epidemiology		
ons-relation-graph.tsv.gz	ons	relation-graph.tsv.gz	2022-06-20T02:05:33.000Z	863224	Ontology for Nutritional Studies		
ons.db	ons	db	2022-10-17T16:23:42.000Z	50122752	Ontology for Nutritional Studies		
ons.db.gz	ons	db.gz	2025-02-05T06:35:27.000Z	3709183	Ontology for Nutritional Studies		
ons.owl	ons	owl	2022-06-20T02:05:37.000Z	9215150	Ontology for Nutritional Studies		
ontie.db.gz	ontie	db.gz	2025-02-01T21:50:01.000Z	1704675			
ontoavida-relation-graph.tsv.gz	ontoavida	relation-graph.tsv.gz	2022-06-20T02:05:41.000Z	6082	OntoAvida: ontology for Avida digital evolution platform		
ontoavida.db	ontoavida	db	2022-10-17T16:23:44.000Z	1298432	OntoAvida: ontology for Avida digital evolution platform		
ontoavida.db.gz	ontoavida	db.gz	2025-02-05T06:35:28.000Z	200495	OntoAvida: ontology for Avida digital evolution platform		
ontoavida.owl	ontoavida	owl	2022-06-20T02:05:42.000Z	472853	OntoAvida: ontology for Avida digital evolution platform		
ontobiotope.db.gz	ontobiotope	db.gz	2025-02-01T21:50:02.000Z	1839706			
ontoneo-relation-graph.tsv.gz	ontoneo	relation-graph.tsv.gz	2022-06-20T02:05:42.000Z	119625	Obstetric and Neonatal Ontology		
ontoneo.db	ontoneo	db	2022-10-17T16:23:45.000Z	9498624	Obstetric and Neonatal Ontology		
ontoneo.db.gz	ontoneo	db.gz	2025-02-05T06:35:29.000Z	2032047	Obstetric and Neonatal Ontology		
ontoneo.owl	ontoneo	owl	2022-06-20T02:05:43.000Z	2945937	Obstetric and Neonatal Ontology		
oostt-relation-graph.tsv.gz	oostt	relation-graph.tsv.gz	2022-06-20T02:05:43.000Z	29998	Ontology of Organizational Structures of Trauma centers and Trauma systems		
oostt.db	oostt	db	2022-10-17T16:23:46.000Z	3624960	Ontology of Organizational Structures of Trauma centers and Trauma systems		
oostt.db.gz	oostt	db.gz	2025-02-05T06:35:30.000Z	953597	Ontology of Organizational Structures of Trauma centers and Trauma systems		
oostt.owl	oostt	owl	2022-06-20T02:05:43.000Z	1158678	Ontology of Organizational Structures of Trauma centers and Trauma systems		
opl-relation-graph.tsv.gz	opl	relation-graph.tsv.gz	2022-06-20T02:05:43.000Z	38852	Ontology for Parasite LifeCycle		
opl.db	opl	db	2022-10-17T16:23:47.000Z	3174400	Ontology for Parasite LifeCycle		
opl.db.gz	opl	db.gz	2025-02-05T06:35:30.000Z	780173	Ontology for Parasite LifeCycle		
opl.owl	opl	owl	2022-06-20T02:05:44.000Z	965825	Ontology for Parasite LifeCycle		
opmi-relation-graph.tsv.gz	opmi	relation-graph.tsv.gz	2022-06-20T02:05:45.000Z	803242	Ontology of Precision Medicine and Investigation		
opmi.db.gz	opmi	db.gz	2025-02-05T06:35:31.000Z	5328325	Ontology of Precision Medicine and Investigation	1	
opmi.owl	opmi	owl	2022-06-20T02:05:45.000Z	4181905	Ontology of Precision Medicine and Investigation		
orcid.db.gz	orcid	db.gz	2025-02-05T06:35:33.000Z	308823			
ordo.db.gz	ordo	db.gz	2025-02-05T06:35:34.000Z	19529635			
ornaseq-relation-graph.tsv.gz	ornaseq	relation-graph.tsv.gz	2022-06-20T02:05:45.000Z	4959	Ontology of RNA Sequencing		No Output
ornaseq.db	ornaseq	db	2022-10-17T16:23:47.000Z	663552	Ontology of RNA Sequencing		No Output
ornaseq.db.gz	ornaseq	db.gz	2025-02-05T06:35:36.000Z	144027	Ontology of RNA Sequencing	1	No Output
ornaseq.owl	ornaseq	owl	2022-06-20T02:05:45.000Z	166036	Ontology of RNA Sequencing		No Output
ovae-relation-graph.tsv.gz	ovae	relation-graph.tsv.gz	2022-06-20T02:05:46.000Z	540388	Ontology of Vaccine Adverse Events		No Output
ovae.db.gz	ovae	db.gz	2025-02-05T06:35:39.000Z	4833387	Ontology of Vaccine Adverse Events	1	No Output
ovae.owl	ovae	owl	2022-06-20T02:05:47.000Z	4593976	Ontology of Vaccine Adverse Events		No Output
pathbank.db.gz	pathbank	db.gz	2025-02-01T21:50:06.000Z	32			
pato-min.owl	pato	min.owl	2022-05-31T15:29:44.000Z	6078387	Phenotype And Trait Ontology		
pato-relation-graph.tsv.gz	pato	relation-graph.tsv.gz	2022-06-20T02:05:48.000Z	5276983	Phenotype And Trait Ontology		
pato.db.db	pato	db.db	2022-10-17T16:23:50.000Z	532480	Phenotype And Trait Ontology		
pato.db.gz	pato	db.gz	2025-02-05T06:35:40.000Z	28238571	Phenotype And Trait Ontology	1	
pato.owl	pato	owl	2022-06-20T02:05:50.000Z	28431839	Phenotype And Trait Ontology		
pba.db.gz	pba	db.gz	2025-02-05T06:35:41.000Z	439299			
pcl-relation-graph.tsv.gz	pcl	relation-graph.tsv.gz	2022-06-20T02:05:50.000Z	12888327	Provisional Cell Ontology		
pcl.db.gz	pcl	db.gz	2025-02-05T06:35:43.000Z	218074460	Provisional Cell Ontology		
pcl.owl	pcl	owl	2022-06-20T02:05:55.000Z	92915378	Provisional Cell Ontology		
pco-relation-graph.tsv.gz	pco	relation-graph.tsv.gz	2022-06-20T02:05:57.000Z	10775	Population and Community Ontology		No Output
pco.db	pco	db	2022-10-17T16:23:56.000Z	1765376	Population and Community Ontology		No Output
pco.db.gz	pco	db.gz	2025-02-05T06:35:50.000Z	377853	Population and Community Ontology	1	No Output
pco.owl	pco	owl	2022-06-20T02:05:59.000Z	595304	Population and Community Ontology		No Output
pdro-relation-graph.tsv.gz	pdro	relation-graph.tsv.gz	2022-06-20T02:06:00.000Z	11916	The Prescription of Drugs Ontology		No Output
pdro.db	pdro	db	2022-10-17T16:23:57.000Z	1794048	The Prescription of Drugs Ontology		No Output
pdro.db.gz	pdro	db.gz	2025-02-05T06:35:52.000Z	393536	The Prescription of Drugs Ontology	1	No Output
pdro.owl	pdro	owl	2022-06-20T02:06:02.000Z	567148	The Prescription of Drugs Ontology		No Output
pdumdv-relation-graph.tsv.gz	pdumdv	relation-graph.tsv.gz	2022-06-20T02:06:04.000Z	906	Platynereis Developmental Stages		
pdumdv.db	pdumdv	db	2022-10-17T16:23:58.000Z	532480	Platynereis Developmental Stages		
pdumdv.db.gz	pdumdv	db.gz	2025-02-05T06:35:56.000Z	56959	Platynereis Developmental Stages		
pdumdv.owl	pdumdv	owl	2022-06-20T02:06:05.000Z	73234	Platynereis Developmental Stages		
peco-relation-graph.tsv.gz	peco	relation-graph.tsv.gz	2022-06-20T02:06:07.000Z	976744	Plant Experimental Conditions Ontology		No Output
peco.db	peco	db	2022-10-17T16:24:00.000Z	41930752	Plant Experimental Conditions Ontology		No Output
peco.db.gz	peco	db.gz	2025-02-05T06:35:56.000Z	6373073	Plant Experimental Conditions Ontology	1	No Output
peco.owl	peco	owl	2022-06-20T02:06:11.000Z	6981357	Plant Experimental Conditions Ontology		No Output
pfam.db.gz	pfam	db.gz	2025-02-01T21:50:14.000Z	4447181		1	
phenio_test.db.gz	phenio_test	db.gz	2025-02-05T06:36:26.000Z	23958			
phenio-relation-graph.tsv.gz	phenio	relation-graph.tsv.gz	2022-05-31T15:32:02.000Z	256510586			
phenio.db.gz	phenio	db.gz	2025-02-05T06:35:58.000Z	3240059836			
phipo-relation-graph.tsv.gz	phipo	relation-graph.tsv.gz	2022-06-20T02:06:12.000Z	869776	Pathogen Host Interaction Phenotype Ontology		No Output
phipo.db.gz	phipo	db.gz	2025-02-05T06:36:29.000Z	11847181	Pathogen Host Interaction Phenotype Ontology	1	No Output
phipo.owl	phipo	owl	2022-06-20T02:06:16.000Z	13889278	Pathogen Host Interaction Phenotype Ontology		No Output
plana-relation-graph.tsv.gz	plana	relation-graph.tsv.gz	2022-06-20T02:06:20.000Z	150002	planaria-ontology		
plana.db	plana	db	2022-10-17T16:24:10.000Z	9658368	planaria-ontology		
plana.db.gz	plana	db.gz	2025-02-05T06:36:36.000Z	1950784	planaria-ontology		
plana.owl	plana	owl	2022-06-20T02:06:20.000Z	2719628	planaria-ontology		
planp-relation-graph.tsv.gz	planp	relation-graph.tsv.gz	2022-06-20T02:06:21.000Z	709281	Planarian Phenotype Ontology		
planp.db	planp	db	2022-10-17T16:24:13.000Z	41021440	Planarian Phenotype Ontology		
planp.db.gz	planp	db.gz	2025-02-05T06:36:38.000Z	7788658	Planarian Phenotype Ontology		
planp.owl	planp	owl	2022-06-20T02:06:21.000Z	10529138	Planarian Phenotype Ontology		
po-relation-graph.tsv.gz	po	relation-graph.tsv.gz	2022-06-20T02:06:23.000Z	397334	Plant Ontology		No Output
po.db.gz	po	db.gz	2025-02-05T06:36:41.000Z	4625396	Plant Ontology	1	No Output
po.owl	po	owl	2022-06-20T02:06:24.000Z	7155145	Plant Ontology		No Output
poro-relation-graph.tsv.gz	poro	relation-graph.tsv.gz	2022-06-20T02:06:25.000Z	121654	Porifera Ontology		
poro.db	poro	db	2022-10-17T16:24:17.000Z	5443584	Porifera Ontology		
poro.db.gz	poro	db.gz	2025-02-05T06:36:41.000Z	1072024	Porifera Ontology		
poro.owl	poro	owl	2022-06-20T02:06:27.000Z	1133756	Porifera Ontology		
ppeo.db	ppeo	db	2022-10-17T16:24:18.000Z	655360			
ppeo.db.gz	ppeo	db.gz	2025-02-01T21:50:22.000Z	96547			
ppo-relation-graph.tsv.gz	ppo	relation-graph.tsv.gz	2022-06-20T02:06:28.000Z	28809	Plant Phenology Ontology		No Output
ppo.db	ppo	db	2022-10-17T16:24:18.000Z	4341760	Plant Phenology Ontology		No Output
ppo.db.gz	ppo	db.gz	2025-02-05T06:36:42.000Z	895740	Plant Phenology Ontology	1	No Output
ppo.owl	ppo	owl	2022-06-20T02:06:28.000Z	1589925	Plant Phenology Ontology		No Output
pr-relation-graph.tsv.gz	pr	relation-graph.tsv.gz	2022-06-20T02:06:28.000Z	38863718	PRotein Ontology (PRO)		
pr.db.gz	pr	db.gz	2025-02-05T06:36:43.000Z	746989142	PRotein Ontology (PRO)		
pr.owl	pr	owl	2022-06-20T02:06:29.000Z	1241028150	PRotein Ontology (PRO)		
pride.db.gz	pride	db.gz	2025-02-05T06:36:42.000Z	161534298			
proco.db	proco	db	2022-10-17T16:24:58.000Z	5332992	Process Chemistry Ontology		No Output
proco.db.gz	proco	db.gz	2025-02-05T06:37:22.000Z	1089119	Process Chemistry Ontology	1	No Output
prov.db.gz	prov	db.gz	2025-02-01T21:50:52.000Z	140215		1	
psdo-relation-graph.tsv.gz	psdo	relation-graph.tsv.gz	2022-06-20T02:06:35.000Z	105243	Performance Summary Display Ontology		No Output
psdo.db	psdo	db	2022-10-17T16:24:59.000Z	8785920	Performance Summary Display Ontology		No Output
psdo.db.gz	psdo	db.gz	2025-02-05T06:37:26.000Z	2061689	Performance Summary Display Ontology	1	No Output
psdo.owl	psdo	owl	2022-06-20T02:06:41.000Z	2354320	Performance Summary Display Ontology		No Output
pso-relation-graph.tsv.gz	pso	relation-graph.tsv.gz	2022-06-20T02:06:42.000Z	477144	Plant Stress Ontology		No Output
pso.db.gz	pso	db.gz	2025-02-05T06:37:29.000Z	7569144	Plant Stress Ontology	1	No Output
pso.owl	pso	owl	2022-06-20T02:06:55.000Z	4290382	Plant Stress Ontology		No Output
pw-relation-graph.tsv.gz	pw	relation-graph.tsv.gz	2022-06-20T02:06:56.000Z	67320	Pathway ontology		
pw.db	pw	db	2022-10-17T16:25:06.000Z	11108352	Pathway ontology		
pw.db.gz	pw	db.gz	2025-02-05T06:37:34.000Z	2256411	Pathway ontology	1	
pw.owl	pw	owl	2022-06-20T02:06:59.000Z	4965358	Pathway ontology		
quantitykind.db.gz	quantitykind	db.gz	2025-02-01T21:50:56.000Z	2379055		1	
qudtunit.db.gz	qudtunit	db.gz	2025-02-01T21:50:57.000Z	4629520		1	
rbo-relation-graph.tsv.gz	rbo	relation-graph.tsv.gz	2022-06-20T02:07:01.000Z	3216235	Radiation Biology Ontology		No Output
rbo.db.gz	rbo	db.gz	2025-02-05T06:37:34.000Z	38971276	Radiation Biology Ontology	1	No Output
rbo.owl	rbo	owl	2022-06-20T02:07:28.000Z	11108994	Radiation Biology Ontology		No Output
reacto.db.gz	reacto	db.gz	2025-02-05T06:37:49.000Z	74792946			
reactome-Homo-sapiens.db.gz	reactome	Homo-sapiens.db.gz	2024-05-26T16:01:47.000Z	228616167			
reactome-hs.db.gz	reactome	hs.db.gz	2025-02-01T21:51:12.000Z	172819909			
reactome-mm.db.gz	reactome	mm.db.gz	2025-02-01T21:51:28.000Z	101799558			
README.md	README	md	2021-05-25T02:37:23.000Z	21			
