unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0,CJM_Vote_safe_int,MAM vote_safe_int,MLS_vote_safe_int,NMW_vote_safe_int,SM_vote_safe_int,IAA_score,vote_sum
ENVO:00010483,environmental material,0.01377797463,False,False,False,False,True,0,0,502,61,0,0.0,0.0,0.05397269111,0.00113920741,0.0,,,-1,too general,-1,,,,-1,too broad,-3,0,-1,-1,0,-1,0.4,-3
ENVO:03000133,agricultural potting mixture,0.01289566237,False,False,False,False,True,0,0,0,0,44,0.0,0.0,0.0,0.0,0.05158264947,,,-1,too specific,-1,,,,-1,too specific,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00003869,straw,0.003868979363,False,False,False,False,True,0,0,96,276,0,0.0,0.0,0.01032147081,0.005154446644,0.0,,,-1,not soil,-1,not a soil,,,-1,is this considered soil?,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00001995,rock,0.001213299132,False,False,False,False,True,0,0,17,162,0,0.0,0.0,0.001827760456,0.003025436074,0.0,,,-1,not soil,-1,rock is not soil,,,-1, not soil?,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00002040,wood,0.001014064685,False,False,False,False,True,0,0,28,56,0,0.0,0.0,0.003010428986,0.001045829754,0.0,,,-1,not soil,-1,not soil,,,-1,not soil,-3,0,-1,-1,0,-1,0.4,-3
ENVO:01000301,estuarine water,0.0009863134197,False,False,False,False,True,0,0,36,4,0,0.0,0.0,0.003870551554,7.47e-05,0.0,,,-1,water,-1,water,,,-1,not soil,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00005758,alluvial swamp soil,0.0008073082296,False,False,False,False,True,1,0,1,0,0,0.003121717597,0.0,0.0001075153209,0.0,0.0,,,-1,too specific,-1,too specific,,,-1,"too specific, keep alluvial soil",-3,0,-1,-1,0,-1,0.4,-3
ENVO:00005759,alluvial paddy field soil,0.0008073082296,False,False,False,False,True,1,0,1,0,0,0.003121717597,0.0,0.0001075153209,0.0,0.0,,,-1,too specific,-1,too specific,,,-1,"too specific, keep alluvial soil",-3,0,-1,-1,0,-1,0.4,-3
ENVO:06105276,sandy clay loam,0.0007804293993,False,False,False,False,True,1,0,0,0,0,0.003121717597,0.0,0.0,0.0,0.0,,,-1,too specific,-1,this is soil texture,,,-1,too specific yet undefined,-3,0,-1,-1,0,-1,0.4,-3
ENVO:06105278,silty clay loam,0.0007804293993,False,False,False,False,True,1,0,0,0,0,0.003121717597,0.0,0.0,0.0,0.0,,,-1,too specific,-1,this is soil texture,,,-1,too specific yet undefined,-3,0,-1,-1,0,-1,0.4,-3
ENVO:01000349,root matter,0.0007794860768,False,False,False,False,True,0,0,29,0,0,0.0,0.0,0.003117944307,0.0,0.0,,,-1,not soil,-1,not soil,,,-1,seems too broad?,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00005797,lake bottom mud,0.0006578330915,False,False,False,False,True,0,0,21,20,0,0.0,0.0,0.00225782174,0.0003735106264,0.0,,,-1,water,-1,sediment?,,,-1,do we have lake bottom sediment? do we have lake bottom clay? seems like lake bottom should be covered in broad,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00002179,intertidal sediment,0.0005375766047,False,False,False,False,True,0,0,20,0,0,0.0,0.0,0.002150306419,0.0,0.0,,,-1,not soil,-1,sediment,,,-1,"should be in ""sediment"" package instead?",-3,0,-1,-1,0,-1,0.4,-3
ENVO:03000033,marine sediment,0.0001624074481,False,False,False,False,True,0,0,5,6,0,0.0,0.0,0.0005375766047,0.0001120531879,0.0,,,-1,water,-1,sediment,,,-1,should be in sediment package,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00002005,air,7e-05,False,False,False,False,True,0,0,0,15,0,0.0,0.0,0.0,0.0002801329698,0.0,,,-1,not soil,-1,not soil,,,-1,not soil,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00002266,chicken breeding waste material,2.69e-05,False,False,False,False,True,0,0,1,0,0,0.0,0.0,0.0001075153209,0.0,0.0,,,-1,not soil,-1,not soil,,,-1,can use biological waste material?,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00005753,urea enriched soil,2.69e-05,False,False,False,False,True,0,0,1,0,0,0.0,0.0,0.0001075153209,0.0,0.0,,,-1,use ENVO:382 enriched soil instead?,-1,urea enrichment seems like a treatment,,,-1,what other kinds of enrichments - endless - lets include the parent,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00005757,bacteria enriched soil,2.69e-05,False,False,False,False,True,0,0,1,0,0,0.0,0.0,0.0001075153209,0.0,0.0,,,-1,use ENVO:382 enriched soil instead?,-1,enriched seems like a treatment,,,-1,aren't they all -- what do we mean by enriched,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00005762,chloropicrin enriched soil,2.69e-05,False,False,False,False,True,0,0,1,0,0,0.0,0.0,0.0001075153209,0.0,0.0,,,-1,use ENVO:382 enriched soil instead?,-1,enriched seems like a treatment,,,-1,what other kinds of enrichments - lets use just enriched soil,-3,0,-1,-1,0,-1,0.4,-3
ENVO:00005775,salt contaminated soil,2.69e-05,False,False,False,False,True,0,0,1,0,0,0.0,0.0,0.0001075153209,0.0,0.0,,,-1,just use ENVO:2116 contaminated soil ?,-1,salinity,,,-1,what other contaminates are available in the ontology - use parent - we don't want specifics here if we aren't going to update them as the ontology changes,-3,0,-1,-1,0,-1,0.4,-3
