unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,is_aquatic_biome,is_terrestrial_biome,obsolete,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0
ENVO:00002044,sludge,0.0008170544952,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,175,0,0,0,0,0.003268217981,0,,,-1,NCBI_mims_soil_trusting_labels_count_only,-1,,,,0,,-2
ENVO:00002046,activated sludge,0.0000233,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,5,0,0,0,0,0.0000934,0,,,-1,too specific,-1,not soil,,,-1,too specific,-3
ENVO:00002116,contaminated soil,0.005847540568,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,171,268,0,0,0,0.01838511988,0.005005042393,0,,,1,,-1,"the fact that it's contaminated should be captured elsewhere, but I could be convinced",,,1,could be a good high level term so we can avoid all the kinds of contamination - however we should be really clear about what constitutes a contamination concentration and/or event. ,1
ENVO:00002127,stream sediment,0.00000467,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0.0000187,0,,,-1,too specific,-1,sediment,,,-1,is this for soil or sediment ,-3
ENVO:00002138,beach sand,0.006209968559,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,189,242,0,0,0,0.02032039566,0.004519478579,0,,,-1,too specific,1,,,,1,,1
ENVO:00002149,sea water,0.00000467,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0.0000187,0,,,-1,water,-1,water,,,-1,not soil,-3
ENVO:00002160,estuarine mud,0.006180689779,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,186,253,0,0,0,0.01999784969,0.004724909424,0,,,-1,use ENVO:5771 muddy soil,1,,,,-1,what other kinds of mud - lets just use mud,-1
ENVO:00002169,coal mine,0.001048274379,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,39,0,0,0,0,0.004193097516,0,0,,,0,,0,,,,0,,0
ENVO:00002170,compost,0.0008450677922,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,181,0,0,0,0,0.003380271169,0,,,-1,NCBI_mims_soil_trusting_labels_count_only,-1,not soil?,,,1,,-1
ENVO:00002179,intertidal sediment,0.0005375766047,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,20,0,0,0,0,0.002150306419,0,0,,,-1,not soil,-1,sediment,,,-1,"should be in ""sediment"" package instead?",-3
ENVO:00002229,arenosol,0.001769753172,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,21,91,0,0.003121717597,0,0.00225782174,0.00169947335,0,,,1,,-1,this is available in `fao_class`,,,1,,1
ENVO:00002230,anthrosol,0.0009381679646,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,5,5,0,0.003121717597,0,0.0005375766047,0.0000934,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,1,,1
ENVO:00002231,alisol,0.0007804293993,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0.003121717597,0,0,0,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,1,,1
ENVO:00002232,andosol,0.0008037738135,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,5,0,0.003121717597,0,0,0.0000934,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002233,albeluvisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,0,I think this is `local_class` but not sure,,,1,,2
ENVO:00002234,acrisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002235,cambisol,0.003387675932,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,97,0,0,0.003121717597,0,0.01042898613,0,0,,,1,,-1,this is available in `fao_class`,,,1,,1
ENVO:00002236,cryosol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,-1,don't use temperature as a differential,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,1,,-1
ENVO:00002237,chernozem,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002238,durisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,1,,1
ENVO:00002239,calcisol,0.0008704036557,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,3,2,0,0.003121717597,0,0.0003225459628,0.0000374,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,1,,1
ENVO:00002240,kastanozem,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002241,leptosol,0.001217428499,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,14,13,0,0.003121717597,0,0.001505214493,0.0002427819071,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,0,,0
ENVO:00002242,lixisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,1,,1
ENVO:00002243,histosol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002244,gleysol,0.0008388559426,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,2,1,0,0.003121717597,0,0.0002150306419,0.0000187,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002245,gypsisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002246,ferralsol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002247,nitisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,0,I think this is `local_class` but not sure,,,0,,1
ENVO:00002248,luvisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002249,phaeozem,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,"dark soil with a high base status, but without a secondary carbonates within one metre of the soil surface",-1,this is available in `fao_class` ,,,1,,1
ENVO:00002250,plinthosol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,1,,1
ENVO:00002251,planosol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002252,solonchak,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,0,,0
ENVO:00002253,umbrisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,0,,0
ENVO:00002254,vertisol,0.0008341870598,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,2,0,0,0.003121717597,0,0.0002150306419,0,0,,,1,,-1,this is available in `fao_class` ,,,0,,0
ENVO:00002255,solonetz,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,0,,0
ENVO:00002256,regosol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this term has been removed from FAO,,,1,,1
ENVO:00002257,podzol,0.0008388559426,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,2,1,0,0.003121717597,0,0.0002150306419,0.0000187,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002258,loam,0.002617235703,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,61,22,0,0.003121717597,0.0003779289494,0.006558434577,0.000410861689,0,,,1,,-1,this is soil texture; you can get that it's clay from `soil_text_measure` or `particle_class` depending on the extension,,,1,,1
ENVO:00002259,agricultural soil,0.04739773584,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,12,1105,1493,32,0.003121717597,0.002267573696,0.1188044296,0.02788256826,0.03751465416,,,1,,1,,,,1,,3
ENVO:00002260,dune soil,0.003646602405,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,91,90,0,0.003121717597,0,0.009783894205,0.001680797819,0,,,1,,1,,,,0,dune soil vs. beach sand vs. desert sand -- we should pick one/the parent,2
ENVO:00002261,forest soil,0.04707891685,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,22,1289,2273,0,0.003121717597,0.004157218443,0.1385872487,0.04244948269,0,,,1,,1,,,,1,,3
ENVO:00002262,clay soil,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,clay is captured in soil texture,,,1,,1
ENVO:00002263,garden soil,0.0008119771124,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,1,0,0.003121717597,0,0.0001075153209,0.0000187,0,,,1,,1,,,,-1,vs agricultural soil,1
ENVO:00002264,waste material,0.0000269,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,-1,not soil,-1,not soil,,,0,could use instead of biological waste material,-2
ENVO:00002265,obsolete agricultural waste,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002266,chicken breeding waste material,0.0000269,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,-1,not soil,-1,not soil,,,-1,can use biological waste material?,-3
ENVO:00002267,industrial waste material,0.0000269,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,-1,not soil,-1,not soil,,,1,,-1
ENVO:00002268,sphagnum bog,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002269,thermocline,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002270,chemocline,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002271,nuclear power plant,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002272,waste treatment plant,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002273,fluvisol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,this is available in `fao_class` ,,,1,,1
ENVO:00002274,stagnosol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,0,,0
ENVO:00002275,technosol,0.0008073082296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0.003121717597,0,0.0001075153209,0,0,,,1,,-1,"this is available in `fao_class` .. it isn't currently, but it's in the updated FAO class list",,,0,,0
ENVO:00002276,animal waste material,0.0000538,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,2,0,0,0,0,0.0002150306419,0,0,,,-1,not soil,-1,not soil,,,0,"could parent of agricultural waste, animal waste and biological waste be used to subsume all 3 categories?",-2
ENVO:00002277,back-arc basin,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002278,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002279,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002280,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002281,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002282,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002283,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002284,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002285,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002286,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002287,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002288,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
