Accession,ENA first public,ENA last update,ENA-CHECKLIST,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,alpha_shotgun_woltka_rar3450_richness,collection_timestamp,depth_sample,elevation,emp500_principal_investigator,emp500_study_id,emp500_title,empo_2,empo_3,broad-scale environmental context,local-scale environmental context,environmental package,environmental medium,geographic location,latitude,lcms_batch,longitude,physical_specimen_location,project name,sample name,sample type,sample_info_free_text,sampling method,study_sample_number,site description,alpha_shotgun_woltka_rar10k_richness,alpha_shotgun_woltka_faithspd,alpha_shotgun_woltka_richness,alpha_shotgun_woltka_shannon,barcode_prefix,empo_0,empo_1,gcms_analysis_batch,gcms_run_location,gcms_sample_name,gcms_sequence,host subject id,investigation type,lcms_extraction_protocol,lcms_position,lcms_replicate,lcms_sample_name_cmn,lcms_sample_name_fbmn,lcms_sample_type,lcms_sample_type_sub,original sample id,physical_specimen_remaining,read_count_shotgun_r1,read_count_shotgun_rep200,read_count_shotgun_woltka_uniq,sample_name_original,sample_name_plus_plate,songbird_train_empo_3,tier,alpha_shotgun_woltka_min3450_faithspd,alpha_shotgun_woltka_min3450_richness,alpha_shotgun_woltka_min3450_shannon,alpha_shotgun_woltka_rar3450_faithspd,alpha_shotgun_woltka_rar3450_shannon,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,scientific_name,alpha_shotgun_woltka_min10k_faithspd,alpha_shotgun_woltka_min10k_richness,alpha_shotgun_woltka_min10k_shannon,alpha_shotgun_woltka_rar10k_faithspd,alpha_shotgun_woltka_rar10k_shannon
SAMEA7723897,2020-12-17,2020-12-16,ERC000011,SAMEA7723897,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-16T00:39:59Z,public,qiita_sid_13114:13114.jensen.43.s010,204,7/5/12,700,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,mud,sediment,marine sediment,"Pacific Ocean:Northeast Pacific Ocean,San Diego coastal",32.81,7,-117.4509,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s010,sediment,Sediment core 2-3 cm,bulk,10,mud,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMEA7723421,2020-12-17,2020-12-15,ERC000011,SAMEA7723421,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-15T22:07:02Z,public,qiita_sid_13114:13114.jensen.43.s008,51,7/5/12,700,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,mud,sediment,marine sediment,"Pacific Ocean:Northeast Pacific Ocean,San Diego coastal",32.81,7,-117.4509,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s008,sediment,Sediment core 0-1 cm,bulk,8,mud,,38.8338977842359,90,1.69709328817539,jensen.43.s008,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s008_a03_M_106,106,MCO700-17.1,metagenome,Swabs_201901_UCSD,7F3,no,7F3_8_54_jensen-43-s008-a04,7F3_8_54_jensen-43-s008-a04.mzML,Sample,Swabs,Jensen43.MCO700.17.1,TRUE,1224977,4850,4565,Jensen43.MCO700.17.1,5.Jensen43.MCO700.17.1,Test,1,24.07201553,55,1.247741306,22.77725028,1.218090668,,,,,,,,
SAMEA7723422,2020-12-17,2020-12-15,ERC000011,SAMEA7723422,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-15T22:07:02Z,public,qiita_sid_13114:13114.jensen.43.s009,132,7/5/12,700,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,mud,sediment,marine sediment,"Pacific Ocean:Northeast Pacific Ocean,San Diego coastal",32.81,7,-117.4509,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s009,sediment,Sediment core 1-2 cm,bulk,9,mud,,103.808434688123,330,5.17606393083524,jensen.43.s009,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s009_a03_M_107,107,MCO700-17.2,metagenome,Swabs_201901_UCSD,7A10,no,7A10_8_9_jensen-43-s009-a04,7A10_8_9_jensen-43-s009-a04.mzML,Sample,Swabs,Jensen43.MCO700.17.2,TRUE,6555534,6003,8363,Jensen43.MCO700.17.2,2.Jensen43.MCO700.17.2,Train,1,43.99790294,141,3.796852998,41.90731076,3.76774429,,,,,,,,
SAMEA7723610,2020-12-17,2020-12-15,ERC000011,SAMEA7723610,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:04Z,2020-12-15T23:55:47Z,public,qiita_sid_13114:13114.jensen.43.s011,206,7/5/12,700,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,mud,sediment,marine sediment,"Pacific Ocean:Northeast Pacific Ocean,San Diego coastal",32.81,7,-117.4509,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s011,sediment,Sediment core 3-4 cm,bulk,11,mud,559,165.406598930745,627,4.9914637274637,jensen.43.s011,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s011_a03_M_109,109,MCO700-17.4,metagenome,Swabs_201901_UCSD,7F7,no,7F7_8_57_jensen-43-s011-a04,7F7_8_57_jensen-43-s011-a04.mzML,Sample,Swabs,Jensen43.MCO700.17.4,TRUE,13198921,9062,14216,Jensen43.MCO700.17.4,3.Jensen43.MCO700.17.4,Train,1,65.15024575,274,3.415521543,53.04617419,3.343000904,,,,165.312972990595,626,4.99016270624648,149.92472544793,4.97162969222035
SAMEA7723896,2020-12-17,2020-12-16,ERC000011,SAMEA7723896,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-16T00:39:59Z,public,qiita_sid_13114:13114.jensen.43.s007,208,7/8/12,300,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,mud,sediment,marine sediment,"Pacific Ocean:Northeast Pacific Ocean,San Diego coastal",32.81,7,-117.4681,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s007,sediment,Sediment core 1-2 cm,bulk,7,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMEA7723418,2020-12-17,2020-12-15,ERC000011,SAMEA7723418,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-15T22:07:01Z,public,qiita_sid_13114:13114.jensen.43.s004,,7/5/10,26,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,marine reef,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,The Bahamas",26.56389,2,-77.89056,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s004,sediment,Surface sediment,bulk,4,spur and groove,,111.090240650637,421,6.19784763724971,jensen.43.s004,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s004_a03_M_103,103,BA10-263,metagenome,Bulk_201901_UCSD,2B8,no,2B8_3_66_jensen-43-s004-a04,2B8_3_66_jensen-43-s004-a04.mzML,Sample,Bulk,Jensen43.BA10.263,TRUE,9512844,13295,4891,Jensen43.BA10.263,1.Jensen43.BA10.263,Test,1,,,,,,,,,,,,,
SAMEA7723895,2020-12-17,2020-12-16,ERC000011,SAMEA7723895,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-16T00:39:59Z,public,qiita_sid_13114:13114.jensen.43.s003,,7/4/10,16,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,marine reef,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,The Bahamas",26.52667,1,-77.8647,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s003,sediment,Surface sediment,bulk,3,spur and groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMEA7723426,2020-12-17,2020-12-15,ERC000011,SAMEA7723426,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-15T22:07:02Z,public,qiita_sid_13114:13114.jensen.43.s016,,3/8/11,16,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,sediment,sediment,marine sediment,"Pacific Ocean:Northwest Pacific Ocean,Northern Mariana Islands",14.98897,1,145.6018,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s016,sediment,Surface sediment,bulk,16,,,149.965770470219,675,7.25888474806055,jensen.43.s016,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s016_a03_M_113,113,NM11-377,metagenome,Bulk_201901_UCSD,1H12,no,1H12_3_31_jensen-43-s016-a04,1H12_3_31_jensen-43-s016-a04.mzML,Sample,Bulk,Jensen43.NM11.377,TRUE,10878763,19261,4808,Jensen43.NM11.377,2.Jensen43.NM11.377,Test,1,,,,,,,,,,,,,
SAMEA7723894,2020-12-17,2020-12-16,ERC000011,SAMEA7723894,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-16T00:39:59Z,public,qiita_sid_13114:13114.jensen.43.s002,60,6/9/10,15,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,sediment,sediment,marine sediment,"Atlantic Ocean:Northeast Atlantic Ocean,Azores",25.26693,2,-37.74444,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s002,sediment,Surface sediment,bulk,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMEA7723898,2020-12-17,2020-12-16,ERC000011,SAMEA7723898,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:05Z,2020-12-16T00:39:59Z,public,qiita_sid_13114:13114.jensen.43.s012,,7/2/12,15,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,marine subtidal rocky reef,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,Mexican Yucatan",21.02361,1,-86.77158,UCSD Knight Lab Freezer I and SIO Jensen Lab,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s012,sediment,Surface sediment,bulk,12,rocky reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
