content_value	emp500_usages	perfect_match	matched_label	matched_curie	is_obsolete	obsolete_label	obsolete_curie	replacement_curie	replacement_label	consider_replacements
urban biome	285	True	urban biome	ENVO:01000249	False					
anaerobic bioreactor	9	True	anaerobic bioreactor	ENVO:00002124	False					
anaerobic sludge	9	True	anaerobic sludge	ENVO:00002129	False					
Small lake biome	20	False			False					
pond bed	20	True	pond bed	ENVO:00000512	False					
lake sediment	27	True	lake sediment	ENVO:00000546	False					
marine salt marsh biome	40	True	marine salt marsh biome	ENVO:01000022	False					
marine benthic feature	125	False			True	obsolete marine benthic feature	ENVO:01000105			ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
marine sediment	38	True	marine sediment	ENVO:03000033	False					
marine biome	42	True	marine biome	ENVO:00000447	False					
host-associated habitat	133	False			False					
organic material	166	True	organic material	ENVO:01000155	False					
feces	184	True	feces	UBERON:0001988	False					
wood	2	True	wood	ENVO:00002040	False					
animal-associated habitat	84	False			True	obsolete animal-associated habitat	ENVO:00006776			
marine benthic biome	90	True	marine benthic biome	ENVO:01000024	False					
sediment	45	True	sediment	ENVO:00002007	False					
marine reef	5	True	marine reef	ENVO:01000143	False					
mangrove	1	False			False					
lagoon	1	True	lagoon	ENVO:00000038	False					
mud	5	True	mud	ENVO:01000001	False					
forest biome	21	True	forest biome	ENVO:01000174	False					
volcanic feature	21	True	volcanic feature	ENVO:00000094	False					
volcanic soil	21	True	volcanic soil	ENVO:01001841	False					
grassland biome	7	True	grassland biome	ENVO:01000177	False					
intermittent pond	7	False			False					
Small river biome	10	True	small river biome	ENVO:00000890	False					
tributary	10	True	tributary	ENVO:00000495	False					
stream sediment	10	True	stream sediment	ENVO:00002127	False					
bioreactor	17	True	bioreactor	ENVO:00002123	False					
biosolids	17	True	biosolids	ENVO:00002059	False					
temperate desert biome	4	True	temperate desert biome	ENVO:01000182	False					
desert sand	13	True	desert sand	ENVO:00005800	False					
soil	132	True	soil	ENVO:00001998	False					
temperate coniferous forest biome	22	True	temperate coniferous forest biome	ENVO:01000211	False					
forest soil	6	True	forest soil	ENVO:00002261	False					
temperate grassland biome	4	True	temperate grassland biome	ENVO:01000193	False					
grassland soil	4	True	grassland soil	ENVO:00005750	False					
sebum	3	True	sebum	UBERON:0001866	False					
dense settlement biome	22	True	dense settlement biome	ENVO:01000248	False					
animal manure	6	True	animal manure	ENVO:00003031	False					
tropical broadleaf forest biome	28	True	tropical broadleaf forest biome	ENVO:01000200	False					
insecta-associated habitat	28	False			True	obsolete insecta-associated habitat	ENVO:00009004			
tundra biome	15	True	tundra biome	ENVO:01000180	False					
