class	parent	mixins
MigsViBuiltEnvironment	BuiltEnvironment	MigsVi
MigsViFoodAnimalAndAnimalFeed	FoodAnimalAndAnimalFeed	MigsVi
MigsViFoodFarmEnvironment	FoodFarmEnvironment	MigsVi
MigsViFoodFoodProductionFacility	FoodFoodProductionFacility	MigsVi
MigsViFoodHumanFoods	FoodHumanFoods	MigsVi
MigsViHostAssociated	HostAssociated	MigsVi
MigsViHumanAssociated	HumanAssociated	MigsVi
MigsViHumanGut	HumanGut	MigsVi
MigsViHumanOral	HumanOral	MigsVi
MigsViHumanSkin	HumanSkin	MigsVi
MigsViHumanVaginal	HumanVaginal	MigsVi
MigsViHydrocarbonResourcesCores	HydrocarbonResourcesCores	MigsVi
MigsViHydrocarbonResourcesFluidsSwabs	HydrocarbonResourcesFluidsSwabs	MigsVi
MigsViMicrobialMatBiofilm	MicrobialMatBiofilm	MigsVi
MigsViMiscellaneousNaturalOrArtificialEnvironment	MiscellaneousNaturalOrArtificialEnvironment	MigsVi
MigsViPlantAssociated	PlantAssociated	MigsVi
MigsViSediment	Sediment	MigsVi
MigsViSoil	Soil	MigsVi
MigsViSymbiontAssociated	SymbiontAssociated	MigsVi
MigsViWastewaterSludge	WastewaterSludge	MigsVi
MigsViWater	Water	MigsVi
Mimag	Checklist	
MimagAgriculture	Agriculture	Mimag
MimagAir	Air	Mimag
MimagBuiltEnvironment	BuiltEnvironment	Mimag
MimagFoodAnimalAndAnimalFeed	FoodAnimalAndAnimalFeed	Mimag
MimagFoodFarmEnvironment	FoodFarmEnvironment	Mimag
MimagFoodFoodProductionFacility	FoodFoodProductionFacility	Mimag
MimagFoodHumanFoods	FoodHumanFoods	Mimag
MimagHostAssociated	HostAssociated	Mimag
MimagHumanAssociated	HumanAssociated	Mimag
MimagHumanGut	HumanGut	Mimag
MimagHumanOral	HumanOral	Mimag
MimagHumanSkin	HumanSkin	Mimag
MimagHumanVaginal	HumanVaginal	Mimag
MimagHydrocarbonResourcesCores	HydrocarbonResourcesCores	Mimag
MimagHydrocarbonResourcesFluidsSwabs	HydrocarbonResourcesFluidsSwabs	Mimag
MimagMicrobialMatBiofilm	MicrobialMatBiofilm	Mimag
