curie	claimed_prefix	label	envo_native	obsolete	EnvMediumSoilEnum_11_1	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	marine_biome	env_mat	soil	liquid water	water ice	snow	sediment	mass_of_environmental_material	human_construction	building	building_part	plant_structure	vegetation_layer	goldterms_mappings	nmdc_biosamples_count	ncbi_bioprojects_count
FOODON:03400187	FOODON	natural cheese (us cfr)	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001514	ENVO	congelation ice in a fresh water body	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:02000101	ENVO	fibrous dust	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000020	ENVO	lake	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True		64.0
ENVO:01001888	ENVO	calcic spring	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:00001008	FOODON	liver paste	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:00001037	FOODON	vacherin mont dor cheese food product	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001652	ENVO	atmospheric aerosol	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00003884	ENVO	farmyard manure	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:03400803	FOODON	seafood product (eurofir)	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001837	ENVO	subalpine biome	True	False	False	0	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:03400209	FOODON	fruit jelly (us cfr)	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002000	ENVO	slope	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		7.0
ENVO:01001821	ENVO	hydrothermally-influenced sediment	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False		5.0
ENVO:02000004	ENVO	nesting material	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:00001127	FOODON	cow milk cheese	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002289	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000365	ENVO	ice cave	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002038	ENVO	obsolete WWF biome	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
NCBITaxon:436486	NCBITaxon	Dinosauria	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001219	ENVO	ionizing stellar radiation	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000304	ENVO	shore	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		7.0
FOODON:00001074	FOODON	barley malt vinegar	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000009	ENVO	national geopolitical entity	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00003096	ENVO	tap water	True	False	False	0	0	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002055	ENVO	sandstone	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01001928	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:00002787	FOODON	vetch food product	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:03301467	FOODON	bean substance	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:00002156	FOODON	plant stem or spear vegetable food product	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
