id	insdc_biosample_identifiers	env_broad_scale_id	env_broad_scale_mongo_label	env_broad_scale_auth_label	env_local_scale_id	env_local_scale_mongo_label	env_local_scale_auth_label	env_medium_id	env_medium_mongo_label	env_medium_auth_label	env_package_has_raw_value	normalized_env_package	associated_studies	predicted_env_package
nmdc:bsm-11-2pab2r51		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000843	area of evergreen forest	area of evergreen forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2pdqgg53	biosample:SAMN11532917	ENVO:01000174		forest biome	ENVO:01001803		tropical forest	ENVO:00005778		tropical soil			nmdc:sty-11-076c9980	soil
nmdc:bsm-11-2pebmt85	biosample:SAMN18245179	ENVO:01000252	freshwater lake biome	freshwater lake biome	ENVO:00002131	epilimnion	epilimnion	ENVO:04000007	lake water	lake water			nmdc:sty-11-5bgrvr62	soil
nmdc:bsm-11-2pgc5f49		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000894	area of emergent herbaceous wetland	area of emergent herbaceous wetland	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2phkb281		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000893	area of woody wetland	area of woody wetland	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2prjdm84		ENVO:01000219	anthropogenic terrestrial biome 	anthropogenic terrestrial biome	ENVO:00000114	agricultural field 	agricultural field	ENVO:00002259	agricultural soil 	agricultural soil	soil	soil	nmdc:sty-11-28tm5d36	soil
nmdc:bsm-11-2q1z3648	biosample:SAMN07632068	ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01001785	land	land	ENVO:00001998	soil	soil			nmdc:sty-11-prtb4s28	soil
nmdc:bsm-11-2q2qmz79		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:00000011	garden	garden	ENVO:00005802	bulk soil	bulk soil			nmdc:sty-11-r2h77870	soil
nmdc:bsm-11-2q6szk18		ENVO:01000049	marine coral reef biome	marine coral reef biome	ENVO:01000155	organic material	organic material	ENVO:01000024	marine benthic biome	marine benthic biome			nmdc:sty-11-547rwq94	soil
nmdc:bsm-11-2qaqh504		ENVO:01000253		freshwater river biome	ENVO:00000022	river	river	ENVO:00002007	sediment	sediment		sediment	nmdc:sty-11-5tgfr349	sediment
nmdc:bsm-11-2qcn8345	biosample:SAMN37862687	ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000843	area of evergreen forest	area of evergreen forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2qfz9d13		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000816	area of deciduous forest	area of deciduous forest	ENVO:00001998	soil	soil	soil	soil	nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2qvytb70		ENVO:00000446		terrestrial biome	ENVO:01000887	area of sedge- and forb-dominated herbaceous vegetation	area of sedge- and forb-dominated herbaceous vegetation	ENVO:00001998	soil	soil			nmdc:sty-11-db67n062	soil
nmdc:bsm-11-2qygzq44		ENVO:01000253	freshwater river biome	freshwater river biome	ENVO:00000022	river	river	ENVO:00002042	surface water	surface water			nmdc:sty-11-5tgfr349	sediment
nmdc:bsm-11-2r3fr053		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000816	area of deciduous forest	area of deciduous forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2rhzdz53		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000843	area of evergreen forest	area of evergreen forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2rkxne59		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000816	area of deciduous forest	area of deciduous forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2rna7h21		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000892	area of cropland	area of cropland	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2rqwfh34		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000816	area of deciduous forest	area of deciduous forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2rtk4045		ENVO:01000177	grassland biome	grassland biome	ENVO:00000546	lake sediment	lake sediment	ENVO:00000389	intermittent wetland	intermittent wetland			nmdc:sty-11-547rwq94	soil
nmdc:bsm-11-2rtvmd84		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000843	area of evergreen forest	area of evergreen forest	ENVO:00001998	soil	soil	soil	soil	nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2rx2v171		ENVO:00000446		terrestrial biome	ENVO:01000861		area of dwarf scrub	ENVO:00001998	soil	soil			nmdc:sty-11-db67n062	soil
nmdc:bsm-11-2sbnqj22		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000843	area of evergreen forest	area of evergreen forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2sjea508		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000892	area of cropland	area of cropland	ENVO:00001998	soil	soil	soil	soil	nmdc:sty-11-34xj1150	soil
