study_id	applied_roles	person.name	person.orcid
nmdc:sty-11-dcqce727	Investigation|Writing review and editing	Shi Wang	orcid:0000-0002-2408-2544
nmdc:sty-11-dcqce727	Conceptualization|Funding acquisition|Investigation|Principal Investigator|Supervision|Writing original draft	Eoin Brodie	orcid:0000-0002-8453-8435
nmdc:sty-11-dcqce727	Formal Analysis|Investigation|Writing review and editing	Rosalie Chu	orcid:0000-0001-7428-7647
nmdc:sty-11-dcqce727	Investigation|Project administration|Writing review and editing	Emiley Eloe-Fadrosh	orcid:0000-0002-8162-1276
nmdc:sty-11-dcqce727	Formal Analysis|Investigation|Writing review and editing	David Hoyt	orcid:0000-0002-2857-719X
nmdc:sty-11-dcqce727	Formal Analysis|Funding acquisition|Methodology|Writing review and editing	Ulas Karaoz	orcid:0000-0002-8238-6757
nmdc:sty-11-dcqce727	Formal Analysis|Funding acquisition|Writing original draft	Patrick Sorensen	orcid:0000-0002-0558-2789
nmdc:sty-11-dcqce727	Project administration	Tijana Glavina del Rio	orcid:0000-0003-1411-9814
nmdc:sty-11-dcqce727	Formal Analysis|Investigation|Writing review and editing	Malak Tfaily	orcid:0000-0002-3036-2833
nmdc:sty-11-dwsv7q78	Formal Analysis|Visualization|Writing original draft|Writing review and editing	Emily N. Boak	
nmdc:sty-11-dwsv7q78	Data curation|Formal Analysis|Software|Writing review and editing	Benjamin P. Bowen	
nmdc:sty-11-dwsv7q78	Data curation|Methodology|Validation|Writing review and editing	Katherine B. Louie	
nmdc:sty-11-dwsv7q78	Methodology|Resources|Supervision|Writing review and editing	Trent R. Northen	
nmdc:sty-11-e4yb9z58	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Principal Investigator|Project administration|Resources|Software|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Adina Howe	0000-0002-7705-343X
nmdc:sty-11-ev70y104	Conceptualization|Data curation|Formal Analysis|Investigation|Methodology|Submitter|Validation|Writing original draft|Writing review and editing	Vlastimil Novak	0000-0001-7890-4593
nmdc:sty-11-ev70y104	Methodology|Writing review and editing	Dor Russ	0000-0003-4372-7958
nmdc:sty-11-ev70y104	Formal Analysis|Investigation|Visualization|Writing review and editing	Romy Chakraborty	0000-0001-9326-554X
nmdc:sty-11-ev70y104	Conceptualization|Formal Analysis|Investigation|Methodology|Writing original draft|Writing review and editing	Peter F. Andeer	0000-0002-3554-2008
nmdc:sty-11-ev70y104	Conceptualization|Formal Analysis|Investigation|Methodology|Writing review and editing	Eoghan King	0000-0001-9495-8858
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Jacob Calabria	0009-0003-8735-2470
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Connor Fitzpatrick	0000-0002-7100-9542
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Jana M Kelm	0000-0003-4720-1806
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Kathrin Wippel	0000-0001-5901-3381
nmdc:sty-11-ev70y104	Investigation|Methodology|Validation|Writing review and editing	Suzanne Kosina	0000-0003-2885-1248
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Chris Daum	0000-0003-3895-5892
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Matt Zane	
nmdc:sty-11-ev70y104	Formal Analysis|Visualization|Writing review and editing	Archana Yadav	
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Mingfei Chen	0000-0002-6281-2480
nmdc:sty-11-ev70y104	Resources|Writing review and editing	Catharine A. Adams	0000-0002-0914-0806
nmdc:sty-11-ev70y104	Investigation|Writing original draft	Trenton Owens	0000-0002-0574-9614
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Bradie Lee	
nmdc:sty-11-ev70y104	Investigation|Writing review and editing	Yezhang Ding	0000-0001-5903-1870
nmdc:sty-11-ev70y104	Formal Analysis|Writing review and editing	Zineb Sordo	0009-0008-3528-5874
nmdc:sty-11-ev70y104	Formal Analysis|Writing review and editing	Simon Roux	0000-0002-5831-5895
nmdc:sty-11-ev70y104	Formal Analysis|Writing review and editing	Adam Deutschbauer	0000-0003-2728-7622
nmdc:sty-11-ev70y104	Formal Analysis|Writing review and editing	Daniela Ushizima	0000-0002-7363-9468
nmdc:sty-11-ev70y104	Conceptualization|Methodology|Writing review and editing	Karsten Zengler	0000-0002-8062-3296
nmdc:sty-11-ev70y104	Supervision|Writing review and editing	Borjana Arsova	0000-0002-0566-2009
nmdc:sty-11-ev70y104	Supervision|Writing review and editing	Jeffery Dangl	0000-0003-3199-8654
nmdc:sty-11-ev70y104	Supervision|Writing review and editing	Paul Schulze-Lefert	0000-0002-8978-1717
nmdc:sty-11-ev70y104	Supervision|Writing review and editing	Michelle Watt	0000-0001-7843-0957
nmdc:sty-11-ev70y104	Conceptualization|Funding acquisition|Investigation|Methodology|Project administration|Resources|Supervision|Writing review and editing	John Vogel	0000-0003-1786-2689
nmdc:sty-11-ev70y104	Conceptualization|Funding acquisition|Methodology|Principal Investigator|Project administration|Resources|Supervision|Writing original draft|Writing review and editing	Trent Northen	0000-0001-8404-3259
nmdc:sty-11-f1he1955	Conceptualization|Funding acquisition|Principal Investigator|Project administration|Supervision	Mitch Doktycz	orcid:0000-0003-4856-8343
nmdc:sty-11-f1he1955	Conceptualization|Investigation|Project administration|Supervision	Dale Pelletier	orcid:0000-0002-4321-7918
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Kuntal De	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Omar Demerdash	orcid:0000-0001-6846-1506
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Nancy Engle	orcid:0000-0003-0290-7987
nmdc:sty-11-f1he1955	Conceptualization|Investigation	E. Peter Greenberg	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Caroline Harwood	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Robert Hettich	orcid:0000-0001-7708-786X
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Dan Jacobson	orcid:0000-0002-9822-8251
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Sara Jawdy	orcid:0000-0002-8123-5439
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Udaya Kalluri	orcid:0000-0002-5963-8370
nmdc:sty-11-f1he1955	Conceptualization|Investigation|Project administration|Supervision	Timothy Tschaplinski	orcid:0000-0002-9540-6622
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Mac McLennan	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Jennifer Morrell-Falvey	orcid:0000-0002-9362-7528
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Mircea Podar	orcid:0000-0003-2776-0205
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Priya Ranjan	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Scott Retterer	orcid:0000-0001-8534-1979
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Brian Sanders	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Christopher Schadt	orcid:0000-0001-8759-2448
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Amy Schaefer	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Claire Veneault-Fourrey	
nmdc:sty-11-f1he1955	Conceptualization|Investigation|Project administration|Supervision	Amy Kelley	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Rytas Vilgalys	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Amber Webb	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Xiaohan Yang	orcid:0000-0001-5207-4210
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Tao Yao	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Larry York	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Dave Weston	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Erica Teixeira Prates	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Tomás Rush	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Wellington Muchero	orcid:0000-0002-0200-9856
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Paul E. Abraham	orcid:0000-0003-2685-9123
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Stanton Martin	orcid:0000-0001-9246-8193
nmdc:sty-11-f1he1955	Conceptualization|Investigation	JunHyung (Jun) Lee	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Jack Cahill	orcid:0000-0002-9866-4010
nmdc:sty-11-f1he1955	Conceptualization|Investigation	John Lagergren	orcid:0000-0002-8092-7433
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Leah Burdick	
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Alyssa Carrell	orcid:0000-0003-1142-4709
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Jay Chen	orcid:0000-0002-1752-4201
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Hari Chhetri	orcid:0000-0001-6820-8789
nmdc:sty-11-f1he1955	Conceptualization|Investigation	Melissa Cregger	orcid:0000-0001-8329-366X
nmdc:sty-11-ggfd7z76	Supervision	Jay Keasling	
nmdc:sty-11-ggfd7z76	Supervision	Justin Heady	
nmdc:sty-11-ggfd7z76	Supervision	Blake Simmons	
nmdc:sty-11-ggfd7z76	Supervision	Corinne Scown	
nmdc:sty-11-ggfd7z76	Supervision	Henrik Vibe Scheller	
nmdc:sty-11-ggfd7z76	Supervision	Aindrila Mukhopadhyay	
nmdc:sty-11-ggfd7z76	Supervision	Paul Adams	
nmdc:sty-11-hdd4bf83	Data curation	Andrew Tritt	0000-0002-1617-449X
nmdc:sty-11-hdd4bf83	Formal Analysis	Connor Tiffany	0000-0001-8188-7720
nmdc:sty-11-hdd4bf83	Formal Analysis|Investigation	Hannah Pritkin Savage	"	0000-0002-1057-7239"
nmdc:sty-11-hdd4bf83	Investigation	Krystle Lynn Reagan	0000-0003-3426-6352
nmdc:sty-11-hht5sb92	Data curation|Methodology	Hugh Cross	orcid:0000-0002-6745-9479
nmdc:sty-11-hht5sb92	Principal Investigator	Kate Thibault	orcid:0000-0003-3477-6424
nmdc:sty-11-hht5sb92	Data curation|Methodology	Stephanie Parker	0000-0002-7180-7245
nmdc:sty-11-kjs8av65	Supervision	Vanessa Bailey	
nmdc:sty-11-kjs8av65	Supervision	Pat Megonigal	
nmdc:sty-11-kjs8av65	Supervision	Mike Weintraub	
nmdc:sty-11-kjs8av65	Supervision	Peter Thornton	
nmdc:sty-11-kjs8av65	Supervision	Ben Bond-Lamberty	
nmdc:sty-11-kjs8av65	Supervision	Sandy Carrasco	
nmdc:sty-11-kjs8av65	Supervision	Xingyuan Chen	
nmdc:sty-11-kjs8av65	Supervision	Ken Kemner	
nmdc:sty-11-kjs8av65	Supervision	Teri O'Meara	
nmdc:sty-11-kjs8av65	Supervision	Nick Ward	
nmdc:sty-11-kjs8av65	Supervision	Alli Lewis	
nmdc:sty-11-kjs8av65	Supervision	Kurt Maier	
nmdc:sty-11-msexsy29	Conceptualization|Funding acquisition|Principal Investigator|Project administration|Supervision	Jennifer Pett-Ridge	orcid:0000-0002-4439-2398
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Steven Blazewicz	orcid:0000-0001-7517-1750
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Stephanie Malfatti	orcid:0000-0003-4225-9857
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Mary K. Firestone	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Jill Banfield	orcid:0000-0001-8203-8771
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Rohan Sachdeva	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Bruce Hungate	orcid:0000-0002-7337-1887
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Paul Dijkstra	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Christina Schaedel	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Eoin Brodie	orcid:0000-0002-8453-8435
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Jinyun Tang	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Matthew Sullivan	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Mavrik Zavarin	orcid:0000-0002-2426-6706
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Peter S. Nico	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Ljiljana Pasa-Tolic	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Egbert Schwartz	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Karis Mcfarlane	orcid:0000-0001-6390-7863
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Peter Weber	
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Yongqin Jiao	orcid:0000-0002-6798-5823
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Rhona Stuart	orcid:0000-0001-5916-9693
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Erin Nuccio	orcid:0000-0003-0189-183X
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Jeffrey Kimbrel	orcid:0000-0001-7213-9392
nmdc:sty-11-msexsy29	Conceptualization|Investigation	Keith Morrison	orcid:0000-0001-9927-2636
nmdc:sty-11-nxrz9m96	Data curation|Methodology	Hugh Cross	orcid:0000-0002-6745-9479
nmdc:sty-11-nxrz9m96	Data curation|Methodology	Samantha Weintraub-Leff	orcid:0000-0003-4789-5086
nmdc:sty-11-nxrz9m96	Principal Investigator	Kate Thibault	orcid:0000-0003-3477-6424
nmdc:sty-11-nxrz9m96	Data curation|Methodology	Stephanie Parker	0000-0002-7180-7245
nmdc:sty-11-pzmd0x14	Data curation|Methodology	Hugh Cross	orcid:0000-0002-6745-9479
nmdc:sty-11-pzmd0x14	Principal Investigator	Kate Thibault	orcid:0000-0003-3477-6424
nmdc:sty-11-pzmd0x14	Data curation|Methodology	Stephanie Parker	0000-0002-7180-7245
nmdc:sty-11-r2h77870	Conceptualization|Principal Investigator	Mitchel J. Doktycz	orcid:0000-0003-4856-8343
nmdc:sty-11-r2h77870	Formal Analysis	Joseph C. Ellis	orcid:0000-0002-2510-977X
nmdc:sty-11-r2h77870	Conceptualization|Formal Analysis|Funding acquisition|Investigation|Methodology|Supervision|Writing original draft|Writing review and editing	Daniel Jacobson	orcid:0000-0002-9822-8251
nmdc:sty-11-r2h77870	Conceptualization|Data curation|Software|Visualization|Writing original draft|Writing review and editing	Stanton Martin	orcid:0000-0001-9246-8193
nmdc:sty-11-r2h77870	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Melanie Mayes	orcid:0000-0001-6368-9210
nmdc:sty-11-r2h77870	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Julie Mitchell	orcid:0000-0002-5031-7343
nmdc:sty-11-r2h77870	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Wellington Muchero	orcid:0000-0002-0200-9856
nmdc:sty-11-r2h77870	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Christopher Schadt	orcid:0000-0001-8759-2448
nmdc:sty-11-r2h77870	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	David Weston	orcid:0000-0002-4794-9913
nmdc:sty-11-srtxhh77	Supervision	John Bargar	
nmdc:sty-11-srtxhh77	Supervision	Emily Graham	
nmdc:sty-11-srtxhh77	Supervision	Odeta Qafoku	
nmdc:sty-11-srtxhh77	Supervision	Yuri Corilo	
nmdc:sty-11-srtxhh77	Supervision	Sarah Leichty	
nmdc:sty-11-srtxhh77	Supervision	Tanja Woyke	
nmdc:sty-11-srtxhh77	Supervision	Christa Pennacchio	
nmdc:sty-11-x4aawf73	Conceptualization|Funding acquisition|Principal Investigator|Project administration|Supervision	Timothy Scheibe	orcid:0000-0002-8864-5772
nmdc:sty-11-x4aawf73	Conceptualization|Funding acquisition|Principal Investigator|Project administration|Supervision	Xingyuan Chen	
nmdc:sty-11-x4aawf73	Conceptualization|Funding acquisition|Principal Investigator|Project administration|Supervision	James C. Stegen	orcid:0000-0001-9135-7424
nmdc:sty-11-x4aawf73	Conceptualization|Investigation	Gautam Bisht	orcid:0000-0001-6641-7595
nmdc:sty-11-x4aawf73	Conceptualization|Investigation	Yilin Fang	orcid:0000-0003-1969-9889
nmdc:sty-11-x4aawf73	Conceptualization|Investigation	Amy Goldman	orcid:0000-0003-0490-6451
nmdc:sty-11-x4aawf73	Conceptualization|Investigation	Jason Hou	
nmdc:sty-11-x4aawf73	Conceptualization|Investigation	Allison Myers-Pigg	
nmdc:sty-11-x4aawf73	Conceptualization|Investigation	Kyongho Son	orcid:0000-0003-0288-6522
nmdc:sty-11-x4aawf73	Conceptualization|Investigation	Jianqiu Zheng	orcid:0000-0002-1609-9004
nmdc:sty-11-xcbexm97	Conceptualization|Data curation|Funding acquisition|Principal Investigator|Project administration|Supervision|Writing review and editing	Amy Goldman	orcid:0000-0003-0490-6451
nmdc:sty-11-xcbexm97	Conceptualization|Funding acquisition|Principal Investigator|Project administration|Supervision|Writing review and editing	James C. Stegen	orcid:0000-0001-9135-7424
nmdc:sty-11-xcbexm97	Data curation|Investigation|Methodology	Lupita Renteria	
nmdc:sty-11-xcbexm97	Data curation|Formal Analysis|Investigation|Software|Visualization|Writing original draft|Writing review and editing	Josué Rodríquez-Ramos	
nmdc:sty-11-xcbexm97	Conceptualization|Funding acquisition|Project administration|Supervision|Writing review and editing	Timothy Scheibe	
nmdc:sty-11-xcbexm97	Data curation|Formal Analysis|Investigation|Methodology|Visualization	Dillman Delgado	0000-0001-6652-6775
nmdc:sty-11-xcbexm97	Data curation|Formal Analysis|Project administration|Visualization	Brieanne Forbes	0000-0001-9240-9687
nmdc:sty-11-xcbexm97	Conceptualization|Data curation|Formal Analysis|Methodology|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Vanessa Garayburu-Caruso	
nmdc:sty-11-xcbexm97	Data curation|Formal Analysis|Investigation|Methodology|Visualization	Maggi Laan	0000-0002-0256-3822
nmdc:sty-11-xcbexm97	Data curation|Investigation|Methodology	Sophia McKever	0000-0003-2870-7713
nmdc:sty-11-xcbexm97	Conceptualization|Funding acquisition	Allison Myers-Pigg	0000-0002-6905-6841
nmdc:sty-11-xcbexm97	Conceptualization|Funding acquisition|Project administration|Software|Supervision|Writing review and editing	Kelly Wrighton	orcid:0000-0003-0434-4217
nmdc:sty-11-xcbexm97	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Software|Visualization|Writing original draft|Writing review and editing	Kayla Borton	
nmdc:sty-11-xcbexm97	Conceptualization|Funding acquisition	Xingyuan Chen	
nmdc:sty-11-xcbexm97	Data curation|Investigation|Methodology	Rosey Chu	orcid:0000-0001-7428-7647
nmdc:sty-11-xcbexm97	Conceptualization|Formal Analysis|Investigation|Methodology|Visualization|Writing original draft|Writing review and editing	Bob Danczak	
nmdc:sty-11-y1kdd163	Supervision	Timothy Donohue	
nmdc:sty-11-y1kdd163	Supervision	Yiying Xiong	
nmdc:sty-11-y1kdd163	Supervision	Kurt Thelen	
nmdc:sty-11-y1kdd163	Supervision	Federica Brandizzi	
nmdc:sty-11-y1kdd163	Supervision	Robert Landick	
nmdc:sty-11-y1kdd163	Supervision	Christos Maravelias	
nmdc:sty-11-y1kdd163	Supervision	Daniel Noguera	
nmdc:sty-11-y1kdd163	Supervision	G Philip Robertson	
nmdc:sty-11-y1kdd163	Supervision	Donna Bates	
nmdc:sty-11-y1kdd163	Supervision	Eva Ziegelhoffer	
nmdc:sty-11-y1kdd163	Supervision	Sarynna Lopez Meza	
nmdc:sty-11-y1kdd163	Supervision	Anne-Sophie Bohrer	
nmdc:sty-11-y1kdd163	Supervision	Christine Preston	
nmdc:sty-11-y1kdd163	Supervision	Dirk Norman	
nmdc:sty-11-y1kdd163	Supervision	Millicent Sanciangco	
nmdc:sty-11-zs2syx06	Conceptualization|Data curation|Formal Analysis|Methodology|Writing original draft	Spencer Diamond	orcid:0000-0003-4131-341X
nmdc:sty-11-zs2syx06	Data curation|Methodology|Writing review and editing	Karthik Anantharaman	orcid:0000-0002-9584-2491
nmdc:sty-11-zs2syx06	Conceptualization|Data curation|Formal Analysis|Methodology|Writing original draft	Peter F. Andeer	
nmdc:sty-11-zs2syx06	Data curation|Formal Analysis|Writing review and editing	Zhou Li	
nmdc:sty-11-zs2syx06	Data curation|Formal Analysis|Methodology|Software|Visualization|Writing original draft	Alexander Crits-Christoph	
nmdc:sty-11-zs2syx06	Conceptualization|Data curation|Writing review and editing	David Burstein	
nmdc:sty-11-zs2syx06	Data curation|Resources	Katherine R. Lane	
nmdc:sty-11-zs2syx06	Conceptualization|Data curation|Formal Analysis|Methodology|Software	Brian C. Thomas	
nmdc:sty-11-zs2syx06	Formal Analysis|Funding acquisition|Principal Investigator|Project administration|Supervision|Writing review and editing	Chongle Pan	orcid:0000-0003-2860-0334
nmdc:sty-11-zs2syx06	Conceptualization|Funding acquisition|Principal Investigator|Project administration|Supervision|Writing review and editing	Trent R. Northen	orcid:0000-0001-8404-3259
