accession	db	is_primary	content
SAMEA7723697	SRA		ERS5471075
SAMEA7723698	BioSample	1	SAMEA7723698
SAMEA7723698	SRA		ERS5471076
SAMEA7723699	BioSample	1	SAMEA7723699
SAMEA7723699	SRA		ERS5471077
SAMEA7723700	BioSample	1	SAMEA7723700
SAMEA7723700	SRA		ERS5471078
SAMEA7723701	BioSample	1	SAMEA7723701
SAMEA7723701	SRA		ERS5471079
SAMEA7723702	BioSample	1	SAMEA7723702
SAMEA7723702	SRA		ERS5471080
SAMEA7723703	BioSample	1	SAMEA7723703
SAMEA7723703	SRA		ERS5471081
SAMEA7723704	BioSample	1	SAMEA7723704
SAMEA7723704	SRA		ERS5471082
SAMEA7723705	BioSample	1	SAMEA7723705
SAMEA7723705	SRA		ERS5471083
SAMEA7723706	BioSample	1	SAMEA7723706
SAMEA7723706	SRA		ERS5471084
SAMEA7723707	BioSample	1	SAMEA7723707
SAMEA7723707	SRA		ERS5471085
SAMEA7723708	BioSample	1	SAMEA7723708
SAMEA7723708	SRA		ERS5471086
SAMEA7723709	BioSample	1	SAMEA7723709
SAMEA7723709	SRA		ERS5471087
SAMEA7723710	BioSample	1	SAMEA7723710
SAMEA7723710	SRA		ERS5471088
SAMEA7723711	BioSample	1	SAMEA7723711
SAMEA7723711	SRA		ERS5471089
SAMEA7723712	BioSample	1	SAMEA7723712
SAMEA7723712	SRA		ERS5471090
SAMEA7723713	BioSample	1	SAMEA7723713
SAMEA7723713	SRA		ERS5471091
SAMEA7723714	BioSample	1	SAMEA7723714
SAMEA7723714	SRA		ERS5471092
SAMEA7723715	BioSample	1	SAMEA7723715
SAMEA7723715	SRA		ERS5471093
SAMEA7723716	BioSample	1	SAMEA7723716
SAMEA7723716	SRA		ERS5471094
SAMEA7723717	BioSample	1	SAMEA7723717
SAMEA7723717	SRA		ERS5471095
SAMEA7723718	BioSample	1	SAMEA7723718
SAMEA7723718	SRA		ERS5471096
SAMEA7723719	BioSample	1	SAMEA7723719
SAMEA7723719	SRA		ERS5471097
SAMEA7723720	BioSample	1	SAMEA7723720
SAMEA7723720	SRA		ERS5471098
SAMEA7723721	BioSample	1	SAMEA7723721
SAMEA7723721	SRA		ERS5471099
SAMEA7723722	BioSample	1	SAMEA7723722
SAMEA7723722	SRA		ERS5471100
SAMEA7723723	BioSample	1	SAMEA7723723
SAMEA7723723	SRA		ERS5471101
SAMEA7723724	BioSample	1	SAMEA7723724
SAMEA7723724	SRA		ERS5471102
SAMEA7723725	BioSample	1	SAMEA7723725
SAMEA7723725	SRA		ERS5471103
SAMEA7723726	BioSample	1	SAMEA7723726
SAMEA7723726	SRA		ERS5471104
SAMEA7723727	BioSample	1	SAMEA7723727
SAMEA7723727	SRA		ERS5471105
SAMEA7723728	BioSample	1	SAMEA7723728
SAMEA7723728	SRA		ERS5471106
SAMEA7723729	BioSample	1	SAMEA7723729
SAMEA7723729	SRA		ERS5471107
SAMEA7723730	BioSample	1	SAMEA7723730
SAMEA7723730	SRA		ERS5471108
SAMEA7723731	BioSample	1	SAMEA7723731
SAMEA7723731	SRA		ERS5471109
SAMEA7723732	BioSample	1	SAMEA7723732
SAMEA7723732	SRA		ERS5471110
SAMEA7723733	BioSample	1	SAMEA7723733
SAMEA7723733	SRA		ERS5471111
SAMEA7723734	BioSample	1	SAMEA7723734
SAMEA7723734	SRA		ERS5471112
SAMEA7723735	BioSample	1	SAMEA7723735
SAMEA7723735	SRA		ERS5471113
SAMEA7723736	BioSample	1	SAMEA7723736
SAMEA7723736	SRA		ERS5471114
SAMEA7723737	BioSample	1	SAMEA7723737
SAMEA7723737	SRA		ERS5471115
SAMEA7723738	BioSample	1	SAMEA7723738
SAMEA7723738	SRA		ERS5471116
SAMEA7723739	BioSample	1	SAMEA7723739
SAMEA7723739	SRA		ERS5471117
SAMEA7723740	BioSample	1	SAMEA7723740
SAMEA7723740	SRA		ERS5471118
SAMEA7723741	BioSample	1	SAMEA7723741
SAMEA7723741	SRA		ERS5471119
SAMEA7723742	BioSample	1	SAMEA7723742
SAMEA7723742	SRA		ERS5471120
SAMEA7723743	BioSample	1	SAMEA7723743
SAMEA7723743	SRA		ERS5471121
SAMEA7723792	BioSample	1	SAMEA7723792
SAMEA7723792	SRA		ERS5471170
SAMEA7723793	BioSample	1	SAMEA7723793
SAMEA7723793	SRA		ERS5471171
SAMEA7723794	BioSample	1	SAMEA7723794
SAMEA7723794	SRA		ERS5471172
SAMEA7723795	BioSample	1	SAMEA7723795
SAMEA7723795	SRA		ERS5471173
SAMEA7723796	BioSample	1	SAMEA7723796
SAMEA7723796	SRA		ERS5471174
SAMEA7723797	BioSample	1	SAMEA7723797
SAMEA7723797	SRA		ERS5471175
SAMEA7723798	BioSample	1	SAMEA7723798
SAMEA7723798	SRA		ERS5471176
SAMEA7723799	BioSample	1	SAMEA7723799
SAMEA7723799	SRA		ERS5471177
SAMEA7723800	BioSample	1	SAMEA7723800
SAMEA7723800	SRA		ERS5471178
SAMEA7723801	BioSample	1	SAMEA7723801
SAMEA7723801	SRA		ERS5471179
SAMEA7723802	BioSample	1	SAMEA7723802
SAMEA7723802	SRA		ERS5471180
SAMEA7723803	BioSample	1	SAMEA7723803
SAMEA7723803	SRA		ERS5471181
SAMEA7723804	BioSample	1	SAMEA7723804
SAMEA7723804	SRA		ERS5471182
SAMEA7723805	BioSample	1	SAMEA7723805
SAMEA7723805	SRA		ERS5471183
SAMEA7723806	BioSample	1	SAMEA7723806
SAMEA7723806	SRA		ERS5471184
SAMEA7723807	BioSample	1	SAMEA7723807
SAMEA7723807	SRA		ERS5471185
SAMEA7723808	BioSample	1	SAMEA7723808
SAMEA7723808	SRA		ERS5471186
SAMEA7723809	BioSample	1	SAMEA7723809
SAMEA7723809	SRA		ERS5471187
SAMEA7723810	BioSample	1	SAMEA7723810
SAMEA7723810	SRA		ERS5471188
SAMEA7723811	BioSample	1	SAMEA7723811
SAMEA7723811	SRA		ERS5471189
SAMEA7723812	BioSample	1	SAMEA7723812
SAMEA7723812	SRA		ERS5471190
SAMEA7723813	BioSample	1	SAMEA7723813
SAMEA7723813	SRA		ERS5471191
SAMEA7723814	BioSample	1	SAMEA7723814
SAMEA7723814	SRA		ERS5471192
SAMEA7723815	BioSample	1	SAMEA7723815
SAMEA7723815	SRA		ERS5471193
SAMEA7723816	BioSample	1	SAMEA7723816
SAMEA7723816	SRA		ERS5471194
SAMEA7723817	BioSample	1	SAMEA7723817
SAMEA7723817	SRA		ERS5471195
SAMEA7723818	BioSample	1	SAMEA7723818
SAMEA7723818	SRA		ERS5471196
SAMEA7723819	BioSample	1	SAMEA7723819
SAMEA7723819	SRA		ERS5471197
SAMEA7723820	BioSample	1	SAMEA7723820
SAMEA7723820	SRA		ERS5471198
SAMEA7723821	BioSample	1	SAMEA7723821
SAMEA7723821	SRA		ERS5471199
SAMEA7723822	BioSample	1	SAMEA7723822
SAMEA7723822	SRA		ERS5471200
SAMEA7723823	BioSample	1	SAMEA7723823
SAMEA7723823	SRA		ERS5471201
SAMEA7723824	BioSample	1	SAMEA7723824
SAMEA7723824	SRA		ERS5471202
SAMEA7723825	BioSample	1	SAMEA7723825
SAMEA7723825	SRA		ERS5471203
SAMEA7723826	BioSample	1	SAMEA7723826
SAMEA7723826	SRA		ERS5471204
SAMEA7723827	BioSample	1	SAMEA7723827
SAMEA7723827	SRA		ERS5471205
SAMEA7723828	BioSample	1	SAMEA7723828
SAMEA7723828	SRA		ERS5471206
SAMEA7723829	BioSample	1	SAMEA7723829
SAMEA7723829	SRA		ERS5471207
SAMEA7723830	BioSample	1	SAMEA7723830
SAMEA7723830	SRA		ERS5471208
SAMEA7723831	BioSample	1	SAMEA7723831
SAMEA7723831	SRA		ERS5471209
SAMEA7723832	BioSample	1	SAMEA7723832
SAMEA7723832	SRA		ERS5471210
SAMEA7723833	BioSample	1	SAMEA7723833
SAMEA7723833	SRA		ERS5471211
SAMEA7723834	BioSample	1	SAMEA7723834
SAMEA7723834	SRA		ERS5471212
SAMEA7723835	BioSample	1	SAMEA7723835
SAMEA7723835	SRA		ERS5471213
SAMEA7723836	BioSample	1	SAMEA7723836
SAMEA7723836	SRA		ERS5471214
SAMEA7723837	BioSample	1	SAMEA7723837
SAMEA7723837	SRA		ERS5471215
SAMEA7723838	BioSample	1	SAMEA7723838
SAMEA7723838	SRA		ERS5471216
SAMEA7723839	BioSample	1	SAMEA7723839
SAMEA7723839	SRA		ERS5471217
SAMEA7723840	BioSample	1	SAMEA7723840
SAMEA7723840	SRA		ERS5471218
SAMEA7723841	BioSample	1	SAMEA7723841
SAMEA7723841	SRA		ERS5471219
SAMEA7723842	BioSample	1	SAMEA7723842
SAMEA7723842	SRA		ERS5471220
SAMEA7723843	BioSample	1	SAMEA7723843
SAMEA7723843	SRA		ERS5471221
SAMEA7723844	BioSample	1	SAMEA7723844
SAMEA7723844	SRA		ERS5471222
SAMEA7723845	BioSample	1	SAMEA7723845
SAMEA7723845	SRA		ERS5471223
SAMEA7723846	BioSample	1	SAMEA7723846
SAMEA7723846	SRA		ERS5471224
SAMEA7723847	BioSample	1	SAMEA7723847
SAMEA7723847	SRA		ERS5471225
SAMEA7723848	BioSample	1	SAMEA7723848
SAMEA7723848	SRA		ERS5471226
SAMEA7723849	BioSample	1	SAMEA7723849
SAMEA7723849	SRA		ERS5471227
SAMEA7723850	BioSample	1	SAMEA7723850
SAMEA7723850	SRA		ERS5471228
SAMEA7723851	BioSample	1	SAMEA7723851
SAMEA7723851	SRA		ERS5471229
SAMEA7723852	BioSample	1	SAMEA7723852
SAMEA7723852	SRA		ERS5471230
SAMEA7723853	BioSample	1	SAMEA7723853
SAMEA7723853	SRA		ERS5471231
SAMEA7723854	BioSample	1	SAMEA7723854
SAMEA7723854	SRA		ERS5471232
SAMEA7723855	BioSample	1	SAMEA7723855
SAMEA7723855	SRA		ERS5471233
SAMEA7723856	BioSample	1	SAMEA7723856
SAMEA7723856	SRA		ERS5471234
SAMEA7723857	BioSample	1	SAMEA7723857
SAMEA7723857	SRA		ERS5471235
SAMEA7723858	BioSample	1	SAMEA7723858
SAMEA7723858	SRA		ERS5471236
SAMEA7723859	BioSample	1	SAMEA7723859
SAMEA7723859	SRA		ERS5471237
SAMEA7723860	BioSample	1	SAMEA7723860
SAMEA7723860	SRA		ERS5471238
SAMEA7723861	BioSample	1	SAMEA7723861
SAMEA7723861	SRA		ERS5471239
SAMEA7723862	BioSample	1	SAMEA7723862
SAMEA7723862	SRA		ERS5471240
SAMEA7723863	BioSample	1	SAMEA7723863
SAMEA7723863	SRA		ERS5471241
SAMEA7723864	BioSample	1	SAMEA7723864
SAMEA7723864	SRA		ERS5471242
SAMEA7723865	BioSample	1	SAMEA7723865
SAMEA7723865	SRA		ERS5471243
SAMEA7723866	BioSample	1	SAMEA7723866
SAMEA7723866	SRA		ERS5471244
SAMEA7723867	BioSample	1	SAMEA7723867
SAMEA7723867	SRA		ERS5471245
SAMEA7723868	BioSample	1	SAMEA7723868
SAMEA7723868	SRA		ERS5471246
SAMEA7723869	BioSample	1	SAMEA7723869
SAMEA7723869	SRA		ERS5471247
SAMEA7723870	BioSample	1	SAMEA7723870
SAMEA7723870	SRA		ERS5471248
SAMEA7723871	BioSample	1	SAMEA7723871
SAMEA7723871	SRA		ERS5471249
SAMEA7723872	BioSample	1	SAMEA7723872
SAMEA7723872	SRA		ERS5471250
SAMEA7723873	BioSample	1	SAMEA7723873
SAMEA7723873	SRA		ERS5471251
SAMEA7723874	BioSample	1	SAMEA7723874
SAMEA7723874	SRA		ERS5471252
SAMEA7723875	BioSample	1	SAMEA7723875
SAMEA7723875	SRA		ERS5471253
SAMEA7723876	BioSample	1	SAMEA7723876
SAMEA7723876	SRA		ERS5471254
SAMEA7723877	BioSample	1	SAMEA7723877
SAMEA7723877	SRA		ERS5471255
SAMEA7723878	BioSample	1	SAMEA7723878
SAMEA7723878	SRA		ERS5471256
SAMEA7723879	BioSample	1	SAMEA7723879
SAMEA7723879	SRA		ERS5471257
SAMEA7723880	BioSample	1	SAMEA7723880
SAMEA7723880	SRA		ERS5471258
SAMEA7723881	BioSample	1	SAMEA7723881
SAMEA7723881	SRA		ERS5471259
SAMEA7723882	BioSample	1	SAMEA7723882
SAMEA7723882	SRA		ERS5471260
SAMEA7723883	BioSample	1	SAMEA7723883
SAMEA7723883	SRA		ERS5471261
SAMEA7723884	BioSample	1	SAMEA7723884
SAMEA7723884	SRA		ERS5471262
SAMEA7723885	BioSample	1	SAMEA7723885
SAMEA7723885	SRA		ERS5471263
SAMEA7723886	BioSample	1	SAMEA7723886
SAMEA7723886	SRA		ERS5471264
SAMEA7723887	BioSample	1	SAMEA7723887
SAMEA7723887	SRA		ERS5471265
SAMEA7723888	BioSample	1	SAMEA7723888
SAMEA7723888	SRA		ERS5471266
SAMEA7723889	BioSample	1	SAMEA7723889
SAMEA7723889	SRA		ERS5471267
SAMEA7723890	BioSample	1	SAMEA7723890
SAMEA7723890	SRA		ERS5471268
SAMEA7723891	BioSample	1	SAMEA7723891
SAMEA7723891	SRA		ERS5471269
SAMEA7723892	BioSample	1	SAMEA7723892
SAMEA7723892	SRA		ERS5471270
SAMEA7723893	BioSample	1	SAMEA7723893
SAMEA7723893	SRA		ERS5471271
SAMEA7723894	BioSample	1	SAMEA7723894
SAMEA7723894	SRA		ERS5471272
SAMEA7723895	BioSample	1	SAMEA7723895
SAMEA7723895	SRA		ERS5471273
SAMEA7723896	BioSample	1	SAMEA7723896
SAMEA7723896	SRA		ERS5471274
SAMEA7723897	BioSample	1	SAMEA7723897
SAMEA7723897	SRA		ERS5471275
SAMEA7723898	BioSample	1	SAMEA7723898
SAMEA7723898	SRA		ERS5471276
SAMEA7723899	BioSample	1	SAMEA7723899
SAMEA7723899	SRA		ERS5471277
SAMEA7723900	BioSample	1	SAMEA7723900
SAMEA7723900	SRA		ERS5471278
SAMEA7723901	BioSample	1	SAMEA7723901
SAMEA7723901	SRA		ERS5471279
SAMEA7723902	BioSample	1	SAMEA7723902
SAMEA7723902	SRA		ERS5471280
SAMEA7723903	BioSample	1	SAMEA7723903
SAMEA7723903	SRA		ERS5471281
SAMEA7723904	BioSample	1	SAMEA7723904
SAMEA7723904	SRA		ERS5471282
SAMEA7723905	BioSample	1	SAMEA7723905
SAMEA7723905	SRA		ERS5471283
SAMEA7723906	BioSample	1	SAMEA7723906
SAMEA7723906	SRA		ERS5471284
SAMEA7723907	BioSample	1	SAMEA7723907
SAMEA7723907	SRA		ERS5471285
SAMEA7723908	BioSample	1	SAMEA7723908
SAMEA7723908	SRA		ERS5471286
SAMEA7723909	BioSample	1	SAMEA7723909
SAMEA7723909	SRA		ERS5471287
SAMEA7723910	BioSample	1	SAMEA7723910
SAMEA7723910	SRA		ERS5471288
SAMEA7723911	BioSample	1	SAMEA7723911
SAMEA7723911	SRA		ERS5471289
SAMEA7723912	BioSample	1	SAMEA7723912
SAMEA7723912	SRA		ERS5471290
SAMEA7723913	BioSample	1	SAMEA7723913
SAMEA7723913	SRA		ERS5471291
SAMEA7723914	BioSample	1	SAMEA7723914
SAMEA7723914	SRA		ERS5471292
SAMEA7723915	BioSample	1	SAMEA7723915
SAMEA7723915	SRA		ERS5471293
SAMEA7723916	BioSample	1	SAMEA7723916
SAMEA7723916	SRA		ERS5471294
SAMEA7723917	BioSample	1	SAMEA7723917
SAMEA7723917	SRA		ERS5471295
SAMEA7723919	BioSample	1	SAMEA7723919
SAMEA7723919	SRA		ERS5471296
SAMEA7723920	BioSample	1	SAMEA7723920
SAMEA7723920	SRA		ERS5471297
SAMEA7723921	BioSample	1	SAMEA7723921
SAMEA7723921	SRA		ERS5471298
SAMEA7723922	BioSample	1	SAMEA7723922
SAMEA7723922	SRA		ERS5471299
SAMEA7723923	BioSample	1	SAMEA7723923
SAMEA7723923	SRA		ERS5471300
SAMEA7723924	BioSample	1	SAMEA7723924
SAMEA7723924	SRA		ERS5471301
SAMEA7723925	BioSample	1	SAMEA7723925
SAMEA7723925	SRA		ERS5471302
SAMEA7723926	BioSample	1	SAMEA7723926
SAMEA7723926	SRA		ERS5471303
SAMEA7723927	BioSample	1	SAMEA7723927
SAMEA7723927	SRA		ERS5471304
SAMEA7723928	BioSample	1	SAMEA7723928
SAMEA7723928	SRA		ERS5471305
SAMEA7723929	BioSample	1	SAMEA7723929
SAMEA7723929	SRA		ERS5471306
SAMEA7723930	BioSample	1	SAMEA7723930
SAMEA7723930	SRA		ERS5471307
SAMEA7723931	BioSample	1	SAMEA7723931
SAMEA7723931	SRA		ERS5471308
SAMEA7723932	BioSample	1	SAMEA7723932
SAMEA7723932	SRA		ERS5471309
SAMEA7723933	BioSample	1	SAMEA7723933
SAMEA7723933	SRA		ERS5471310
SAMEA7723934	BioSample	1	SAMEA7723934
SAMEA7723934	SRA		ERS5471311
SAMEA7723935	BioSample	1	SAMEA7723935
SAMEA7723935	SRA		ERS5471312
SAMEA7723936	BioSample	1	SAMEA7723936
SAMEA7723936	SRA		ERS5471313
SAMEA7723937	BioSample	1	SAMEA7723937
SAMEA7723937	SRA		ERS5471314
SAMEA7723938	BioSample	1	SAMEA7723938
SAMEA7723938	SRA		ERS5471315
SAMEA7723939	BioSample	1	SAMEA7723939
SAMEA7723939	SRA		ERS5471316
SAMEA7723940	BioSample	1	SAMEA7723940
SAMEA7723940	SRA		ERS5471317
SAMEA7723941	BioSample	1	SAMEA7723941
SAMEA7723941	SRA		ERS5471318
SAMEA7723942	BioSample	1	SAMEA7723942
SAMEA7723942	SRA		ERS5471319
SAMEA7723943	BioSample	1	SAMEA7723943
SAMEA7723943	SRA		ERS5471320
SAMEA7723944	BioSample	1	SAMEA7723944
SAMEA7723944	SRA		ERS5471321
SAMEA7723945	BioSample	1	SAMEA7723945
SAMEA7723945	SRA		ERS5471322
SAMEA7723946	BioSample	1	SAMEA7723946
SAMEA7723946	SRA		ERS5471323
SAMEA7723947	BioSample	1	SAMEA7723947
SAMEA7723947	SRA		ERS5471324
SAMEA7723948	BioSample	1	SAMEA7723948
SAMEA7723948	SRA		ERS5471325
SAMEA7723949	BioSample	1	SAMEA7723949
SAMEA7723949	SRA		ERS5471326
SAMEA7723950	BioSample	1	SAMEA7723950
SAMEA7723950	SRA		ERS5471327
SAMEA7723951	BioSample	1	SAMEA7723951
SAMEA7723951	SRA		ERS5471328
SAMEA7723952	BioSample	1	SAMEA7723952
SAMEA7723952	SRA		ERS5471329
SAMEA7723953	BioSample	1	SAMEA7723953
SAMEA7723953	SRA		ERS5471330
SAMEA7723954	BioSample	1	SAMEA7723954
SAMEA7723954	SRA		ERS5471331
SAMEA7723955	BioSample	1	SAMEA7723955
SAMEA7723955	SRA		ERS5471332
SAMEA7723956	BioSample	1	SAMEA7723956
SAMEA7723956	SRA		ERS5471333
SAMEA7723957	BioSample	1	SAMEA7723957
SAMEA7723957	SRA		ERS5471334
SAMEA7723958	BioSample	1	SAMEA7723958
SAMEA7723958	SRA		ERS5471335
SAMEA7723959	BioSample	1	SAMEA7723959
SAMEA7723959	SRA		ERS5471336
SAMEA7723960	BioSample	1	SAMEA7723960
SAMEA7723960	SRA		ERS5471337
SAMEA7723961	BioSample	1	SAMEA7723961
SAMEA7723961	SRA		ERS5471338
SAMEA7723962	BioSample	1	SAMEA7723962
SAMEA7723962	SRA		ERS5471339
SAMEA7723963	BioSample	1	SAMEA7723963
SAMEA7723963	SRA		ERS5471340
SAMEA7723964	BioSample	1	SAMEA7723964
SAMEA7723964	SRA		ERS5471341
SAMEA7723965	BioSample	1	SAMEA7723965
SAMEA7723965	SRA		ERS5471342
SAMEA7723966	BioSample	1	SAMEA7723966
SAMEA7723966	SRA		ERS5471343
SAMEA7723967	BioSample	1	SAMEA7723967
SAMEA7723967	SRA		ERS5471344
SAMEA7723968	BioSample	1	SAMEA7723968
SAMEA7723968	SRA		ERS5471345
SAMEA7723969	BioSample	1	SAMEA7723969
SAMEA7723969	SRA		ERS5471346
SAMEA7723970	BioSample	1	SAMEA7723970
SAMEA7723970	SRA		ERS5471347
SAMEA7723971	BioSample	1	SAMEA7723971
SAMEA7723971	SRA		ERS5471348
SAMEA7723972	BioSample	1	SAMEA7723972
SAMEA7723972	SRA		ERS5471349
SAMEA7723973	BioSample	1	SAMEA7723973
SAMEA7723973	SRA		ERS5471350
SAMEA7723974	BioSample	1	SAMEA7723974
SAMEA7723974	SRA		ERS5471351
SAMEA7723975	BioSample	1	SAMEA7723975
SAMEA7723975	SRA		ERS5471352
SAMEA7723976	BioSample	1	SAMEA7723976
SAMEA7723976	SRA		ERS5471353
SAMEA7723977	BioSample	1	SAMEA7723977
SAMEA7723977	SRA		ERS5471354
SAMEA7723978	BioSample	1	SAMEA7723978
SAMEA7723978	SRA		ERS5471355
SAMEA7723979	BioSample	1	SAMEA7723979
SAMEA7723979	SRA		ERS5471356
SAMEA7723980	BioSample	1	SAMEA7723980
SAMEA7723980	SRA		ERS5471357
SAMEA7723981	BioSample	1	SAMEA7723981
SAMEA7723981	SRA		ERS5471358
SAMEA7723982	BioSample	1	SAMEA7723982
SAMEA7723982	SRA		ERS5471359
SAMEA7723983	BioSample	1	SAMEA7723983
SAMEA7723983	SRA		ERS5471360
SAMEA7723984	BioSample	1	SAMEA7723984
SAMEA7723984	SRA		ERS5471361
SAMEA7723985	BioSample	1	SAMEA7723985
SAMEA7723985	SRA		ERS5471362
SAMEA7723986	BioSample	1	SAMEA7723986
SAMEA7723986	SRA		ERS5471363
SAMEA7723987	BioSample	1	SAMEA7723987
SAMEA7723987	SRA		ERS5471364
SAMEA7723988	BioSample	1	SAMEA7723988
SAMEA7723988	SRA		ERS5471365
SAMEA7723989	BioSample	1	SAMEA7723989
SAMEA7723989	SRA		ERS5471366
SAMEA7723990	BioSample	1	SAMEA7723990
SAMEA7723990	SRA		ERS5471367
SAMEA7723991	BioSample	1	SAMEA7723991
SAMEA7723991	SRA		ERS5471368
SAMEA7723992	BioSample	1	SAMEA7723992
SAMEA7723992	SRA		ERS5471369
SAMEA7723993	BioSample	1	SAMEA7723993
SAMEA7723993	SRA		ERS5471370
SAMEA7723994	BioSample	1	SAMEA7723994
SAMEA7723994	SRA		ERS5471371
SAMEA7723995	BioSample	1	SAMEA7723995
SAMEA7723995	SRA		ERS5471372
SAMEA7723996	BioSample	1	SAMEA7723996
SAMEA7723996	SRA		ERS5471373
SAMEA7723997	BioSample	1	SAMEA7723997
SAMEA7723997	SRA		ERS5471374
SAMEA7723998	BioSample	1	SAMEA7723998
SAMEA7723998	SRA		ERS5471375
SAMEA7723999	BioSample	1	SAMEA7723999
SAMEA7723999	SRA		ERS5471376
SAMEA7724000	BioSample	1	SAMEA7724000
SAMEA7724000	SRA		ERS5471377
SAMEA7724001	BioSample	1	SAMEA7724001
SAMEA7724001	SRA		ERS5471378
SAMEA7724002	BioSample	1	SAMEA7724002
SAMEA7724002	SRA		ERS5471379
SAMEA7724003	BioSample	1	SAMEA7724003
SAMEA7724003	SRA		ERS5471380
SAMEA7724004	BioSample	1	SAMEA7724004
SAMEA7724004	SRA		ERS5471381
SAMEA7724005	BioSample	1	SAMEA7724005
SAMEA7724005	SRA		ERS5471382
SAMEA7724006	BioSample	1	SAMEA7724006
SAMEA7724006	SRA		ERS5471383
SAMEA7724007	BioSample	1	SAMEA7724007
SAMEA7724007	SRA		ERS5471384
SAMEA7724008	BioSample	1	SAMEA7724008
SAMEA7724008	SRA		ERS5471385
SAMEA7724009	BioSample	1	SAMEA7724009
SAMEA7724009	SRA		ERS5471386
SAMEA7724010	BioSample	1	SAMEA7724010
SAMEA7724010	SRA		ERS5471387
SAMEA7724011	BioSample	1	SAMEA7724011
SAMEA7724011	SRA		ERS5471388
SAMEA7724012	BioSample	1	SAMEA7724012
SAMEA7724012	SRA		ERS5471389
SAMEA7724013	BioSample	1	SAMEA7724013
SAMEA7724013	SRA		ERS5471390
SAMEA7724014	BioSample	1	SAMEA7724014
SAMEA7724014	SRA		ERS5471391
SAMEA7724015	BioSample	1	SAMEA7724015
SAMEA7724015	SRA		ERS5471392
SAMEA7724016	BioSample	1	SAMEA7724016
SAMEA7724016	SRA		ERS5471393
SAMEA7724017	BioSample	1	SAMEA7724017
SAMEA7724017	SRA		ERS5471394
SAMEA7724018	BioSample	1	SAMEA7724018
SAMEA7724018	SRA		ERS5471395
SAMEA7724019	BioSample	1	SAMEA7724019
SAMEA7724019	SRA		ERS5471396
SAMEA7724020	BioSample	1	SAMEA7724020
SAMEA7724020	SRA		ERS5471397
SAMEA7724021	BioSample	1	SAMEA7724021
SAMEA7724021	SRA		ERS5471398
SAMEA7724022	BioSample	1	SAMEA7724022
SAMEA7724022	SRA		ERS5471399
SAMEA7724023	BioSample	1	SAMEA7724023
SAMEA7724023	SRA		ERS5471400
SAMEA7724024	BioSample	1	SAMEA7724024
SAMEA7724024	SRA		ERS5471401
SAMEA7724025	BioSample	1	SAMEA7724025
SAMEA7724025	SRA		ERS5471402
SAMEA7724026	BioSample	1	SAMEA7724026
SAMEA7724026	SRA		ERS5471403
SAMEA7724027	BioSample	1	SAMEA7724027
SAMEA7724027	SRA		ERS5471404
SAMEA7724028	BioSample	1	SAMEA7724028
SAMEA7724028	SRA		ERS5471405
SAMEA7724029	BioSample	1	SAMEA7724029
SAMEA7724029	SRA		ERS5471406
SAMEA7724030	BioSample	1	SAMEA7724030
SAMEA7724030	SRA		ERS5471407
SAMEA7724031	BioSample	1	SAMEA7724031
SAMEA7724031	SRA		ERS5471408
SAMEA7724032	BioSample	1	SAMEA7724032
SAMEA7724032	SRA		ERS5471409
SAMEA7724033	BioSample	1	SAMEA7724033
SAMEA7724033	SRA		ERS5471410
SAMEA7724034	BioSample	1	SAMEA7724034
SAMEA7724034	SRA		ERS5471411
SAMEA7724035	BioSample	1	SAMEA7724035
SAMEA7724035	SRA		ERS5471412
SAMEA7724036	BioSample	1	SAMEA7724036
SAMEA7724036	SRA		ERS5471413
SAMEA7724037	BioSample	1	SAMEA7724037
SAMEA7724037	SRA		ERS5471414
SAMEA7724038	BioSample	1	SAMEA7724038
SAMEA7724038	SRA		ERS5471415
SAMEA7724039	BioSample	1	SAMEA7724039
SAMEA7724039	SRA		ERS5471416
SAMEA7724040	BioSample	1	SAMEA7724040
SAMEA7724040	SRA		ERS5471417
SAMEA7724041	BioSample	1	SAMEA7724041
SAMEA7724041	SRA		ERS5471418
SAMEA7724042	BioSample	1	SAMEA7724042
SAMEA7724042	SRA		ERS5471419
SAMEA7724043	BioSample	1	SAMEA7724043
SAMEA7724043	SRA		ERS5471420
SAMEA7724044	BioSample	1	SAMEA7724044
SAMEA7724044	SRA		ERS5471421
SAMEA7724045	BioSample	1	SAMEA7724045
SAMEA7724045	SRA		ERS5471422
SAMEA7724046	BioSample	1	SAMEA7724046
SAMEA7724046	SRA		ERS5471423
SAMEA7724047	BioSample	1	SAMEA7724047
SAMEA7724047	SRA		ERS5471424
SAMEA7724048	BioSample	1	SAMEA7724048
SAMEA7724048	SRA		ERS5471425
SAMEA7724049	BioSample	1	SAMEA7724049
SAMEA7724049	SRA		ERS5471426
SAMEA7724050	BioSample	1	SAMEA7724050
SAMEA7724050	SRA		ERS5471427
SAMEA7724051	BioSample	1	SAMEA7724051
SAMEA7724051	SRA		ERS5471428
SAMEA7724052	BioSample	1	SAMEA7724052
SAMEA7724052	SRA		ERS5471429
SAMEA7724053	BioSample	1	SAMEA7724053
SAMEA7724053	SRA		ERS5471430
SAMEA7724054	BioSample	1	SAMEA7724054
SAMEA7724054	SRA		ERS5471431
SAMEA7724055	BioSample	1	SAMEA7724055
SAMEA7724055	SRA		ERS5471432
SAMEA7724056	BioSample	1	SAMEA7724056
SAMEA7724056	SRA		ERS5471433
