accession	db	is_primary	content
SAMEA7723449	SRA		ERS5470827
SAMEA7723450	BioSample	1	SAMEA7723450
SAMEA7723450	SRA		ERS5470828
SAMEA7723451	BioSample	1	SAMEA7723451
SAMEA7723451	SRA		ERS5470829
SAMEA7723452	BioSample	1	SAMEA7723452
SAMEA7723452	SRA		ERS5470830
SAMEA7723453	BioSample	1	SAMEA7723453
SAMEA7723453	SRA		ERS5470831
SAMEA7723454	BioSample	1	SAMEA7723454
SAMEA7723454	SRA		ERS5470832
SAMEA7723455	BioSample	1	SAMEA7723455
SAMEA7723455	SRA		ERS5470833
SAMEA7723456	BioSample	1	SAMEA7723456
SAMEA7723456	SRA		ERS5470834
SAMEA7723457	BioSample	1	SAMEA7723457
SAMEA7723457	SRA		ERS5470835
SAMEA7723458	BioSample	1	SAMEA7723458
SAMEA7723458	SRA		ERS5470836
SAMEA7723459	BioSample	1	SAMEA7723459
SAMEA7723459	SRA		ERS5470837
SAMEA7723460	BioSample	1	SAMEA7723460
SAMEA7723460	SRA		ERS5470838
SAMEA7723461	BioSample	1	SAMEA7723461
SAMEA7723461	SRA		ERS5470839
SAMEA7723462	BioSample	1	SAMEA7723462
SAMEA7723462	SRA		ERS5470840
SAMEA7723463	BioSample	1	SAMEA7723463
SAMEA7723463	SRA		ERS5470841
SAMEA7723464	BioSample	1	SAMEA7723464
SAMEA7723464	SRA		ERS5470842
SAMEA7723465	BioSample	1	SAMEA7723465
SAMEA7723465	SRA		ERS5470843
SAMEA7723466	BioSample	1	SAMEA7723466
SAMEA7723466	SRA		ERS5470844
SAMEA7723467	BioSample	1	SAMEA7723467
SAMEA7723467	SRA		ERS5470845
SAMEA7723468	BioSample	1	SAMEA7723468
SAMEA7723468	SRA		ERS5470846
SAMEA7723469	BioSample	1	SAMEA7723469
SAMEA7723469	SRA		ERS5470847
SAMEA7723470	BioSample	1	SAMEA7723470
SAMEA7723470	SRA		ERS5470848
SAMEA7723471	BioSample	1	SAMEA7723471
SAMEA7723471	SRA		ERS5470849
SAMEA7723472	BioSample	1	SAMEA7723472
SAMEA7723472	SRA		ERS5470850
SAMEA7723473	BioSample	1	SAMEA7723473
SAMEA7723473	SRA		ERS5470851
SAMEA7723474	BioSample	1	SAMEA7723474
SAMEA7723474	SRA		ERS5470852
SAMEA7723475	BioSample	1	SAMEA7723475
SAMEA7723475	SRA		ERS5470853
SAMEA7723476	BioSample	1	SAMEA7723476
SAMEA7723476	SRA		ERS5470854
SAMEA7723477	BioSample	1	SAMEA7723477
SAMEA7723477	SRA		ERS5470855
SAMEA7723478	BioSample	1	SAMEA7723478
SAMEA7723478	SRA		ERS5470856
SAMEA7723479	BioSample	1	SAMEA7723479
SAMEA7723479	SRA		ERS5470857
SAMEA7723480	BioSample	1	SAMEA7723480
SAMEA7723480	SRA		ERS5470858
SAMEA7723481	BioSample	1	SAMEA7723481
SAMEA7723481	SRA		ERS5470859
SAMEA7723482	BioSample	1	SAMEA7723482
SAMEA7723482	SRA		ERS5470860
SAMEA7723483	BioSample	1	SAMEA7723483
SAMEA7723483	SRA		ERS5470861
SAMEA7723484	BioSample	1	SAMEA7723484
SAMEA7723484	SRA		ERS5470862
SAMEA7723485	BioSample	1	SAMEA7723485
SAMEA7723485	SRA		ERS5470863
SAMEA7723486	BioSample	1	SAMEA7723486
SAMEA7723486	SRA		ERS5470864
SAMEA7723487	BioSample	1	SAMEA7723487
SAMEA7723487	SRA		ERS5470865
SAMEA7723488	BioSample	1	SAMEA7723488
SAMEA7723488	SRA		ERS5470866
SAMEA7723489	BioSample	1	SAMEA7723489
SAMEA7723489	SRA		ERS5470867
SAMEA7723490	BioSample	1	SAMEA7723490
SAMEA7723490	SRA		ERS5470868
SAMEA7723491	BioSample	1	SAMEA7723491
SAMEA7723491	SRA		ERS5470869
