subject	predicate	object	subject_label	predicate_label	object_label
ENVO:00005769	rdfs:subClassOf	ENVO:00005786	mountain forest soil	None	upland soil
ENVO:00005770	rdfs:subClassOf	ENVO:00002261	beech forest soil	None	forest soil
ENVO:00005772	BFO:0000050	ENVO:00000115	orchard soil	part of	orchard
ENVO:00005772	RO:0001025	ENVO:00000115	orchard soil	located in	orchard
ENVO:00005772	rdfs:subClassOf	ENVO:00005749	orchard soil	None	farm soil
ENVO:00005773	RO:0001025	ENVO:00000266	pasture soil	located in	pasture
ENVO:00005773	rdfs:subClassOf	ENVO:00001998	pasture soil	None	soil
ENVO:00005774	rdfs:subClassOf	ENVO:00002243	peat soil	None	histosol
ENVO:00005775	ENVO:02000200	CHEBI:26710	salt contaminated soil	has increased levels of	sodium chloride
ENVO:00005775	RO:0000086	PATO:0001657	salt contaminated soil	has quality	increased osmolarity
ENVO:00005775	rdfs:subClassOf	ENVO:00002116	salt contaminated soil	None	contaminated soil
ENVO:00005777	RO:0001025	ENVO:00000262	steppe soil	located in	steppe
ENVO:00005777	rdfs:subClassOf	ENVO:00005750	steppe soil	None	grassland soil
ENVO:00005778	rdfs:subClassOf	ENVO:00001998	tropical soil	None	soil
ENVO:00005779	rdfs:subClassOf	ENVO:00002263	vegetable garden soil	None	garden soil
ENVO:00005780	rdfs:subClassOf	ENVO:00001998	greenhouse soil	None	soil
ENVO:00005782	rdfs:subClassOf	ENVO:00001998	ornithogenic soil	None	soil
ENVO:00005783	rdfs:subClassOf	ENVO:00002261	leafy wood soil	None	forest soil
ENVO:00005784	rdfs:subClassOf	ENVO:00002261	spruce forest soil	None	forest soil
ENVO:00005786	BFO:0000050	ENVO:00000176	upland soil	part of	elevated landform
ENVO:00005786	rdfs:subClassOf	ENVO:00001998	upland soil	None	soil
ENVO:00005787	rdfs:subClassOf	ENVO:00002261	eucalyptus forest soil	None	forest soil
ENVO:00005788	BFO:0000050	ENVO:00000164	rubber plantation soil	part of	rubber plantation
ENVO:00005788	rdfs:subClassOf	ENVO:00002259	rubber plantation soil	None	agricultural soil
ENVO:00005788	rdfs:subClassOf	ENVO:00005749	rubber plantation soil	None	farm soil
ENVO:00005789	rdfs:subClassOf	ENVO:00002259	bluegrass field soil	None	agricultural soil
ENVO:00005802	rdfs:subClassOf	ENVO:00001998	bulk soil	None	soil
ENVO:01000427	ENVO:02000200	CHEBI:50594	carbon nanotube enriched soil	has increased levels of	carbon nanotube
ENVO:01000427	rdfs:subClassOf	ENVO:00003082	carbon nanotube enriched soil	None	enriched soil
ENVO:01001185	RO:0000086	PATO:0001429	acidic soil	has quality	acidic
ENVO:01001185	rdfs:subClassOf	ENVO:00001998	acidic soil	None	soil
ENVO:01001397	rdfs:subClassOf	ENVO:00001998	ultisol	None	soil
ENVO:01001527	BFO:0000051	ENVO:00002006	plastic-frozen soil	has part	liquid water
ENVO:01001527	rdfs:subClassOf	ENVO:01001526	plastic-frozen soil	None	frozen soil
ENVO:01001528	BFO:0000051	ENVO:01000277	friable-frozen soil	has part	water ice
ENVO:01001528	RO:0000086	PATO:0000386	friable-frozen soil	has quality	hard
ENVO:01001528	rdfs:subClassOf	ENVO:01000814	friable-frozen soil	None	solid environmental material
ENVO:01001528	rdfs:subClassOf	ENVO:01001526	friable-frozen soil	None	frozen soil
ENVO:01001616	RO:0002220	ENVO:01000540	bare soil	adjacent to	troposphere
ENVO:01001616	rdfs:subClassOf	ENVO:00001998	bare soil	None	soil
ENVO:01001638	rdfs:subClassOf	ENVO:00001998	frost-susceptible soil	None	soil
ENVO:01001841	rdfs:subClassOf	ENVO:00002232	volcanic soil	None	andosol
ENVO:02000059	rdfs:subClassOf	ENVO:00001998	surface soil	None	soil
ENVO:02000138	RO:0001025	ENVO:01000181	mangrove biome soil	located in	mangrove biome
ENVO:02000138	rdfs:subClassOf	ENVO:00001998	mangrove biome soil	None	soil
ENVO:06105205	RO:0000086	PATO:0001485	compacted soil	has quality	condensed
ENVO:06105205	rdfs:subClassOf	ENVO:00001998	compacted soil	None	soil
ENVO:06105274	ENVO:02000200	ENVO:01000017	sandy loam	has increased levels of	sand
ENVO:06105274	rdfs:subClassOf	ENVO:00002258	sandy loam	None	loam
ENVO:06105274	rdfs:subClassOf	ENVO:00003082	sandy loam	None	enriched soil
ENVO:06105275	ENVO:02000200	ENVO:01000016	silty loam	has increased levels of	silt
ENVO:06105275	rdfs:subClassOf	ENVO:00002258	silty loam	None	loam
ENVO:06105275	rdfs:subClassOf	ENVO:00003082	silty loam	None	enriched soil
ENVO:06105276	ENVO:02000200	ENVO:01000017	sandy clay loam	has increased levels of	sand
ENVO:06105276	rdfs:subClassOf	ENVO:06105277	sandy clay loam	None	clay loam
ENVO:06105277	ENVO:02000200	ENVO:00002982	clay loam	has increased levels of	clay
ENVO:06105277	rdfs:subClassOf	ENVO:00002258	clay loam	None	loam
ENVO:06105277	rdfs:subClassOf	ENVO:00003082	clay loam	None	enriched soil
ENVO:00001998	BFO:0000050	ENVO:01000820	soil	part of	pedosphere
ENVO:00001998	BFO:0000051	ENVO:00002982	soil	has part	clay
ENVO:00001998	BFO:0000051	ENVO:01000016	soil	has part	silt
ENVO:00001998	BFO:0000051	ENVO:01000017	soil	has part	sand
ENVO:00001998	BFO:0000051	ENVO:01000155	soil	has part	organic material
ENVO:00001998	BFO:0000051	ENVO:01000256	soil	has part	mineral material
ENVO:00001998	RO:0000086	PATO:0000984	soil	has quality	porous
ENVO:00001998	RO:0000091	ENVO:06105304	soil	has disposition	water-holding capacity of soil
ENVO:00001998	rdfs:subClassOf	ENVO:00010483	soil	None	environmental material
ENVO:00001998	rdfs:subClassOf	ENVO:01000813	soil	None	astronomical body part
ENVO:00002232	rdfs:subClassOf	ENVO:00001998	andosol	None	soil
ENVO:00002243	rdfs:subClassOf	ENVO:00001998	histosol	None	soil
ENVO:00002248	rdfs:subClassOf	ENVO:00001998	luvisol	None	soil
ENVO:00002250	rdfs:subClassOf	ENVO:00001998	plinthosol	None	soil
ENVO:00002256	rdfs:subClassOf	ENVO:00001998	regosol	None	soil
ENVO:00002261	RO:0001025	ENVO:00000111	forest soil	located in	forested area
ENVO:00002261	rdfs:subClassOf	ENVO:00001998	forest soil	None	soil
ENVO:00002273	rdfs:subClassOf	ENVO:00001998	fluvisol	None	soil
ENVO:00002871	RO:0002353	ENVO:01001346	alluvial soil	output of	erosion
ENVO:00002871	RO:0002354	ENVO:01000982	alluvial soil	formed as result of	water flow process
ENVO:00002871	RO:0002354	ENVO:01001346	alluvial soil	formed as result of	erosion
ENVO:00002871	rdfs:subClassOf	ENVO:00001998	alluvial soil	None	soil
ENVO:00003084	ENVO:02000200	CHEBI:18139	trimethylamine enriched soil	has increased levels of	trimethylamine
ENVO:00003084	rdfs:subClassOf	ENVO:00003082	trimethylamine enriched soil	None	enriched soil
ENVO:00003089	ENVO:02000200	CHEBI:17347	testosterone enriched soil	has increased levels of	testosterone
ENVO:00003089	rdfs:subClassOf	ENVO:00003082	testosterone enriched soil	None	enriched soil
ENVO:00003095	ENVO:02000200	CHEBI:26490	quinate enriched soil	has increased levels of	quinate
ENVO:00003095	rdfs:subClassOf	ENVO:00003082	quinate enriched soil	None	enriched soil
ENVO:00003914	ENVO:02000200	ENVO:00002054	chalk soil	has increased levels of	chalk
ENVO:00003914	rdfs:subClassOf	ENVO:00003082	chalk soil	None	enriched soil
ENVO:00005741	rdfs:subClassOf	ENVO:00001998	alpine soil	None	soil
ENVO:00005742	rdfs:subClassOf	ENVO:00001998	arable soil	None	soil
ENVO:00005747	RO:0001000	ENVO:00002170	compost soil	derives from	compost
ENVO:00005747	rdfs:subClassOf	ENVO:00001998	compost soil	None	soil
ENVO:00005748	RO:0000086	PATO:0001824	dry soil	has quality	dry
ENVO:00005748	rdfs:subClassOf	ENVO:00001998	dry soil	None	soil
ENVO:00005750	RO:0001025	ENVO:00000106	grassland soil	located in	grassland area
ENVO:00005750	rdfs:subClassOf	ENVO:00001998	grassland soil	None	soil
ENVO:00005753	ENVO:02000200	CHEBI:16199	urea enriched soil	has increased levels of	urea
ENVO:00005753	rdfs:subClassOf	ENVO:00003082	urea enriched soil	None	enriched soil
ENVO:00005759	rdfs:subClassOf	ENVO:00002871	alluvial paddy field soil	None	alluvial soil
ENVO:00005759	rdfs:subClassOf	ENVO:00005740	alluvial paddy field soil	None	paddy field soil
ENVO:00005762	ENVO:02000200	CHEBI:39285	chloropicrin enriched soil	has increased levels of	chloropicrin
ENVO:00005762	rdfs:subClassOf	ENVO:00003082	chloropicrin enriched soil	None	enriched soil
ENVO:00005767	rdfs:subClassOf	ENVO:00001998	manured soil	None	soil
ENVO:00005771	RO:0002473	ENVO:01000001	muddy soil	composed primarily of	mud
ENVO:00005771	rdfs:subClassOf	ENVO:00001998	muddy soil	None	soil
ENVO:00005776	ENVO:02000200	ENVO:00005774	peaty paddy field soil	has increased levels of	peat soil
ENVO:00005776	rdfs:subClassOf	ENVO:00003082	peaty paddy field soil	None	enriched soil
ENVO:00005776	rdfs:subClassOf	ENVO:00005740	peaty paddy field soil	None	paddy field soil
ENVO:00005781	rdfs:subClassOf	ENVO:00001998	heat stressed soil	None	soil
ENVO:00005790	rdfs:subClassOf	ENVO:00001998	red soil	None	soil
ENVO:01001525	BFO:0000051	ENVO:01000277	hard-frozen soil	has part	water ice
ENVO:01001525	RO:0000086	PATO:0000386	hard-frozen soil	has quality	hard
ENVO:01001525	rdfs:subClassOf	ENVO:01000814	hard-frozen soil	None	solid environmental material
ENVO:01001525	rdfs:subClassOf	ENVO:01001526	hard-frozen soil	None	frozen soil
ENVO:01001526	BFO:0000050	ENVO:01001524	frozen soil	part of	frozen land
ENVO:01001526	RO:0000086	PATO:0001985	frozen soil	has quality	frozen
ENVO:01001526	rdfs:subClassOf	ENVO:00001998	frozen soil	None	soil
ENVO:03600036	rdfs:subClassOf	ENVO:00001998	pathogen-suppressive soil	None	soil
ENVO:06105278	ENVO:02000200	ENVO:01000016	silty clay loam	has increased levels of	silt
ENVO:06105278	rdfs:subClassOf	ENVO:06105277	silty clay loam	None	clay loam
